key_bytes,repeat,mode,ns_per_id
16,0,xxh3,22.432
16,0,blake3,109.205
16,1,blake3,109.177
16,1,xxh3,22.481
16,2,xxh3,22.413
16,2,blake3,109.345
16,3,blake3,109.264
16,3,xxh3,22.478
16,4,xxh3,22.415
16,4,blake3,109.365
256,0,xxh3,39.113
256,0,blake3,417.491
256,1,blake3,417.537
256,1,xxh3,39.201
256,2,xxh3,39.205
256,2,blake3,417.626
256,3,blake3,417.764
256,3,xxh3,39.191
256,4,xxh3,39.136
256,4,blake3,417.521
4096,0,xxh3,141.868
4096,0,blake3,3990.719
4096,1,blake3,3990.897
4096,1,xxh3,141.777
4096,2,xxh3,141.757
4096,2,blake3,3991.454
4096,3,blake3,3991.457
4096,3,xxh3,141.760
4096,4,xxh3,141.741
4096,4,blake3,3991.767
