phase,clients,repeat,ops_per_second,p99_us,operations,cpu_seconds
xxh3-before,8,1,93888.09758048116,127.423,469456,6.923367999999999
xxh3-before,8,2,93975.0115358677,127.743,469889,6.898475999999999
xxh3-before,8,3,93945.47200353547,127.295,469738,6.897762
xxh3-before,32,1,208063.07225487777,319.231,1040423,8.486334000000001
xxh3-before,32,2,207886.31526265526,320.767,1039578,8.482695999999999
xxh3-before,32,3,207706.9370327786,321.791,1038649,8.504269999999996
xxh3-before,128,1,213957.13002537622,1566.719,1070322,8.533414999999994
xxh3-before,128,2,213919.50780474916,1567.743,1070126,8.528938999999998
xxh3-before,128,3,183847.40687374133,2689.023,919874,8.108638
blake3-control,8,1,93811.86962429696,127.487,469073,7.020025000000001
blake3-control,8,2,93887.5839364761,127.423,469453,7.020023999999999
blake3-control,8,3,93810.28075891576,127.615,469065,7.015900000000001
blake3-control,32,1,208061.5033625787,319.231,1040458,8.690517
blake3-control,32,2,208049.95913908232,319.999,1040369,8.676985
blake3-control,32,3,207975.25157039773,320.767,1039985,8.685830000000006
blake3-control,128,1,213945.29853353946,1583.103,1070289,8.747865999999995
blake3-control,128,2,213978.23796763225,1573.887,1070356,8.747176999999997
blake3-control,128,3,213940.16931371766,1589.247,1070156,8.746321000000002
xxh3-after,8,1,94195.72718103415,127.423,470993,6.906994000000001
xxh3-after,8,2,94159.24487589921,127.423,470809,6.898241000000001
xxh3-after,8,3,94150.72352592499,127.551,470768,6.8970080000000005
xxh3-after,32,1,208148.27293972904,320.255,1040861,8.532052000000006
xxh3-after,32,2,208185.58883183784,319.487,1041048,8.560582000000007
xxh3-after,32,3,208197.04583520145,319.743,1041110,8.508663000000006
xxh3-after,128,1,213935.0179101571,1558.527,1070157,8.562217999999996
xxh3-after,128,2,214031.46637689698,1553.407,1070631,8.55356200000001
xxh3-after,128,3,213950.25185822923,1562.623,1070248,8.552787999999996
