engine,disks,key_bytes,value_bytes,clients,samples,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,p50_us,p99_us,p999_us,cpu_cores,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops,min_ops_per_second,max_ops_per_second
foyer,1,16,128,8,3,145721.96921619546,0.017371412422203476,0.5558531547199188,145713.5693908984,53.727,63.935,91.583,1.5618541272982716,10.72543149986761,63.0,31.998419560138345,145713.5693908984,145713.5693908984,145521.6403034514,145779.28613447287
foyer,1,16,128,32,3,540373.8683909302,0.06441758494269016,2.060860746859119,540241.8796587819,58.303,89.791,104.959,2.4835909641270857,4.596462846377902,63.0,31.992769492821637,540241.8796587819,540241.8796587819,540326.5613436213,540780.2092450905
foyer,1,16,128,128,3,845215.0082594095,0.10075748065226191,3.221142213809773,844398.5061747287,151.039,200.831,226.047,2.9904790648539894,3.537987239619859,63.0,31.96926117006342,844398.5061747287,844398.5061747287,843303.059140762,849804.2762879522
foyer,1,16,4096,8,3,135196.19147984879,0.5157325419610931,1.0314055757049814,135188.39161880332,57.727,85.247,99.711,1.602307764350999,11.852579987070106,63.0,1.9998905446880892,135188.39161880332,135188.39161880332,135186.41224939591,135211.9010513974
foyer,1,16,4096,32,3,446009.4164243638,1.7013909012770225,3.402028099122978,445910.62700824696,69.823,108.671,133.759,2.490144658455432,5.582497024256515,63.0,1.9995319508548397,445910.62700824696,445910.62700824696,445981.2064294534,446062.87251663575
foyer,1,16,4096,128,3,693338.9193631469,2.6448780798459888,5.284621715141103,692664.9377709257,183.935,250.367,281.599,2.9975334876050823,4.322978310857143,63.0,1.9980587216514822,692664.9377709257,692664.9377709257,692076.35293686,693638.4927048262
foyer,1,256,65536,8,3,89695.19336564344,5.474560141946011,5.811765777035362,89618.79575618576,86.847,130.879,155.263,1.7289193608547073,19.287761154094852,80.1953125,1.0615950188409997,89618.79575618576,89618.79575618576,89627.08757390607,89721.50310082176
foyer,1,256,65536,32,3,206813.715235122,12.622907424018678,13.360573227609152,206023.18283402195,143.359,316.671,420.607,2.4246864553729455,11.722737456691773,80.1953125,1.0584654721501394,206023.18283402195,206023.18283402195,206766.64738329302,206874.79187173618
foyer,1,256,65536,128,3,213966.6772465049,13.059489578033746,13.662810074986991,210683.54619991232,524.031,1581.055,2170.879,2.468456182001156,11.537294325207267,105.734375,1.0462116440877838,210683.54619991232,210683.54619991232,213954.51242046827,213977.07921509998
foyer,1,4096,262144,8,3,38458.204642201985,9.389210117725094,9.653318424059893,38341.6106915392,198.655,373.503,458.239,1.870106571764653,48.62698581910654,283.04296875,1.0278615042301622,38341.6106915392,38341.6106915392,38347.3857222452,38649.29202594651
foyer,1,4096,262144,32,3,55172.79878820785,13.469921579152308,13.685642141122267,54356.717546190775,550.399,1147.903,1476.607,2.1417612277278275,38.82003515575452,283.04296875,1.015985511579863,54356.717546190775,54356.717546190775,55171.54271330797,55174.75979034338
foyer,1,4096,262144,128,3,57843.08189817419,14.121846166546433,13.685476704068018,54356.45502381383,2109.439,4136.959,5124.095,2.1367103518659403,36.93828300327463,297.78125,0.9690516799057428,54356.45502381383,54356.45502381383,57799.552826078994,57855.12230022502
foyer,20,16,128,160,3,578356.5323107006,0.06894547132381208,2.2061285105427046,578319.7544317195,232.319,846.335,1205.247,38.73977539851828,66.99148442624586,466.53515625,31.998164175008863,28665.758228670504,29094.700230265364,577844.1789269447,578834.5195683291
