engine,disks,key_bytes,value_bytes,clients,repeat,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,p50_us,p99_us,p999_us,cpu_cores,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
foyer,20,16,100,160,1,704720.5926511158,0.0656322196732383,2.6881424469807853,704677.4151862724,198.271,608.767,843.775,40.23989601761442,57.1004969022324,495.796875,40.957664701333904,34971.14787948143,35438.90374861886
foyer,20,16,100,160,2,700372.8662215358,0.0652273060960263,2.6715754916276304,700333.2879855366,199.551,612.351,855.039,40.30052401438542,57.54152674675136,498.0390625,40.957930834895926,34757.08714034428,35214.035865063066
foyer,20,16,100,160,3,702943.2975081601,0.0654666961643994,2.681372523543295,702901.1214180219,198.911,609.279,838.655,40.243717611121404,57.25030419065093,499.2734375,40.957810316406615,34884.223938097835,35343.1637625413
foyer,20,16,100,640,1,727168.5421453525,0.06772284788501938,2.7732794547765547,726988.6061600959,584.703,3977.215,5328.895,42.65962051908004,58.66538229668478,589.15625,40.95042576303141,36128.87422242208,36566.857938472865
foyer,20,16,100,640,2,724639.1204126583,0.06748727712898127,2.7635980302467926,724450.4831158436,569.343,4349.951,6397.951,42.46561951157781,58.6024385316032,589.15625,40.94991156577589,35995.66141308655,36440.26378530446
foyer,20,16,100,640,3,725850.7448783562,0.06760011845066735,2.768186009675568,725657.5782351838,596.479,4143.103,5885.951,42.723985579548575,58.86056586841224,589.15625,40.94942543178695,36062.81829419464,36511.88095435306
foyer,20,16,100,2560,1,725014.2163932548,0.06752221066441898,2.7630599418779456,724309.0936845159,971.775,23166.975,26279.935,42.545200889086594,58.68188502666499,1022.38671875,40.92075651388511,35957.10104942088,36443.8772259478
foyer,20,16,100,2560,2,724042.5156336087,0.06743171397909603,2.759383337097176,723346.5000437824,1056.767,26394.623,31637.503,42.65767176026165,58.9159763952977,1038.17578125,40.92115080973013,35951.78341589892,36396.498457823065
foyer,20,16,100,2560,3,723773.91082375,0.06740669820678886,2.758311862311976,723062.2423987706,1208.319,22085.631,25083.903,42.719091039597615,59.02270087488739,1038.17578125,40.920441672578065,35919.17363072653,36380.758961690335
foyer,20,16,1024,160,1,715527.0955672284,0.682379813735226,2.729353787985698,715478.1224726253,195.583,599.039,824.831,39.78811695072507,55.606722928058176,501.9296875,3.999757514873864,35514.28875518079,35968.63913898733
foyer,20,16,1024,160,2,712577.5449573887,0.6795669030736815,2.718106725781684,712530.9720846899,196.351,601.599,835.071,39.797323053241186,55.849813588528136,501.9296875,3.9997632513998043,35369.99803724325,35822.134681212236
foyer,20,16,1024,160,3,713999.2659889414,0.680922761906568,2.7235377811001706,713953.091387198,195.839,601.599,836.095,39.80784596598051,55.75334298256416,502.41015625,3.9997749134928724,35440.70590351104,35902.25203089446
foyer,20,16,1024,640,1,737475.7914745437,0.7033117213006437,2.8125734759675374,737288.5021076374,600.575,3768.319,5591.039,42.13825020128706,57.13848602004123,580.5234375,3.9990425166897663,36634.597142906925,37089.271967673136
