run,engine,value_bytes,max_observed_tasks,workload_threads,configured_tokio_workers,io_wq_observed,snapshot_rss_kib,snapshot_anon_huge_pages_kib
matrix-r1-foyer-d20-k16-v100,foyer,100,101,21,40,True,614108,0
matrix-r1-foyer-d20-k16-v1024,foyer,1024,101,21,40,True,613180,0
matrix-r1-foyer-d20-k16-v4096,foyer,4096,101,21,40,True,661748,0
matrix-r1-foyer-d20-k16-v4194304,foyer,4194304,1462,21,40,True,10229104,0
matrix-r1-foyer-d20-k16-v65536,foyer,65536,101,21,40,True,867928,0
matrix-r1-v1-d20-k16-v100,v1,100,29,21,0,True,11543344,10485760
matrix-r1-v1-d20-k16-v1024,v1,1024,21,21,0,False,11543660,10485760
matrix-r1-v1-d20-k16-v4096,v1,4096,41,21,0,True,11544628,10485760
matrix-r1-v1-d20-k16-v4194304,v1,4194304,5141,21,0,True,10593704,10485760
matrix-r1-v1-d20-k16-v65536,v1,65536,21,21,0,False,10638488,10485760
matrix-r1-v2-d20-k16-v100,v2,100,21,21,0,False,11611580,10485760
matrix-r1-v2-d20-k16-v1024,v2,1024,21,21,0,False,11612624,10485760
matrix-r1-v2-d20-k16-v4096,v2,4096,41,21,0,True,11614616,10485760
matrix-r1-v2-d20-k16-v4194304,v2,4194304,5124,21,0,True,10599620,10485760
matrix-r1-v2-d20-k16-v65536,v2,65536,21,21,0,False,10655076,10485760
matrix-r2-foyer-d20-k16-v100,foyer,100,101,21,40,True,612708,0
matrix-r2-foyer-d20-k16-v1024,foyer,1024,101,21,40,True,612852,0
matrix-r2-foyer-d20-k16-v4096,foyer,4096,101,21,40,True,664452,0
matrix-r2-foyer-d20-k16-v4194304,foyer,4194304,1415,21,40,True,11985352,0
matrix-r2-foyer-d20-k16-v65536,foyer,65536,101,21,40,True,883220,0
matrix-r2-v1-d20-k16-v100,v1,100,41,21,0,True,11544220,10485760
matrix-r2-v1-d20-k16-v1024,v1,1024,21,21,0,False,11544208,10485760
matrix-r2-v1-d20-k16-v4096,v1,4096,41,21,0,True,11544272,10485760
matrix-r2-v1-d20-k16-v4194304,v1,4194304,2199,21,0,True,10593632,10485760
matrix-r2-v1-d20-k16-v65536,v1,65536,21,21,0,False,10638352,10485760
matrix-r2-v2-d20-k16-v100,v2,100,21,21,0,False,11611452,10485760
matrix-r2-v2-d20-k16-v1024,v2,1024,21,21,0,False,11612628,10485760
matrix-r2-v2-d20-k16-v4096,v2,4096,41,21,0,True,11614732,10485760
matrix-r2-v2-d20-k16-v4194304,v2,4194304,2158,21,0,True,10599656,10485760
matrix-r2-v2-d20-k16-v65536,v2,65536,21,21,0,False,10656328,10485760
matrix-r3-foyer-d20-k16-v100,foyer,100,101,21,40,True,616668,0
matrix-r3-foyer-d20-k16-v1024,foyer,1024,101,21,40,True,614364,0
matrix-r3-foyer-d20-k16-v4096,foyer,4096,101,21,40,True,660852,0
matrix-r3-foyer-d20-k16-v4194304,foyer,4194304,1439,21,40,True,11760088,0
matrix-r3-foyer-d20-k16-v65536,foyer,65536,101,21,40,True,881356,0
matrix-r3-v1-d20-k16-v100,v1,100,21,21,0,False,11544336,10485760
matrix-r3-v1-d20-k16-v1024,v1,1024,33,21,0,True,11543836,10485760
matrix-r3-v1-d20-k16-v4096,v1,4096,41,21,0,True,11544668,10485760
matrix-r3-v1-d20-k16-v4194304,v1,4194304,2238,21,0,True,10593572,10485760
matrix-r3-v1-d20-k16-v65536,v1,65536,21,21,0,False,10638472,10485760
matrix-r3-v2-d20-k16-v100,v2,100,21,21,0,False,11611520,10485760
matrix-r3-v2-d20-k16-v1024,v2,1024,21,21,0,False,11612620,10485760
matrix-r3-v2-d20-k16-v4096,v2,4096,41,21,0,True,11614756,10485760
matrix-r3-v2-d20-k16-v4194304,v2,4194304,2247,21,0,True,10599676,10485760
matrix-r3-v2-d20-k16-v65536,v2,65536,21,21,0,False,10654544,10485760
