run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
matrix-r1-foyer-d20-k16-v100,foyer,20,16,100,160,1,2309251,5.000506594,461803.4106325988,0.043008794135656093,1.7615784159614452,461784.0125979844,2309154,9458360320,325.631,734.719,950.271,46.8143486263744,234.095459,101.37289493433153,587.64453125,40.958563274412356,22527.717518694266,25264.44023723249
matrix-r1-foyer-d20-k16-v100,foyer,20,16,100,640,1,2588419,5.00105032,517575.0761092122,0.048202935243883374,1.9740138890960104,517467.09879135946,2587879,10600132608,1199.103,2355.199,2826.239,52.49445640450982,262.5274179999999,101.42384907543945,587.64453125,40.952151131636725,25033.741312165002,27341.056628280436
matrix-r1-foyer-d20-k16-v100,foyer,20,16,100,2560,1,2604568,5.003738181,520524.4370878485,0.04847761588989277,1.9838271827531608,520039.0000181746,2602139,10658553856,4886.527,7675.903,8708.095,52.4395213155538,262.3936349999999,100.7436300376876,604.0,40.922540152532015,25214.948391801157,27856.9731184742
matrix-r1-foyer-d20-k16-v1024,foyer,20,16,1024,160,1,2314992,5.000388935,462962.38754476,0.4415153384635544,1.7659972719248962,462943.7889914857,2314899,9481863168,325.119,718.335,911.359,46.83436149552236,234.19002300000005,101.16234656534454,591.26953125,3.9998548591096643,22525.04784410335,23973.935139507303
matrix-r1-foyer-d20-k16-v1024,foyer,20,16,1024,640,1,2621355,5.001048735,524161.05879040185,0.4998789394287127,1.9991343679836402,524050.6819416148,2620803,10735022080,1180.671,2324.479,2783.231,52.58006548900387,262.95547,100.31280387433216,591.26953125,3.999237035807817,25031.749665602885,27708.188290630602
matrix-r1-foyer-d20-k16-v1024,foyer,20,16,1024,2560,1,2631357,5.003702424,525881.9923780503,0.5015201495914939,2.004255472792939,525394.9530232896,2628920,10768232448,4833.279,7610.367,8634.367,52.40341007137397,262.21106999999995,99.64861096384867,604.83984375,3.9963608130709742,25099.21441323506,27942.508996813995
matrix-r1-foyer-d20-k16-v4096,foyer,20,16,4096,160,1,2328740,5.000406061,465710.1786518293,1.7765433450768635,3.552961578244028,465691.3801784947,2328646,19076366336,323.327,709.631,897.023,46.58700416690021,232.95393800000005,100.03432671745239,655.125,1.9999295756503517,22739.1533033341,23844.46353865821
matrix-r1-foyer-d20-k16-v4096,foyer,20,16,4096,640,1,2653749,5.001132505,530629.6118622835,2.024191329430708,4.0475710751078235,530514.6379040001,2653174,21735153664,1167.359,2279.423,2713.599,52.58145984676325,262.966848,99.09258486767213,655.125,1.9995990577857967,25660.387896481057,28039.648991463782
matrix-r1-foyer-d20-k16-v4096,foyer,20,16,4096,2560,1,2648002,5.003570564,529222.475456229,2.0188235300301702,4.033822886654645,528713.6388229819,2645456,21671886848,4792.319,7348.223,8351.743,52.46855573275373,262.530121,99.14272005836854,656.37890625,1.9981057416119776,25411.65321317131,28048.969871587884
matrix-r1-foyer-d20-k16-v4194304,foyer,20,16,4194304,160,1,91374,5.009841263,18238.901235222627,71.24570795008839,71.12094512251417,600331.795382875,3007567,382579200000,7311.359,26034.175,37945.343,52.16455198492783,261.33612500000004,2860.070972048942,14653.05859375,0.9982488372820769,29014.69175751008,31239.313140688624
matrix-r1-foyer-d20-k16-v4194304,foyer,20,16,4194304,640,1,28678,5.136726636,5582.932873829496,21.80833153839647,21.554836353660832,182123.5713505857,935519,118886092800,112263.167,234094.591,286785.535,10.832251342720658,55.64231399999997,1940.2438803263815,14653.05859375,0.9883762228995223,7512.761089823352,11626.275687215682
matrix-r1-foyer-d20-k16-v4194304,foyer,20,16,4194304,2560,1,22103,5.638973814,3919.6848095170108,15.311268787175823,14.679972356014659,124086.0523705209,699718,88884326400,636485.631,1059586.047,1367343.103,8.817469568054287,49.721480000000014,2249.535357191332,15606.953125,0.9587691627691942,5428.292630833628,7943.64391066846
matrix-r1-foyer-d20-k16-v65536,foyer,20,16,65536,160,1,2308332,5.000499629,461620.2722250017,28.175065443420515,29.91782495156761,461339.90024139645,2306930,160636149760,332.799,625.663,805.375,43.044114382435055,215.24207800000005,93.24571941991016,918.13671875,1.0618546747175017,22478.55381252744,23991.402639898086
matrix-r1-foyer-d20-k16-v65536,foyer,20,16,65536,640,1,2783297,5.001002256,556547.8393177513,33.96898433335885,35.98288652193401,554864.5767297571,2774879,193220374528,1119.231,2028.543,2418.687,53.570421744676786,267.90580000000006,96.25483733859522,918.13671875,1.0592864999674847,26614.465098533645,29239.138979504594
