run,engine,disks,key_bytes,value_bytes,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_write_bytes,write_amplification,cpu_cores
split-r1-foyer-d20-k16-v100,foyer,20,16,100,2621440,0.465048735,5636914.591327724,0.5249785810082894,22.504609552066455,11237502976,42.867671875,46.29301270973245
split-r1-foyer-d20-k16-v1024,foyer,20,16,1024,2621440,0.484556603,5409976.840208285,5.15935596485928,21.616108088147215,11246616576,4.189691162109375,46.622284909818895
split-r1-foyer-d20-k16-v4096,foyer,20,16,4096,2611220,0.584501217,4467432.956602381,17.04190428391411,34.867435166647766,21882920960,2.0459823377578297,45.32523325781201
split-r1-foyer-d20-k16-v4194304,foyer,20,16,4194304,40960,5.121653971,7997.4165048878895,31.239908222218318,31.288898590186793,172068106240,1.0015681982040405,41.28024720083144
split-r1-foyer-d20-k16-v65536,foyer,20,16,65536,163800,0.905325647,180929.37115256608,11.043052438511113,11.757741196258985,11429535744,1.0647184065934066,39.10741192113826
split-r1-v1-d20-k16-v100,v1,20,16,100,2621440,0.051806681,50600423.524525724,4.712531671349493,9.050196174904606,503435264,1.920453125,19.633722530883613
split-r1-v1-d20-k16-v1024,v1,20,16,1024,2621440,0.076826875,34121393.06720467,32.54069620819537,44.74445034950741,3691069440,1.375030517578125,19.771089218453827
split-r1-v1-d20-k16-v4096,v1,20,16,4096,2611220,0.205738405,12691942.469370266,48.415918233376566,49.92938616856303,11029897216,1.0312597176798584,16.255419108551948
split-r1-v1-d20-k16-v4194304,v1,20,16,4194304,40960,4.227207149,9689.612681907394,37.85004953870076,37.92451325634582,172136677376,1.0019673347473144,16.546235028142927
split-r1-v1-d20-k16-v65536,v1,20,16,65536,163800,0.270984971,604461.5662467864,36.89340614299233,41.50536345395355,12076728320,1.1250076312576314,16.9598815131338
split-r1-v2-d20-k16-v100,v2,20,16,100,2621440,0.044334236,59129021.64367962,5.506819267168606,10.575588270444158,503435264,1.920453125,16.446138825985408
split-r1-v2-d20-k16-v1024,v2,20,16,1024,2621440,0.067069206,39085597.643723406,37.274930614207655,53.58385029853063,3858841600,1.437530517578125,19.213020055731697
split-r1-v2-d20-k16-v4096,v2,20,16,4096,2611220,0.130379035,20027913.23006801,76.4004258349152,78.7886815771356,11029897216,1.0312597176798584,19.122882754884632
split-r1-v2-d20-k16-v4194304,v2,20,16,4194304,40960,4.05203713,10108.495723483165,39.486311419856115,39.566908870429,172149358592,1.0020411491394043,16.57267760525185
split-r1-v2-d20-k16-v65536,v2,20,16,65536,163800,0.271251047,603868.6368646532,36.85721660550862,41.46464994811269,12076728320,1.1250076312576314,16.651308999371345
split-r2-foyer-d20-k16-v100,foyer,20,16,100,2621440,0.442603058,5922778.780258676,0.5516017582508433,23.685098615870874,11256139776,42.938765625,46.6547409168601
split-r2-foyer-d20-k16-v1024,foyer,20,16,1024,2621440,0.468996208,5589469.49950606,5.330533504015026,22.374266936711898,11267252224,4.197378540039063,47.06229095993031
split-r2-foyer-d20-k16-v4096,foyer,20,16,4096,2611220,0.574554771,4544771.241661137,17.336926428455875,35.485114146028174,21891600384,2.046793835831527,45.45223765968868
split-r2-foyer-d20-k16-v4194304,foyer,20,16,4194304,40960,4.910493126,8341.321115617828,32.58328560788214,32.63392276498326,172065681408,1.0015540838241577,41.8597093460222
split-r2-foyer-d20-k16-v65536,foyer,20,16,65536,163800,0.941393138,173997.44420061834,10.619961193885397,11.307482926136219,11429752832,1.0647386294261294,38.76971854451737
split-r2-v1-d20-k16-v100,v1,20,16,100,2621440,0.051508475,50893372.40133784,4.73981466156783,9.102591878728756,503435264,1.920453125,19.763796151992462
split-r2-v1-d20-k16-v1024,v1,20,16,1024,2621440,0.078117953,33557458.936488,32.002886711586,44.0049458790262,3691069440,1.375030517578125,19.48887472768263
split-r2-v1-d20-k16-v4096,v1,20,16,4096,2611220,0.200914002,12996704.928509662,49.57849475292077,51.12830450188941,11029897216,1.0312597176798584,17.060831827938003
split-r2-v1-d20-k16-v4194304,v1,20,16,4194304,40960,4.257090307,9621.595278974663,37.584356558494775,37.65829756910776,172136677376,1.0019673347473144,16.66745426643353
split-r2-v1-d20-k16-v65536,v1,20,16,65536,163800,0.277662342,589925.1544885406,36.006173980013465,40.5072204999051,12076728320,1.1250076312576314,16.82890796909002
split-r2-v2-d20-k16-v100,v2,20,16,100,2621440,0.049208087,53272544.40921469,4.961392321550724,9.528121388273092,503435264,1.920453125,14.806997069404467
split-r2-v2-d20-k16-v1024,v2,20,16,1024,2621440,0.070377689,37248168.23695362,35.52262138076174,51.064852299218195,3858841600,1.437530517578125,18.256467614331587
split-r2-v2-d20-k16-v4096,v2,20,16,4096,2611220,0.135831276,19223996.68836211,73.333727601479,75.62611922271287,11029897216,1.0312597176798584,19.082939337181813
split-r2-v2-d20-k16-v4194304,v2,20,16,4194304,40960,4.10970067,9966.662608544677,38.932275814627644,39.01174239590172,172149358592,1.0020411491394043,15.964522788468683
split-r2-v2-d20-k16-v65536,v2,20,16,65536,163800,0.277444242,590388.8969517702,36.03447857371644,40.539063383820604,12076728320,1.1250076312576314,16.749221272359296
split-r3-foyer-d20-k16-v100,foyer,20,16,100,2621440,0.446065926,5876799.475600385,0.5473196018115044,23.49771328608463,11254456320,42.93234375,46.861505848353005
split-r3-foyer-d20-k16-v1024,foyer,20,16,1024,2621440,0.465512238,5631302.0067154495,5.3704280917315,22.539039981354467,11265912832,4.196879577636719,47.129858699869445
