run,engine,value_bytes,phase,samples,max_observed_tasks,max_observed_io_wq,max_observed_running_tasks,max_observed_running_io_wq
split-r1-foyer-d20-k16-v100,foyer,100,setup_and_write,6,101,20,60,3
split-r1-foyer-d20-k16-v100,foyer,100,verify,20,101,20,71,0
split-r1-foyer-d20-k16-v100,foyer,100,read_160,28,101,20,62,0
split-r1-foyer-d20-k16-v100,foyer,100,read_640,28,101,20,69,0
split-r1-foyer-d20-k16-v100,foyer,100,read_2560,28,101,20,72,0
split-r1-foyer-d20-k16-v1024,foyer,1024,setup_and_write,6,101,20,57,0
split-r1-foyer-d20-k16-v1024,foyer,1024,verify,20,101,20,72,0
split-r1-foyer-d20-k16-v1024,foyer,1024,read_160,28,101,20,62,0
split-r1-foyer-d20-k16-v1024,foyer,1024,read_640,27,101,20,73,0
split-r1-foyer-d20-k16-v1024,foyer,1024,read_2560,28,101,20,72,0
split-r1-foyer-d20-k16-v1024,foyer,1024,close,1,15,0,3,0
split-r1-foyer-d20-k16-v4096,foyer,4096,setup_and_write,7,101,20,54,2
split-r1-foyer-d20-k16-v4096,foyer,4096,verify,19,101,20,74,0
split-r1-foyer-d20-k16-v4096,foyer,4096,read_160,28,101,20,65,0
split-r1-foyer-d20-k16-v4096,foyer,4096,read_640,28,101,20,72,0
split-r1-foyer-d20-k16-v4096,foyer,4096,read_2560,28,101,20,71,0
split-r1-foyer-d20-k16-v4194304,foyer,4194304,setup_and_write,22,101,20,65,5
split-r1-foyer-d20-k16-v4194304,foyer,4194304,verify,29,401,320,37,11
split-r1-foyer-d20-k16-v4194304,foyer,4194304,read_160,26,417,336,68,7
split-r1-foyer-d20-k16-v4194304,foyer,4194304,read_640,27,220,139,68,7
split-r1-foyer-d20-k16-v4194304,foyer,4194304,read_2560,32,517,436,37,16
split-r1-foyer-d20-k16-v4194304,foyer,4194304,close,1,506,425,13,0
split-r1-foyer-d20-k16-v65536,foyer,65536,setup_and_write,5,101,20,50,2
split-r1-foyer-d20-k16-v65536,foyer,65536,verify,2,101,20,60,0
split-r1-foyer-d20-k16-v65536,foyer,65536,read_160,27,101,20,58,0
split-r1-foyer-d20-k16-v65536,foyer,65536,read_640,28,101,20,73,0
split-r1-foyer-d20-k16-v65536,foyer,65536,read_2560,28,101,20,72,0
split-r1-v1-d20-k16-v100,v1,100,setup_and_write,7,21,0,17,0
split-r1-v1-d20-k16-v100,v1,100,verify,2,21,0,20,0
split-r1-v1-d20-k16-v100,v1,100,read_160,27,21,0,20,0
split-r1-v1-d20-k16-v100,v1,100,read_640,28,21,0,20,0
split-r1-v1-d20-k16-v100,v1,100,read_2560,28,21,0,20,0
split-r1-v1-d20-k16-v100,v1,100,close,1,41,20,2,0
split-r1-v1-d20-k16-v1024,v1,1024,setup_and_write,7,21,0,20,0
split-r1-v1-d20-k16-v1024,v1,1024,verify,1,21,0,20,0
split-r1-v1-d20-k16-v1024,v1,1024,read_160,28,21,0,20,0
split-r1-v1-d20-k16-v1024,v1,1024,read_640,28,21,0,20,0
split-r1-v1-d20-k16-v1024,v1,1024,read_2560,28,21,0,20,0
split-r1-v1-d20-k16-v4096,v1,4096,setup_and_write,7,41,0,40,0
split-r1-v1-d20-k16-v4096,v1,4096,verify,2,41,20,20,0
split-r1-v1-d20-k16-v4096,v1,4096,read_160,28,41,20,20,0
split-r1-v1-d20-k16-v4096,v1,4096,read_640,28,41,20,20,0
