run,engine,value_bytes,max_observed_tasks,max_observed_io_wq,max_observed_running_io_wq,workload_threads,configured_tokio_workers,observer_cpu_seconds,snapshot_rss_kib,snapshot_anon_huge_pages_kib
split-r1-foyer-d20-k16-v100,foyer,100,101,20,3,21,40,0.179944934,613388,0
split-r1-foyer-d20-k16-v1024,foyer,1024,101,20,0,21,40,0.18420972599999996,613236,0
split-r1-foyer-d20-k16-v4096,foyer,4096,101,20,2,21,40,0.189090631,662008,0
split-r1-foyer-d20-k16-v4194304,foyer,4194304,517,436,16,21,40,1.1469954020000002,12088468,0
split-r1-foyer-d20-k16-v65536,foyer,65536,101,20,2,21,40,0.19319662000000004,906924,0
split-r1-v1-d20-k16-v100,v1,100,41,20,0,21,0,0.043364913000000005,11543308,10485760
split-r1-v1-d20-k16-v1024,v1,1024,21,0,0,21,0,0.04292070300000006,11543896,10485760
split-r1-v1-d20-k16-v4096,v1,4096,41,20,0,21,0,0.06136494300000006,11544328,10485760
split-r1-v1-d20-k16-v4194304,v1,4194304,5125,5104,579,21,0,1.801627969,10593640,10485760
split-r1-v1-d20-k16-v65536,v1,65536,21,0,0,21,0,0.03453215499999995,10638340,10485760
split-r1-v2-d20-k16-v100,v2,100,21,0,0,21,0,0.05859185,11611696,10485760
split-r1-v2-d20-k16-v1024,v2,1024,21,0,0,21,0,0.044426580999999965,11612668,10485760
split-r1-v2-d20-k16-v4096,v2,4096,21,0,0,21,0,0.04455338899999994,11614912,10485760
split-r1-v2-d20-k16-v4194304,v2,4194304,21,0,0,21,0,0.0530721999999999,10599784,10485760
split-r1-v2-d20-k16-v65536,v2,65536,21,0,0,21,0,0.03513836300000006,10656332,10485760
split-r2-foyer-d20-k16-v100,foyer,100,101,20,0,21,40,0.08762862900000012,613332,0
split-r2-foyer-d20-k16-v1024,foyer,1024,101,20,1,21,40,0.09105936400000036,613768,0
split-r2-foyer-d20-k16-v4096,foyer,4096,101,20,3,21,40,0.0929660289999994,664072,0
split-r2-foyer-d20-k16-v4194304,foyer,4194304,1368,1287,14,21,40,0.7255986820000002,10875020,0
split-r2-foyer-d20-k16-v65536,foyer,65536,101,20,1,21,40,0.09078416899999997,854948,0
split-r2-v1-d20-k16-v100,v1,100,26,5,0,21,0,0.029675988000000153,11543864,10485760
split-r2-v1-d20-k16-v1024,v1,1024,33,16,0,21,0,0.03145855799999975,11543876,10485760
split-r2-v1-d20-k16-v4096,v1,4096,41,20,0,21,0,0.03923395400000018,11544280,10485760
split-r2-v1-d20-k16-v4194304,v1,4194304,2295,2274,83,21,0,0.5594182320000005,10593700,10485760
split-r2-v1-d20-k16-v65536,v1,65536,21,0,0,21,0,0.02739533199999933,10638448,10485760
split-r2-v2-d20-k16-v100,v2,100,21,0,0,21,0,0.03136010700000025,11611528,10485760
split-r2-v2-d20-k16-v1024,v2,1024,21,0,0,21,0,0.03203948099999998,11612860,10485760
split-r2-v2-d20-k16-v4096,v2,4096,21,0,0,21,0,0.034314501000000774,11614940,10485760
split-r2-v2-d20-k16-v4194304,v2,4194304,21,0,0,21,0,0.03941653600000006,10599700,10485760
split-r2-v2-d20-k16-v65536,v2,65536,21,0,0,21,0,0.02767261600000026,10657048,10485760
split-r3-foyer-d20-k16-v100,foyer,100,101,20,1,21,40,0.08957352699999976,614636,0
split-r3-foyer-d20-k16-v1024,foyer,1024,101,20,0,21,40,0.09183562800000011,612916,0
split-r3-foyer-d20-k16-v4096,foyer,4096,101,20,0,21,40,0.09130473100000014,661628,0
split-r3-foyer-d20-k16-v4194304,foyer,4194304,1458,1377,18,21,40,0.5154078029999996,11553564,0
split-r3-foyer-d20-k16-v65536,foyer,65536,101,20,1,21,40,0.06370392499999955,860524,0
split-r3-v1-d20-k16-v100,v1,100,33,12,0,21,0,0.032617681999999704,11544060,10485760
split-r3-v1-d20-k16-v1024,v1,1024,33,16,0,21,0,0.032352313999999716,11543804,10485760
split-r3-v1-d20-k16-v4096,v1,4096,41,20,2,21,0,0.061625331000000116,11544468,10485760
split-r3-v1-d20-k16-v4194304,v1,4194304,2300,2279,97,21,0,0.5606560890000001,10593520,10485760
split-r3-v1-d20-k16-v65536,v1,65536,21,0,0,21,0,0.038939287999999905,10638376,10485760
split-r3-v2-d20-k16-v100,v2,100,21,0,0,21,0,0.03368561000000003,11611456,10485760
split-r3-v2-d20-k16-v1024,v2,1024,21,0,0,21,0,0.03316458400000055,11612800,10485760
split-r3-v2-d20-k16-v4096,v2,4096,21,0,0,21,0,0.04693476899999993,11614976,10485760
split-r3-v2-d20-k16-v4194304,v2,4194304,21,0,0,21,0,0.03767910100000016,10599668,10485760
split-r3-v2-d20-k16-v65536,v2,65536,21,0,0,21,0,0.039550096000000146,10658564,10485760
