run,engine,disks,key_bytes,value_bytes,clients,repeat,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_iops,physical_reads,physical_read_bytes,p50_us,p99_us,p999_us,cpu_cores,cpu_seconds,cpu_us_per_op,rss_mib,read_amplification,min_disk_iops,max_disk_iops
split-r1-foyer-d20-k16-v100,foyer,20,16,100,160,1,2338210,5.000340047,467610.1981109926,0.04354959336211836,1.7837272615565216,467590.79943028523,2338113,9576964096,321.791,724.479,922.623,46.52196626898724,232.62565100000006,99.48877602952689,582.8671875,40.95852851540281,22968.637916716467,23882.77574675113
split-r1-foyer-d20-k16-v100,foyer,20,16,100,640,1,2629864,5.000989582,525868.721955678,0.04897534120415132,2.0056501070566206,525759.1436430231,2629316,10769883136,1180.671,2312.191,2754.559,52.00703255534197,260.086628,98.89736807682831,582.8671875,40.9522436749581,25655.522351376098,27037.648805883877
split-r1-foyer-d20-k16-v100,foyer,20,16,100,2560,1,2637517,5.004204816,527060.1617997404,0.04908630268645849,2.0087263844458745,526564.5785670017,2635037,10793336832,4825.087,7561.215,8585.215,52.14213897994858,260.929943,98.93014642180505,595.13671875,40.922340337521995,25837.071973274727,26987.104837956736
split-r1-foyer-d20-k16-v1024,foyer,20,16,1024,160,1,2349843,5.000527648,469919.0096348808,0.44814969027984697,1.7925400209803206,469901.8114497984,2349757,9624641536,320.511,707.583,891.391,46.902675179449396,234.5381240000001,99.81012518708701,588.0,3.9998689274134485,23032.769361062434,24143.45215115187
split-r1-foyer-d20-k16-v1024,foyer,20,16,1024,640,1,2660620,5.001105835,532006.3377542979,0.5073607804816226,2.029057159925267,531896.5620330649,2660071,10895826944,1163.263,2283.519,2715.647,52.22328553260861,261.174178,98.16290112830843,588.0,3.99923927505619,25938.06335634167,27541.708682915727
split-r1-foyer-d20-k16-v1024,foyer,20,16,1024,2560,1,2668876,5.003620912,533388.9291251728,0.5086793223621109,2.0328677377479516,532893.4879149774,2666397,10921779200,4763.647,7462.911,8462.335,52.190504355298785,261.14149900000007,97.84699588890606,601.9375,3.9963640124157136,26038.54334518778,27695.143664392777
split-r1-foyer-d20-k16-v4096,foyer,20,16,4096,160,1,2364248,5.000385273,472813.16757049813,1.8036390974826741,3.607172917432935,472797.9687416378,2364172,19367354368,318.719,696.319,878.079,46.44911168227897,232.26345400000002,98.23988600180692,656.1328125,1.9999416304888489,23160.815352637328,24106.742464602088
split-r1-foyer-d20-k16-v4096,foyer,20,16,4096,640,1,2683835,5.001055666,536653.6945881698,2.047171381333045,4.093517436431578,536539.5186944916,2683264,21981544448,1156.095,2234.367,2652.159,52.17922783265417,260.951223,97.23072506320248,656.1328125,1.9995968455586874,26314.644104983254,27617.169098713246
split-r1-foyer-d20-k16-v4096,foyer,20,16,4096,2560,1,2678289,5.003942721,535235.7429592569,2.0417623251314425,4.079673317092131,534723.5468485293,2675726,21919850496,4743.167,7221.247,8224.767,52.032842403912845,260.3693629999998,97.21481251649833,663.8671875,1.998113721110754,26079.635055039234,27770.102047097356
split-r1-foyer-d20-k16-v4194304,foyer,20,16,4194304,160,1,96088,5.008253874,19185.928352960327,74.94503262875128,74.82460155052785,631520.9012106082,3162817,402374656000,6737.919,28327.935,39616.511,59.70514105771149,299.018504,3111.9234868037634,16147.05078125,0.9983930745774706,27569.289311949924,36426.068763621945
