kind,value_bytes,first_variant,first_run,second_run,change_pct,cpu_cost_change_pct
short,100,old,paired-r1-old-d20-k16-v100,paired-r1-current-d20-k16-v100,-2.8927713850563475,-1.1392530912369248
short,1024,current,paired-r1-current-d20-k16-v1024,paired-r1-old-d20-k16-v1024,-7.3537626361230295,1.1775506227024835
short,4096,old,paired-r1-old-d20-k16-v4096,paired-r1-current-d20-k16-v4096,1.2289016761876326,-1.5670323049192691
short,65536,current,paired-r1-current-d20-k16-v65536,paired-r1-old-d20-k16-v65536,3.9459407759934395,-9.312688266045932
short,4194304,old,paired-r1-old-d20-k16-v4194304,paired-r1-current-d20-k16-v4194304,1.3643061517293997,0.4595949233251906
short,1024,current,paired-r2-current-d20-k16-v1024,paired-r2-old-d20-k16-v1024,5.5585864927509165,0.40948238866802544
short,4096,old,paired-r2-old-d20-k16-v4096,paired-r2-current-d20-k16-v4096,1.9506022386132749,-2.1573061290360074
short,65536,current,paired-r2-current-d20-k16-v65536,paired-r2-old-d20-k16-v65536,-4.659091520367831,2.9714915962901323
short,4194304,old,paired-r2-old-d20-k16-v4194304,paired-r2-current-d20-k16-v4194304,-1.7953472760011802,1.7412659357294524
short,100,current,paired-r2-current-d20-k16-v100,paired-r2-old-d20-k16-v100,-4.752132579577973,0.6435622397510166
short,4096,old,paired-r3-old-d20-k16-v4096,paired-r3-current-d20-k16-v4096,1.7240908303038704,0.35035316804585825
short,65536,current,paired-r3-current-d20-k16-v65536,paired-r3-old-d20-k16-v65536,-2.308829796576617,2.4781703320653214
short,4194304,old,paired-r3-old-d20-k16-v4194304,paired-r3-current-d20-k16-v4194304,0.9161408891582346,-1.3225412280011617
short,100,current,paired-r3-current-d20-k16-v100,paired-r3-old-d20-k16-v100,3.0978675982439086,0.7503551773127892
short,1024,old,paired-r3-old-d20-k16-v1024,paired-r3-current-d20-k16-v1024,-1.5034176012604372,1.891858634365784
short,65536,current,paired-r4-current-d20-k16-v65536,paired-r4-old-d20-k16-v65536,-1.5563871583566424,0.7244058986286106
short,4194304,old,paired-r4-old-d20-k16-v4194304,paired-r4-current-d20-k16-v4194304,-0.21457623259646397,-0.6146330727063831
short,100,current,paired-r4-current-d20-k16-v100,paired-r4-old-d20-k16-v100,7.268933368367336,0.6863047077395157
short,1024,old,paired-r4-old-d20-k16-v1024,paired-r4-current-d20-k16-v1024,-0.7068893622126926,0.24884683104742233
