kind,run,round,variant,value_bytes,begin_ns,disk,end_ns,major_faults,minor_faults,operations,passes,sync_seconds,system_seconds,user_seconds,write_seconds
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035834173,8,2328485083036886,0,10493,130802,1,0.012856036,0.007274999999999997,0.027081,0.034343097
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035843512,19,2328485083074676,0,10489,130549,1,0.010403737,0.011401000000000001,0.02502,0.036824397
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035837372,12,2328485083075446,0,10493,130818,1,0.010625873,0.013918,0.022494,0.036610371
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035838962,14,2328485083074666,0,10498,131100,1,0.010349479,0.008462999999999998,0.027948999999999998,0.036884305
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035843622,18,2328485083074636,0,10504,131461,1,0.010525735,0.009946000000000003,0.026521,0.036702269
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035839592,15,2328485083074626,0,10500,131200,1,0.010449507,0.016241000000000005,0.020304,0.036782547
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035843242,17,2328485083074646,0,10501,131292,1,0.010471876,0.012739,0.023795,0.036757108
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035834153,9,2328485083077416,0,10493,130777,1,0.012874137,0.008698999999999998,0.025668,0.034367256
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035834193,10,2328485083078046,0,10495,130865,1,0.012872977,0.005641,0.028725,0.034369246
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035837382,13,2328485083078455,0,10504,131476,1,0.010738391,0.009445999999999996,0.027005,0.036499823
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035834453,11,2328485083079865,0,10493,130813,1,0.012733209,0.009680999999999995,0.024799,0.034510653
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035841412,16,2328485083084335,0,10494,130864,1,0.010638262,0.011823,0.024566,0.036602841
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035820003,5,2328485083083625,0,10499,131187,1,0.010453116,0.006484000000000004,0.030103,0.036807106
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035815773,3,2328485083083625,0,10503,131406,1,0.010488895,0.011417000000000004,0.025148,0.036776027
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035822933,6,2328485083085275,0,10492,130761,1,0.010423846,0.011957000000000002,0.024469,0.036836876
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035818473,4,2328485083083695,0,10505,131539,1,0.010674921,0.011753999999999994,0.024806,0.036588361
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035827453,7,2328485083083675,0,10495,130940,1,0.010402737,0.008928000000000005,0.027511,0.036851255
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035815723,2,2328485083083685,0,10505,131514,1,0.010628062,0.010801999999999999,0.025798,0.03663643
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035815703,1,2328485083083645,0,10500,131221,1,0.010413026,0.011391000000000005,0.025052,0.036851516
diag,diag-r1-old-d20-k16-v100,1,old,100,2328485035815733,0,2328485083085265,0,10494,130855,1,0.010633362,0.010708000000000002,0.025706,0.03663431
diag,diag-r1-current-d20-k16-v100,1,current,100,2328490315450877,10,2328490349637137,0,10495,130865,1,2.9109e-05,0.008444999999999994,0.025101,0.034154101
diag,diag-r1-current-d20-k16-v100,1,current,100,2328490315452597,11,2328490349716205,0,10493,130813,1,1.2619e-05,0.009361000000000001,0.024183,0.034249289
diag,diag-r1-current-d20-k16-v100,1,current,100,2328490315450157,8,2328490350024239,0,10493,130802,1,1.305e-05,0.010231999999999998,0.024323,0.034559152
