kind,run,round,variant,value_bytes,operations,seconds,ops_per_second,gib_s,cpu_cores,cpu_us_per_op,physical_write_bytes,write_amp
diag,diag-r1-old-d20-k16-v100,1,old,100,2621440,0.047478748,55212913.364943825,5.142103262706085,15.227318125574829,0.27579269409179674,503435264,1.920453125
diag,diag-r1-current-d20-k16-v100,1,current,100,2621440,0.039697668,66035113.19606986,6.149999163678834,18.24983774865566,0.2763656616210937,503435264,1.920453125
diag,diag-r1-current-d20-k16-v65536,1,current,65536,163800,0.275777975,593956.0619371434,36.25220104596823,16.890554802282526,28.43738095238096,12076728320,1.1250076312576314
diag,diag-r1-old-d20-k16-v65536,1,old,65536,163800,0.277118058,591083.8188682746,36.076893241471836,16.87932945892685,28.55657509157509,12076728320,1.1250076312576314
diag,diag-r2-current-d20-k16-v65536,2,current,65536,163800,0.271520322,603269.7618854474,36.82066417757858,16.78900115623758,27.830006105006103,12076728320,1.1250076312576314
diag,diag-r2-old-d20-k16-v65536,2,old,65536,163800,0.261784191,625706.2329634718,38.1900776955244,16.73089953701597,26.73922466422466,12076728320,1.1250076312576314
diag,diag-r2-current-d20-k16-v100,2,current,100,2621440,0.04690328,55890334.32203462,5.205193005691713,15.619334084950985,0.27946395874023433,503435264,1.920453125
diag,diag-r2-old-d20-k16-v100,2,old,100,2621440,0.047454479,55241150.15571027,5.144733018773634,15.19397146895238,0.27504806518554686,503435264,1.920453125
diag,diag-r3-current-d20-k16-v65536,3,current,65536,163800,0.289197681,566394.5832262742,34.56998188636928,16.951287379099004,29.92840659340659,12076728320,1.1250076312576314
diag,diag-r3-old-d20-k16-v65536,3,old,65536,163800,0.27704059,591249.101801292,36.086981311114016,16.842817148202002,28.486837606837607,12076728320,1.1250076312576314
diag,diag-r3-current-d20-k16-v100,3,current,100,2621440,0.048746043,53777493.28289067,5.008419350058834,14.999781623300173,0.27892303466796875,503435264,1.920453125
diag,diag-r3-old-d20-k16-v100,3,old,100,2621440,0.046517257,56354139.71206428,5.248388248688008,15.485371375186626,0.27478675842285144,503435264,1.920453125
diag,diag-r4-current-d20-k16-v65536,4,current,65536,163800,0.300828192,544496.8402429518,33.23344972185985,17.05867380940148,31.329242979242974,12076728320,1.1250076312576314
diag,diag-r4-old-d20-k16-v65536,4,old,65536,163800,0.286413017,571901.3811442795,34.9060901577319,16.807242388707493,29.388357753357752,12076728320,1.1250076312576314
diag,diag-r4-current-d20-k16-v100,4,current,100,2621440,0.046287523,56633836.29320584,5.274437022693999,15.729422375874377,0.2777389526367187,503435264,1.920453125
diag,diag-r4-old-d20-k16-v100,4,old,100,2621440,0.039367514,66588913.894842334,6.201575872939297,18.359731833714477,0.27571754455566416,503435264,1.920453125
