kind,run,round,variant,value_bytes,disk,major_faults,minor_faults,operations,passes,sync_seconds,system_seconds,user_seconds,write_seconds
long,long-r1-old-d20-k16-v100,1,old,100,11,0,78807,4186016,32,0.008083405,0.13302399999999998,0.785437,0.91845484
long,long-r1-old-d20-k16-v100,1,old,100,10,0,78837,4187680,32,0.00834858,0.12037600000000001,0.797732,0.918192145
long,long-r1-old-d20-k16-v100,1,old,100,8,0,78801,4185664,32,0.007116035,0.135838,0.783532,0.91942519
long,long-r1-old-d20-k16-v100,1,old,100,9,0,78788,4184864,32,1.507e-05,0.15093399999999998,0.780675,0.932821076
long,long-r1-old-d20-k16-v100,1,old,100,12,0,78809,4186176,32,3.4469e-05,0.13453,0.804312,0.940013169
long,long-r1-old-d20-k16-v100,1,old,100,16,0,78835,4187648,32,4.6469e-05,0.144688,0.7940630000000001,0.939996789
long,long-r1-old-d20-k16-v100,1,old,100,19,0,78665,4177568,32,2.7799e-05,0.144916,0.793874,0.940013569
long,long-r1-old-d20-k16-v100,1,old,100,13,0,79165,4207232,32,1.651e-05,0.127015,0.8143320000000001,0.941749573
long,long-r1-old-d20-k16-v100,1,old,100,14,0,78962,4195200,32,2.0439e-05,0.159372,0.7814749999999999,0.942019608
long,long-r1-old-d20-k16-v100,1,old,100,15,0,79016,4198400,32,2.034e-05,0.15827799999999997,0.783481,0.94285996
long,long-r1-old-d20-k16-v100,1,old,100,18,0,79157,4206752,32,1.6559e-05,0.134875,0.807268,0.943426649
long,long-r1-old-d20-k16-v100,1,old,100,3,0,79127,4204992,32,4.7729e-05,0.139743,0.805378,0.945731292
long,long-r1-old-d20-k16-v100,1,old,100,2,0,79186,4208448,32,2.0869e-05,0.14307999999999998,0.803242,0.946588875
long,long-r1-old-d20-k16-v100,1,old,100,4,0,79199,4209248,32,2.024e-05,0.151009,0.795349,0.94678835
long,long-r1-old-d20-k16-v100,1,old,100,5,0,79009,4197984,32,1.661e-05,0.149335,0.797819,0.947853218
long,long-r1-old-d20-k16-v100,1,old,100,6,0,78779,4184352,32,1.735e-05,0.15037999999999999,0.797487,0.948850028
long,long-r1-old-d20-k16-v100,1,old,100,0,0,78830,4187360,32,1.743e-05,0.148635,0.799529,0.948894057
long,long-r1-old-d20-k16-v100,1,old,100,7,0,78875,4190080,32,1.6599e-05,0.154496,0.795356,0.950960675
long,long-r1-old-d20-k16-v100,1,old,100,1,0,79028,4199072,32,1.596e-05,0.136032,0.81414,0.951332547
long,long-r1-old-d20-k16-v100,1,old,100,17,0,79065,4201344,32,1.675e-05,0.118679,0.839461,0.958605378
long,long-r1-current-d20-k16-v100,1,current,100,11,0,78807,4186016,32,3.541e-05,0.127726,0.787122,0.914968171
long,long-r1-current-d20-k16-v100,1,current,100,8,0,78801,4185664,32,1.582e-05,0.137189,0.777617,0.915429842
long,long-r1-current-d20-k16-v100,1,current,100,10,0,78836,4187680,32,1.494e-05,0.145293,0.769826,0.916301104
long,long-r1-current-d20-k16-v100,1,current,100,9,0,78788,4184864,32,1.6899e-05,0.128236,0.797511,0.926726631
long,long-r1-current-d20-k16-v100,1,current,100,16,0,78835,4187648,32,4.0039e-05,0.140342,0.793886,0.935828394
long,long-r1-current-d20-k16-v100,1,current,100,14,0,78962,4195200,32,1.709e-05,0.131488,0.804061,0.936697876
long,long-r1-current-d20-k16-v100,1,current,100,15,0,79016,4198400,32,1.765e-05,0.132409,0.803699,0.93750268
long,long-r1-current-d20-k16-v100,1,current,100,13,0,79165,4207232,32,1.6229e-05,0.138315,0.798431,0.937673147
long,long-r1-current-d20-k16-v100,1,current,100,12,0,78810,4186176,32,1.343e-05,0.12549100000000002,0.811741,0.938086038
long,long-r1-current-d20-k16-v100,1,current,100,6,0,78779,4184352,32,4.0739e-05,0.137369,0.802894,0.941347182
long,long-r1-current-d20-k16-v100,1,current,100,0,0,78830,4187360,32,1.519e-05,0.13213000000000003,0.808191,0.941387261
long,long-r1-current-d20-k16-v100,1,current,100,18,0,79157,4206752,32,1.747e-05,0.1281,0.812417,0.94139135
long,long-r1-current-d20-k16-v100,1,current,100,4,0,79199,4209248,32,1.782e-05,0.13559900000000003,0.805083,0.94190595
long,long-r1-current-d20-k16-v100,1,current,100,19,0,78665,4177568,32,1.645e-05,0.139014,0.801883,0.942427549
long,long-r1-current-d20-k16-v100,1,current,100,2,0,79185,4208448,32,1.355e-05,0.142986,0.799765,0.943239063
long,long-r1-current-d20-k16-v100,1,current,100,5,0,79009,4197984,32,1.314e-05,0.158207,0.784033,0.94338191
long,long-r1-current-d20-k16-v100,1,current,100,3,0,79127,4204992,32,1.347e-05,0.15652000000000002,0.786037,0.943760202
long,long-r1-current-d20-k16-v100,1,current,100,17,0,79065,4201344,32,1.345e-05,0.147425,0.806119,0.954160099
long,long-r1-current-d20-k16-v100,1,current,100,7,0,78875,4190080,32,1.307e-05,0.165281,0.7882600000000001,0.954510832
long,long-r1-current-d20-k16-v100,1,current,100,1,0,79027,4199072,32,1.38e-05,0.14487,0.824662,0.970457996
long,long-r1-current-d20-k16-v1024,1,current,1024,11,0,149161,4186016,32,4.3749e-05,0.365665,1.47855,1.90631303
long,long-r1-current-d20-k16-v1024,1,current,1024,9,0,149168,4184864,32,1.791e-05,0.39132900000000004,1.445544,1.912009913
long,long-r1-current-d20-k16-v1024,1,current,1024,8,0,149161,4185664,32,1.547e-05,0.366979,1.471255,1.917310594
long,long-r1-current-d20-k16-v1024,1,current,1024,10,0,149160,4187680,32,1.604e-05,0.34816400000000003,1.513787,2.017133281
long,long-r1-current-d20-k16-v1024,1,current,1024,19,0,125638,4177568,32,6.2479e-05,0.434512,1.5139930000000001,2.100926997
long,long-r1-current-d20-k16-v1024,1,current,1024,1,0,149160,4199072,32,3.1509e-05,0.45610500000000004,1.5620699999999998,2.150289566
long,long-r1-current-d20-k16-v1024,1,current,1024,3,0,149167,4204992,32,1.6599e-05,0.511551,1.499475,2.155932731
long,long-r1-current-d20-k16-v1024,1,current,1024,2,0,149167,4208448,32,1.6599e-05,0.48229700000000003,1.536896,2.160076016
long,long-r1-current-d20-k16-v1024,1,current,1024,5,0,149165,4197984,32,1.2469e-05,0.529568,1.491555,2.161297951
long,long-r1-current-d20-k16-v1024,1,current,1024,13,0,149166,4207232,32,2.6859e-05,0.424811,1.60262,2.170172259
long,long-r1-current-d20-k16-v1024,1,current,1024,7,0,149166,4190080,32,1.535e-05,0.488315,1.534994,2.173736466
long,long-r1-current-d20-k16-v1024,1,current,1024,18,0,149166,4206752,32,1.639e-05,0.473216,1.554964,2.175063369
long,long-r1-current-d20-k16-v1024,1,current,1024,0,0,149164,4187360,32,1.364e-05,0.46556900000000007,1.546843,2.177845192
long,long-r1-current-d20-k16-v1024,1,current,1024,6,0,149165,4184352,32,1.435e-05,0.510605,1.5104030000000002,2.181629384
