kind,value_bytes,round,old_ops,current_ops,throughput_change_pct,cpu_cost_change_pct
long,100,1,87501029.54637915,86434479.17812373,-1.2189003646981167,-0.254531857482565
long,100,2,87977416.71389753,87283709.32299201,-0.7885062062704673,0.22117633283134097
long,100,3,86041547.76893637,86447896.23490606,0.47227005616048423,0.18525718351924958
long,100,4,86484459.22164416,88235535.02212946,2.024728854461122,0.13984978141035054
long,1024,1,37924016.33415113,37859293.93489684,-0.17066335665508747,-0.4781345676733051
long,1024,2,37845951.73071392,38311253.783465624,1.2294632093347246,-0.7117721524353637
long,1024,3,38134055.81445484,37921673.96783341,-0.5569348501895499,-0.0673151116829751
long,1024,4,37934383.28128925,38096865.57862786,0.4283246049732181,-0.7240938805772479
long,4096,1,19857557.42348643,19722978.613462497,-0.6777208654311195,0.32569679871885526
long,4096,2,20239708.701708205,20041600.08562438,-0.9788115975557843,-0.02714107415254796
long,4096,3,20133726.92182475,20074195.381239787,-0.2956806795687217,-0.024463840124722136
long,4096,4,19829647.756518878,20831599.751487527,5.052797746441384,-4.158481605008079
long,65536,1,568535.0426128821,589825.1117894833,3.7447241736861203,-3.89277223838701
long,65536,2,585612.1051706652,588569.2836981182,0.5049722335557227,-0.08344334274582588
long,65536,3,566212.8537150242,592219.9807590286,4.59317143250404,-3.9533263468908952
long,65536,4,581425.7549941769,583746.1310964199,0.39908381806481596,-0.5064540594926892
long,4194304,1,9770.333086850163,10077.640908545454,3.145315711998542,-2.6593537676355083
long,4194304,2,9938.32150894862,10027.809703438472,0.9004356964028126,-1.411638908363555
long,4194304,3,10047.713753202665,10206.928136626051,1.584583193093425,-1.4680958834193514
long,4194304,4,9997.995442799076,10080.670865781396,0.8269199906653979,-1.168917509900913
