kind,run,round,variant,value_bytes,operations,seconds,ops_per_second,gib_s,cpu_cores,cpu_us_per_op,physical_write_bytes,write_amp
long,long-r1-old-d20-k16-v100,1,old,100,83886080,0.958686777,87501029.54637915,8.149168411863888,19.627785061230693,0.2243149042129517,16107388928,1.920150390625
long,long-r1-current-d20-k16-v100,1,current,100,83886080,0.970516405,86434479.17812373,8.049838168371815,19.3391919016557,0.22374395132064823,16107388928,1.920150390625
long,long-r1-current-d20-k16-v1024,1,current,1024,83886080,2.215732817,37859293.93489684,36.10543626298603,17.896244843134443,0.4727041363716126,129153863680,1.5035488605499268
long,long-r1-old-d20-k16-v1024,1,old,1024,83886080,2.2119513729999998,37924016.33415113,36.167160352851035,18.012965604194594,0.47497515678405766,129154093056,1.5035515308380127
long,long-r1-old-d20-k16-v4096,1,old,4096,83559040,4.207921358,19857557.42348643,75.7505700053651,18.89761172670661,0.9516584202020512,358477922304,1.0473914492076501
long,long-r1-current-d20-k16-v4096,1,current,4096,83559040,4.23663391,19722978.613462497,75.23719258675574,18.830670455545683,0.9547579412113876,358477266944,1.0473895343938848
long,long-r1-current-d20-k16-v65536,1,current,65536,5241600,8.886701999,589825.1117894833,36.00006785824483,17.182095564494237,29.130830853174597,387130068992,1.126971928895757
long,long-r1-old-d20-k16-v65536,1,old,65536,5241600,9.219484477,568535.0426128821,34.70062515947767,17.23272905294789,30.310759691697186,387130769408,1.1269739678724053
long,long-r1-old-d20-k16-v4194304,1,old,4194304,163840,16.769131466,9770.333086850163,38.16536362050845,16.298841508527776,1668.1971191406253,688602202112,1.002048087120056
long,long-r1-current-d20-k16-v4194304,1,current,4194304,163840,16.257773172,10077.640908545454,39.36578479900568,16.36441449793405,1623.833856201172,688600924160,1.0020462274551392
long,long-r2-current-d20-k16-v1024,2,current,1024,83886080,2.189593702,38311253.783465624,36.53645876261294,18.076031166808686,0.47182040214538584,129153863680,1.5035488605499268
long,long-r2-old-d20-k16-v1024,2,old,1024,83886080,2.216513951,37845951.73071392,36.09271214553253,17.984500833850156,0.47520276308059695,129154093056,1.5035515308380127
long,long-r2-old-d20-k16-v4096,2,old,4096,83559040,4.128470485,20239708.701708205,77.20836144145281,18.828905349434752,0.9302952738566646,358477922304,1.0473914492076501
long,long-r2-current-d20-k16-v4096,2,current,4096,83559040,4.16927988,20041600.08562438,76.45263704538108,18.639545493885148,0.9300427817265494,358477266944,1.0473895343938848
