kind,run,round,variant,value_bytes,disk,major_faults,minor_faults,operations,passes,sync_seconds,system_seconds,user_seconds,write_seconds
order-long,order-long-r5-old-d20-k16-v100,5,old,100,11,0,78807,4186016,32,0.009804897,0.12885000000000002,0.788921,0.917896581
order-long,order-long-r5-old-d20-k16-v100,5,old,100,8,0,78801,4185664,32,0.008398566,0.111816,0.807444,0.919305812
order-long,order-long-r5-old-d20-k16-v100,5,old,100,10,0,78836,4187680,32,0.008399346,0.12609700000000001,0.793097,0.919304962
order-long,order-long-r5-old-d20-k16-v100,5,old,100,9,0,78788,4184864,32,1.9079e-05,0.138774,0.791732,0.931228566
order-long,order-long-r5-old-d20-k16-v100,5,old,100,12,0,78809,4186176,32,4.6519e-05,0.137596,0.8005,0.939436826
order-long,order-long-r5-old-d20-k16-v100,5,old,100,13,0,79165,4207232,32,2.8149e-05,0.139222,0.801326,0.94119694
order-long,order-long-r5-old-d20-k16-v100,5,old,100,6,0,78779,4184352,32,4.1919e-05,0.128143,0.813116,0.94216402
order-long,order-long-r5-old-d20-k16-v100,5,old,100,0,0,78830,4187360,32,1.95e-05,0.135393,0.805725,0.942207369
order-long,order-long-r5-old-d20-k16-v100,5,old,100,15,0,79016,4198400,32,2.291e-05,0.13135,0.809813,0.942435364
order-long,order-long-r5-old-d20-k16-v100,5,old,100,18,0,79157,4206752,32,2.139e-05,0.13638499999999998,0.806002,0.942909914
order-long,order-long-r5-old-d20-k16-v100,5,old,100,14,0,78962,4195200,32,2.222e-05,0.160352,0.781946,0.943409844
order-long,order-long-r5-old-d20-k16-v100,5,old,100,4,0,79199,4209248,32,2.2559e-05,0.14831699999999998,0.794224,0.943559112
order-long,order-long-r5-old-d20-k16-v100,5,old,100,5,0,79009,4197984,32,1.7289e-05,0.142785,0.801394,0.945335575
order-long,order-long-r5-old-d20-k16-v100,5,old,100,3,0,79127,4204992,32,1.719e-05,0.13203199999999998,0.813239,0.945721577
order-long,order-long-r5-old-d20-k16-v100,5,old,100,2,0,79185,4208448,32,1.5979e-05,0.119173,0.826317,0.946447182
