kind,run,round,variant,value_bytes,operations,seconds,ops_per_second,gib_s,cpu_cores,cpu_us_per_op,physical_write_bytes,write_amp
order-long,order-long-r5-old-d20-k16-v100,5,old,100,83886080,0.96400642,87018175.66733631,8.104199140084564,19.533311821720027,0.2244739294052124,16107388928,1.920150390625
order-long,order-long-r5-current-d20-k16-v100,5,current,100,83886080,0.965469991,86886263.45922336,8.091913858356266,19.411833795671022,0.2234166026115417,16107388928,1.920150390625
order-long,order-long-r5-current-d20-k16-v4096,5,current,4096,83559040,4.260467789,19612644.464943286,74.81630121209444,18.62768595620053,0.9497794134542477,358477266944,1.0473895343938848
order-long,order-long-r5-old-d20-k16-v4096,5,old,4096,83559040,4.141506012,20176003.54988933,76.96534557300312,18.690575306594535,0.9263764878102957,358477922304,1.0473914492076501
order-long,order-long-r5-old-d20-k16-v65536,5,old,65536,5241600,9.079977913,577270.1266701858,35.233772379772084,17.085458190144827,29.59699004120879,387130769408,1.1269739678724053
order-long,order-long-r5-current-d20-k16-v65536,5,current,65536,5241600,9.03414558,580198.7530070331,35.412521545839425,17.110764779152472,29.4912126068376,387130068992,1.126971928895757
order-long,order-long-r5-current-d20-k16-v4194304,5,current,4194304,163840,16.101077643,10175.716410586345,39.74889222885291,16.318525680436654,1603.6733947753905,688600924160,1.0020462274551392
order-long,order-long-r5-old-d20-k16-v4194304,5,old,4194304,163840,16.485340802,9938.52671702868,38.822369988393284,16.576170810302422,1667.8700256347647,688602202112,1.002048087120056
order-long,order-long-r6-old-d20-k16-v65536,6,old,65536,5241600,9.205146226,569420.6122652418,34.7546760415797,17.179386629767592,30.169941620879122,387130769408,1.1269739678724053
order-long,order-long-r6-current-d20-k16-v65536,6,current,65536,5241600,8.919153289,587679.1025067895,35.86908584636166,17.083441450425326,29.069336271367515,387130068992,1.126971928895757
order-long,order-long-r6-current-d20-k16-v4194304,6,current,4194304,163840,16.1403242,10150.973299532609,39.65223945129925,16.485031013193655,1623.9852600097659,688600924160,1.0020462274551392
order-long,order-long-r6-old-d20-k16-v4194304,6,old,4194304,163840,16.582078849,9880.546431600194,38.59588449843826,16.25029011463483,1644.6752441406247,688602202112,1.002048087120056
