kind,run,round,variant,value_bytes,operations,seconds,ops_per_second,gib_s,cpu_cores,cpu_us_per_op,physical_write_bytes,write_amp
order-short,order-short-r5-old-d20-k16-v100,5,old,100,2621440,0.04014732,65295516.61231684,6.0811188642230665,18.29539306733301,0.2801937103271484,503435264,1.920453125
order-short,order-short-r5-current-d20-k16-v100,5,current,100,2621440,0.052529604,49904050.29514405,4.647676860461389,13.706404487648522,0.2746551513671874,503435264,1.920453125
order-short,order-short-r5-current-d20-k16-v4096,5,current,4096,2611220,0.147663449,17683590.744247075,67.45754525851088,17.15729936661577,0.9702384326100443,11029897216,1.0312597176798584
order-short,order-short-r5-old-d20-k16-v4096,5,old,4096,2611220,0.133056211,19624938.81627217,74.86320044049137,19.008041646398603,0.9685656513047541,11029897216,1.0312597176798584
order-short,order-short-r5-old-d20-k16-v65536,5,old,65536,163800,0.285231517,574270.3391364707,35.05067987893498,16.93676438989034,29.492667887667892,12076728320,1.1250076312576314
order-short,order-short-r5-current-d20-k16-v65536,5,current,65536,163800,0.283560822,577653.8481045876,35.25719287747727,16.8858200023133,29.231727716727722,12076728320,1.1250076312576314
order-short,order-short-r5-current-d20-k16-v4194304,5,current,4194304,40960,4.072708289,10057.189735545038,39.285897404472806,16.28502418872848,1619.2420166015625,172149063680,1.0020394325256348
order-short,order-short-r5-old-d20-k16-v4194304,5,old,4194304,40960,4.061039041,10086.08870450896,39.398784001988126,16.28702785967627,1614.8011718750001,172149358592,1.0020411491394043
order-short,order-short-r6-old-d20-k16-v65536,6,old,65536,163800,0.272701258,600657.2950976266,36.661211858986,16.71804535643176,27.83291819291819,12076728320,1.1250076312576314
order-short,order-short-r6-current-d20-k16-v65536,6,current,65536,163800,0.273489622,598925.8341949078,36.55553187224779,16.681408115734648,27.852210012210016,12076728320,1.1250076312576314
order-short,order-short-r6-current-d20-k16-v4194304,6,current,4194304,40960,4.093888764,10005.157042903964,39.08264469884361,15.876231560452823,1586.804833984375,172149063680,1.0020394325256348
order-short,order-short-r6-old-d20-k16-v4194304,6,old,4194304,40960,4.082028999,10034.225628978682,39.196193863197976,15.982574356032886,1592.8059570312498,172149358592,1.0020411491394043
