kind,value_bytes,first_variant,pairs,median_change_pct,min_change_pct,max_change_pct
short,100,old,2,-13.232391160987444,-23.57201093691854,-2.8927713850563475
short,100,current,3,3.0978675982439086,-4.752132579577973,7.268933368367336
short,1024,old,2,-1.105153481736565,-1.5034176012604372,-0.7068893622126926
short,1024,current,2,-0.8975880716860565,-7.3537626361230295,5.5585864927509165
short,4096,old,3,1.7240908303038704,1.2289016761876326,1.9506022386132749
short,4096,current,2,-8.84831162134671,-9.892250315783969,-7.804372926909453
short,65536,old,2,0.15046148638884205,-0.28826102951724497,0.5891840022949291
short,65536,current,4,-1.9326084774666297,-4.659091520367831,3.9459407759934395
short,4194304,old,4,0.3507823282808853,-1.7953472760011802,1.3643061517293997
short,4194304,current,2,-0.28810870669441213,-0.2896943635667171,-0.2865230498221072
long,100,old,2,-0.6852459612776141,-1.2189003646981167,-0.15159155785711143
long,100,current,3,0.47227005616048423,-0.7885062062704673,2.024728854461122
long,1024,old,2,-0.0643051226081659,-0.5569348501895499,0.4283246049732181
long,1024,current,2,0.5293999263398186,-0.17066335665508747,1.2294632093347246
long,4096,old,3,-0.6777208654311195,-0.9788115975557843,-0.2956806795687217
long,4096,current,2,1.1302871914572021,-2.79222336352698,5.052797746441384
long,65536,old,2,1.8569132993117021,0.5073233832036728,3.2065032154197315
long,65536,current,4,2.1248482036209215,0.39908381806481596,4.59317143250404
long,4194304,old,4,1.2425094447481189,0.8269199906653979,3.145315711998542
long,4194304,current,2,2.561765313709541,2.3865679522827365,2.736962675136345
unique,65536,old,2,-3.223660074931234,-5.936935251814224,-0.5103848980482439
unique,65536,current,4,-2.7412346514815447,-4.373113952378372,1.918990692046707
