kind,run,round,variant,value_bytes,operations,seconds,ops_per_second,gib_s,cpu_cores,cpu_us_per_op,physical_write_bytes,write_amp
short,paired-r1-old-d20-k16-v100,1,old,100,2621440,0.044838753,58463713.29728995,5.444857598961327,16.375410796995173,0.2800952911376952,503435264,1.920453125
short,paired-r1-current-d20-k16-v100,1,current,100,2621440,0.046174475,56772491.72838457,5.287350316381508,15.72054690389008,0.27690429687499996,503435264,1.920453125
short,paired-r1-current-d20-k16-v1024,1,current,1024,2621440,0.071544096,36640899.06174788,34.943484365222815,18.069737019250333,0.4931575775146484,3858841600,1.437530517578125
short,paired-r1-old-d20-k16-v1024,1,old,1024,2621440,0.066282913,39549257.58920704,37.71711119576172,19.277019403175597,0.48741798400878905,3858841600,1.437530517578125
short,paired-r1-old-d20-k16-v4096,1,old,4096,2611220,0.132795762,19663428.716949563,75.0100277593596,19.17198984106134,0.9750074677736842,11029897216,1.0312597176798584
short,paired-r1-current-d20-k16-v4096,1,current,4096,2611220,0.131183644,19905072.922048118,75.93182724780318,19.103471466305667,0.9597287857782952,11029897216,1.0312597176798584
short,paired-r1-current-d20-k16-v65536,1,current,65536,163800,0.289082063,566621.1120127505,34.58380810624698,15.903798915396559,28.06778388278388,12076728320,1.1250076312576314
short,paired-r1-old-d20-k16-v65536,1,old,65536,163800,0.30048907,545111.3413210004,33.27095589117434,16.871232620873695,30.950067155067153,12076728320,1.1250076312576314
short,paired-r1-old-d20-k16-v4194304,1,old,4194304,40960,4.097243873,9996.964122618629,39.05064110397902,16.019192177580198,1602.4056884765623,172149358592,1.0020411491394043
short,paired-r1-current-d20-k16-v4194304,1,current,4194304,40960,4.042097291,10133.353319129696,39.58341140285037,16.31237084441568,1609.7702636718748,172149063680,1.0020394325256348
short,paired-r2-current-d20-k16-v1024,2,current,1024,2621440,0.066525078,39405290.137352414,37.57981313452951,19.344073523671778,0.4909004211425781,3858841600,1.437530517578125
short,paired-r2-old-d20-k16-v1024,2,old,1024,2621440,0.070222932,37330255.59228999,35.60090598324775,18.25070476977521,0.4888984680175783,3858841600,1.437530517578125
short,paired-r2-old-d20-k16-v4096,2,old,4096,2611220,0.138643252,18834093.706919108,71.84636576430934,19.039375966166745,1.0108995029143462,11029897216,1.0312597176798584
short,paired-r2-current-d20-k16-v4096,2,current,4096,2611220,0.135990616,19201471.960388795,73.24780258327024,18.992008978031244,0.9890913059795804,11029897216,1.0312597176798584
short,paired-r2-current-d20-k16-v65536,2,current,65536,163800,0.30487596,537267.6809283355,32.792216853536104,16.695511184286225,31.074847374847376,12076728320,1.1250076312576314
short,paired-r2-old-d20-k16-v65536,2,old,65536,163800,0.29067151,563522.7202005453,34.39469727786531,17.006049199661845,30.178107448107454,12076728320,1.1250076312576314
short,paired-r2-old-d20-k16-v4194304,2,old,4194304,40960,4.018552794,10192.724122265197,39.81532860259843,16.325278617205598,1601.6600097656249,172149358592,1.0020411491394043
short,paired-r2-current-d20-k16-v4194304,2,current,4194304,40960,4.092018741,10009.729327385794,39.10050518510076,16.31134611658417,1629.5491699218749,172149063680,1.0020394325256348
short,paired-r2-current-d20-k16-v100,2,current,100,2621440,0.044245125,59248109.25497442,5.517910165244193,16.49205420936205,0.2783557891845703,503435264,1.920453125
short,paired-r2-old-d20-k16-v100,2,old,100,2621440,0.042142538,62204132.08146125,5.793211244182778,17.204160793543103,0.27657585144042984,503435264,1.920453125
short,paired-r3-old-d20-k16-v4096,3,old,4096,2611220,0.135726832,19238789.86580929,73.39015909503667,18.58373884391555,0.9659515475524849,11029897216,1.0312597176798584
short,paired-r3-current-d20-k16-v4096,3,current,4096,2611220,0.133426439,19570484.07774714,74.65547209833962,18.97037063246513,0.969335789401123,11029897216,1.0312597176798584
short,paired-r3-current-d20-k16-v65536,3,current,65536,163800,0.290240537,564359.4850432626,34.44576935078507,16.88114296728992,29.91203907203908,12076728320,1.1250076312576314
short,paired-r3-old-d20-k16-v65536,3,old,65536,163800,0.283539377,577697.5379331528,35.25985949299028,16.8622363870116,29.188693528693523,12076728320,1.1250076312576314
short,paired-r3-old-d20-k16-v4194304,3,old,4194304,40960,4.098825471,9993.106632570743,39.035572783479466,16.369617949024406,1638.0909912109375,172149358592,1.0020411491394043
short,paired-r3-current-d20-k16-v4194304,3,current,4194304,40960,4.061615352,10084.657568528908,39.39319362706605,16.30110836748679,1616.4265625,172149063680,1.0020394325256348
short,paired-r3-current-d20-k16-v100,3,current,100,2621440,0.041471172,63211138.5711501,5.886996031845929,17.612957743272844,0.2786369323730469,503435264,1.920453125
short,paired-r3-old-d20-k16-v100,3,old,100,2621440,0.042755894,61311780.78044631,5.710104553070507,16.956492594915684,0.2765617370605469,503435264,1.920453125
short,paired-r3-old-d20-k16-v1024,3,old,1024,2621440,0.066095517,39661388.83519135,37.82404788512358,19.180544423307868,0.4836074829101564,3858841600,1.437530517578125
short,paired-r3-current-d20-k16-v1024,3,current,1024,2621440,0.067104376,39065112.53453874,37.25539449170946,19.249594095025937,0.4927566528320313,3858841600,1.437530517578125
short,paired-r4-current-d20-k16-v65536,4,current,65536,163800,0.285154563,574425.3161398647,35.06013892455229,16.79669421947844,29.240866910866917,12076728320,1.1250076312576314
short,paired-r4-old-d20-k16-v65536,4,old,65536,163800,0.280716454,583506.9432730865,35.61443745563272,16.939537858368645,29.030567765567767,12076728320,1.1250076312576314
short,paired-r4-old-d20-k16-v4194304,4,old,4194304,40960,4.042948715,10131.219287554086,39.57507534200815,16.580628082491028,1636.5876220703126,172149358592,1.0020411491394043
short,paired-r4-current-d20-k16-v4194304,4,current,4194304,40960,4.051642577,10109.480098890766,39.490156636292056,16.44335864624319,1626.5286132812496,172149063680,1.0020394325256348
short,paired-r4-current-d20-k16-v100,4,current,100,2621440,0.043527239,60225276.40680356,5.608915948011313,16.82208696949512,0.2793193817138671,503435264,1.920453125
short,paired-r4-old-d20-k16-v100,4,old,100,2621440,0.046691205,56144192.466225706,5.228835387735228,15.575267333537438,0.2774154663085937,503435264,1.920453125
short,paired-r4-old-d20-k16-v1024,4,old,1024,2621440,0.066594387,39364278.55398684,37.54070144079861,19.33404687695376,0.49115715026855483,3858841600,1.437530517578125
short,paired-r4-current-d20-k16-v1024,4,current,1024,2621440,0.067068487,39086016.656376936,37.275330215813575,19.245148619499947,0.49237937927246095,3858841600,1.437530517578125
short,paired-r4-current-d20-k16-v4096,4,current,4096,2611220,0.146888483,17776887.24581627,67.81344316793927,17.571561413701854,0.9884498433682343,11029897216,1.0312597176798584
short,paired-r4-old-d20-k16-v4096,4,old,4096,2611220,0.135424758,19281703.276146892,73.55386076411015,19.10112329681992,0.9906346458743425,11029897216,1.0312597176798584
