run,variant,value_bytes,elapsed_ms,ops_per_second,max_dispatch_ms,median_write_ms,max_write_ms,max_sync_ms,last_owner,last_owner_dispatch_ms,last_owner_write_ms,last_owner_sync_ms,coordinator_tail_ms
diag-r1-current-d20-k16-v100,current,100,39.697668,66035113.19606986,0.041939,36.6689845,37.13295,5.40789,7,0.02455,36.659979,2.9241200000000003,0.087609
diag-r1-current-d20-k16-v65536,current,65536,275.777975,593956.0619371434,0.038259,266.6492725,275.706857,0.052069,12,0.030769,275.706857,0.01468,0.023999
diag-r1-old-d20-k16-v100,old,100,47.478748,55212913.364943825,0.043399,36.6693495,36.884305,12.874137000000001,6,0.02271,36.836876,10.423846000000001,0.194066
diag-r1-old-d20-k16-v65536,old,65536,277.118058,591083.8188682746,0.041279,267.84732249999996,277.04492,9.887238,19,0.041279,277.04492,0.016519,0.01374
diag-r2-current-d20-k16-v100,current,100,46.903279999999995,55890334.32203462,0.043309,37.141259999999996,37.400764,11.861487,16,0.041999,37.088411,9.691502,0.080228
diag-r2-current-d20-k16-v65536,current,65536,271.52032199999996,603269.7618854474,0.040069,257.09432799999996,271.21326899999997,0.07189799999999999,16,0.037589,271.21326899999997,0.014319,0.253805
diag-r2-old-d20-k16-v100,old,100,47.454479,55241150.15571027,0.040209,36.587486500000004,36.985592999999994,13.335607,12,0.033559,36.64629,10.589944000000001,0.182806
diag-r2-old-d20-k16-v65536,old,65536,261.784191,625706.2329634718,0.039729,250.33487599999998,261.71000300000003,9.291349,12,0.032599,261.71000300000003,0.016079999999999997,0.023859
diag-r3-current-d20-k16-v100,current,100,48.746043,53777493.28289067,0.044209,37.118336,37.517272,11.786579,19,0.044209,37.075832000000005,11.588702,0.03621
diag-r3-current-d20-k16-v65536,current,65536,289.197681,566394.5832262742,0.03802,274.68858750000004,289.12686199999996,0.19731600000000002,12,0.0312,289.12686199999996,0.014599,0.02347
diag-r3-old-d20-k16-v100,old,100,46.517257,56354139.71206428,0.042509,36.549952,36.815027,12.24107,3,0.014779,36.641470000000005,9.676051999999999,0.183576
diag-r3-old-d20-k16-v65536,old,65536,277.04058999999995,591249.101801292,0.040809,265.53391500000004,276.97005,9.426967,12,0.03379,276.97005,0.016220000000000002,0.01888
diag-r4-current-d20-k16-v100,current,100,46.287523,56633836.29320584,0.048439,36.8221665,37.344666,9.464466,19,0.048089,36.756817999999996,9.449996,0.03117
diag-r4-current-d20-k16-v65536,current,65536,300.828192,544496.8402429518,0.038299,292.32628650000004,300.756464,0.242155,17,0.037209,300.756464,0.014099,0.01885
diag-r4-old-d20-k16-v100,old,100,39.367514,66588913.894842334,0.041729,36.6405805,36.964914,5.127535,12,0.035609,36.743818,2.401381,0.185116
diag-r4-old-d20-k16-v65536,old,65536,286.41301699999997,571901.3811442795,0.044769,275.88106300000004,286.330949,9.517505,14,0.038529,286.330949,0.01697,0.025249
