run,engine,disks,key_bytes,value_bytes,operations,seconds,ops_per_second,logical_gib_s,physical_gib_s,physical_write_bytes,write_amplification,cpu_cores
current-r1-v2-d20-k16-v100,v2,20,16,100,2621440,0.043399712,60402244.14392427,5.6253973528672265,10.803311925680593,503435264,1.920453125,16.818037870850386
current-r1-v2-d20-k16-v1024,v2,20,16,1024,2621440,0.072556645,36129564.70079343,34.455837918084555,49.53131851597207,3858841600,1.437530517578125,17.97599654724939
current-r1-v2-d20-k16-v4096,v2,20,16,4096,2611220,0.131079196,19920933.906247027,75.99233210085688,78.36783094816371,11029897216,1.0312597176798584,19.023934202342833
current-r1-v2-d20-k16-v4194304,v2,20,16,4194304,40960,4.099567196,9991.298603414818,39.02851016958913,39.10810618265606,172149063680,1.0020394325256348,16.30791612959331
current-r1-v2-d20-k16-v65536,v2,20,16,65536,163800,0.307288758,533049.1133684753,32.534735923368856,36.60182619474176,12076728320,1.1250076312576314,16.80238494113735
current-r2-v2-d20-k16-v100,v2,20,16,100,2621440,0.052505535,49926926.75162724,4.649807396496389,8.929737145249604,503435264,1.920453125,13.859719741928155
current-r2-v2-d20-k16-v1024,v2,20,16,1024,2621440,0.071225101,36805002.214036874,35.099985326802134,50.457300073822466,3858841600,1.437530517578125,18.13159942026618
current-r2-v2-d20-k16-v4096,v2,20,16,4096,2611220,0.137267559,19022848.654284,72.56640874589539,74.8348141963333,11029897216,1.0312597176798584,18.971678515824703
current-r2-v2-d20-k16-v4194304,v2,20,16,4194304,40960,4.115661949,9952.22652092508,38.875884847363594,38.955169591384134,172149063680,1.0020394325256348,16.30757963887379
current-r2-v2-d20-k16-v65536,v2,20,16,65536,163800,0.288809357,567156.1396121942,34.616463599377084,38.943785716451224,12076728320,1.1250076312576314,16.83558334295935
current-r3-v2-d20-k16-v100,v2,20,16,100,2621440,0.056403295,46476717.361990996,4.3284816073245365,8.312646029291429,503435264,1.920453125,12.937151987308543
current-r3-v2-d20-k16-v1024,v2,20,16,1024,2621440,0.067074487,39082520.30313702,37.27199583352758,53.579631461740625,3858841600,1.437530517578125,19.240847865150265
current-r3-v2-d20-k16-v4096,v2,20,16,4096,2611220,0.141389335,18468295.363295965,70.45095582311998,72.6532328124269,11029897216,1.0312597176798584,17.93251945063607
current-r3-v2-d20-k16-v4194304,v2,20,16,4194304,40960,4.142206888,9888.448623525152,38.62675243564512,38.70552909092202,172149063680,1.0020394325256348,15.990639480584052
current-r3-v2-d20-k16-v65536,v2,20,16,65536,163800,0.311942513,525096.7507593299,32.049362228963005,36.05577708452346,12076728320,1.1250076312576314,16.76138321037377
