run,value_bytes,phase,samples,tasks,io_wq,running_tasks,running_io_wq
current-r1-v2-d20-k16-v100,100,setup_and_write,6,19,0,1,0
current-r1-v2-d20-k16-v100,100,verify,2,21,0,20,0
current-r1-v2-d20-k16-v100,100,read_160,28,21,0,20,0
current-r1-v2-d20-k16-v100,100,read_640,28,21,0,20,0
current-r1-v2-d20-k16-v100,100,read_2560,28,21,0,20,0
current-r1-v2-d20-k16-v1024,1024,setup_and_write,6,18,0,1,0
current-r1-v2-d20-k16-v1024,1024,verify,2,21,0,20,0
current-r1-v2-d20-k16-v1024,1024,read_160,28,21,0,20,0
current-r1-v2-d20-k16-v1024,1024,read_640,28,21,0,20,0
current-r1-v2-d20-k16-v1024,1024,read_2560,28,21,0,20,0
current-r1-v2-d20-k16-v4096,4096,setup_and_write,7,21,0,20,0
current-r1-v2-d20-k16-v4096,4096,verify,1,21,0,20,0
current-r1-v2-d20-k16-v4096,4096,read_160,28,21,0,20,0
current-r1-v2-d20-k16-v4096,4096,read_640,28,21,0,20,0
current-r1-v2-d20-k16-v4096,4096,read_2560,28,21,0,20,0
current-r1-v2-d20-k16-v4194304,4194304,setup_and_write,20,21,0,20,0
current-r1-v2-d20-k16-v4194304,4194304,verify,3,21,0,20,0
current-r1-v2-d20-k16-v4194304,4194304,read_160,28,21,0,20,0
current-r1-v2-d20-k16-v4194304,4194304,read_640,28,21,0,20,0
current-r1-v2-d20-k16-v4194304,4194304,read_2560,28,21,0,20,0
current-r1-v2-d20-k16-v65536,65536,setup_and_write,5,21,0,16,0
current-r1-v2-d20-k16-v65536,65536,read_160,28,21,0,20,0
current-r1-v2-d20-k16-v65536,65536,read_640,28,21,0,20,0
current-r1-v2-d20-k16-v65536,65536,read_2560,28,21,0,20,0
current-r2-v2-d20-k16-v100,100,setup_and_write,6,18,0,1,0
current-r2-v2-d20-k16-v100,100,verify,2,21,0,20,0
current-r2-v2-d20-k16-v100,100,read_640,28,21,0,20,0
current-r2-v2-d20-k16-v100,100,close,1,17,0,1,0
current-r2-v2-d20-k16-v1024,1024,setup_and_write,6,17,0,1,0
current-r2-v2-d20-k16-v1024,1024,verify,2,21,0,20,0
current-r2-v2-d20-k16-v1024,1024,read_640,28,21,0,20,0
current-r2-v2-d20-k16-v1024,1024,close,1,1,0,1,0
current-r2-v2-d20-k16-v4096,4096,setup_and_write,7,21,0,20,0
current-r2-v2-d20-k16-v4096,4096,verify,1,21,0,20,0
current-r2-v2-d20-k16-v4096,4096,read_640,28,21,0,20,0
current-r2-v2-d20-k16-v4096,4096,close,1,16,0,11,0
current-r2-v2-d20-k16-v4194304,4194304,setup_and_write,20,21,0,20,0
current-r2-v2-d20-k16-v4194304,4194304,verify,3,21,0,20,0
current-r2-v2-d20-k16-v4194304,4194304,read_640,28,21,0,20,0
current-r2-v2-d20-k16-v65536,65536,setup_and_write,5,21,0,16,0
current-r2-v2-d20-k16-v65536,65536,read_640,28,21,0,20,0
current-r3-v2-d20-k16-v100,100,setup_and_write,6,18,0,1,0
current-r3-v2-d20-k16-v100,100,verify,2,21,0,20,0
current-r3-v2-d20-k16-v100,100,read_640,28,21,0,20,0
current-r3-v2-d20-k16-v100,100,close,1,15,0,1,0
current-r3-v2-d20-k16-v1024,1024,setup_and_write,6,18,0,1,0
current-r3-v2-d20-k16-v1024,1024,verify,2,21,0,20,0
current-r3-v2-d20-k16-v1024,1024,read_640,28,21,0,20,0
current-r3-v2-d20-k16-v4096,4096,setup_and_write,7,21,0,20,0
current-r3-v2-d20-k16-v4096,4096,verify,1,21,0,20,0
current-r3-v2-d20-k16-v4096,4096,read_640,28,21,0,20,0
current-r3-v2-d20-k16-v4096,4096,close,1,19,0,1,0
current-r3-v2-d20-k16-v4194304,4194304,setup_and_write,20,21,0,20,0
current-r3-v2-d20-k16-v4194304,4194304,verify,3,21,0,20,0
current-r3-v2-d20-k16-v4194304,4194304,read_640,28,21,0,20,0
current-r3-v2-d20-k16-v65536,65536,setup_and_write,5,21,0,16,0
current-r3-v2-d20-k16-v65536,65536,read_640,28,21,0,20,0
