run,value_bytes,max_tasks,max_io_wq,rss_kib,anon_huge_pages_kib
current-r1-v2-d20-k16-v100,100,21,0,11611480,10485760
current-r1-v2-d20-k16-v1024,1024,21,0,11612724,10485760
current-r1-v2-d20-k16-v4096,4096,21,0,11614760,10485760
current-r1-v2-d20-k16-v4194304,4194304,21,0,10599640,10485760
current-r1-v2-d20-k16-v65536,65536,21,0,10656828,10485760
current-r2-v2-d20-k16-v100,100,21,0,11611556,10485760
current-r2-v2-d20-k16-v1024,1024,21,0,11612596,10485760
current-r2-v2-d20-k16-v4096,4096,21,0,11614792,10485760
current-r2-v2-d20-k16-v4194304,4194304,21,0,10599688,10485760
current-r2-v2-d20-k16-v65536,65536,21,0,10655684,10485760
current-r3-v2-d20-k16-v100,100,21,0,11611496,10485760
current-r3-v2-d20-k16-v1024,1024,21,0,11612596,10485760
current-r3-v2-d20-k16-v4096,4096,21,0,11614816,10485760
current-r3-v2-d20-k16-v4194304,4194304,21,0,10599584,10485760
current-r3-v2-d20-k16-v65536,65536,21,0,10656232,10485760
