repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,read_range,seconds,verified_reads,workload,device_read_bytes_per_op,device_write_amplification,cpu_percent
0,0.010713,0.036472000000000004,0,0,537399296,4225,True,legacy,7.384442120609738,0,128,1890.417182876093,,,,536870912,write,64,4096:8192,0.067709922,False,4194304,0.0,1.0009841918945312,69.68698029219411
0,0.5129919999999999,0.26212100000000005,1561321472,381182,0,0,True,legacy,0.14540919833135285,23824,381182,38118.14888737416,14.67,63.928,63.219,1561321472,read,1,4096:8192,10.000013409,False,4194304,4096.0,0.0,7.751119606523719
0,5.444101,3.8523130000000005,35234316288,8602128,0,0,True,legacy,3.2811421299805117,537633,8602128,860131.7225216113,26.9,1387.141,1035.398,35234316288,read,64,4096:8192,10.000942617,False,4194304,4096.0,0.0,92.95537786805802
0,0.010897000000000004,0.03889700000000001,0,0,537395200,4224,True,v2,8.746853975296435,0,128,2239.1946176758875,,,,536870912,write,64,4096:8192,0.05716341,False,4194304,0.0,1.0009765625,87.10816936918216
0,0.543026,0.499152,1908744192,466002,0,0,True,v2,0.17776564042527526,29126,466002,46600.19604364336,14.73,63.939,62.959,1908744192,read,1,4096:8192,10.000000849,False,4194304,4096.0,0.0,10.421779115190954
0,7.6282689999999995,2.3582039999999997,38467440640,9391465,0,0,True,v2,3.582498703513572,586967,9391465,939130.5401338618,54.589,227.685,163.997,38467440640,read,64,4096:8192,10.000169943,False,4194304,4096.0,0.0,99.86303289766003
0,0.012814000000000006,0.030275999999999997,0,0,570429440,8193,True,legacy,9.159449920808312,0,8192,150068.42750252338,,,,536870912,write,64,4096:8192,0.054588431,False,65536,0.0,1.0625076293945312,78.93613941752604
0,0.29501600000000006,0.07183,727957504,177724,0,0,True,legacy,0.06779615372542944,11108,177724,17772.354922198974,55.649,64.109,63.488,727957504,read,1,4096:8192,10.000025364,False,65536,4096.0,0.0,3.6684506953416567
0,5.326136,4.019298999999999,35445026816,8653571,0,0,True,legacy,3.3010394395974783,540849,8653571,865347.6828538413,69.608,166.176,127.817,35445026816,read,64,4096:8192,10.000108825,False,65536,4096.0,0.0,93.45333299410368
0,0.018980999999999998,0.022172,0,0,570425344,8192,True,v2,9.185637227403586,0,8192,150497.48033378035,,,,536870912,write,64,4096:8192,0.054432805,False,65536,0.0,1.0625,75.60330576386794
0,0.23149299999999998,0.16633199999999998,725561344,177139,0,0,True,v2,0.06757309433364779,11072,177139,17713.881240999766,55.869,64.579,63.729,725561344,read,1,4096:8192,10.00001059,False,65536,4096.0,0.0,3.9782457870377113
0,6.978788,2.222914,31713890304,7742649,0,0,True,v2,2.953555953077166,483916,7742649,774256.9717634605,77.649,171.367,136.597,31713890304,read,64,4096:8192,10.000102398,False,65536,4096.0,0.0,92.01607777376681
1,0.013841999999999993,0.033544,0,0,537399296,4225,True,legacy,7.401769013912202,0,128,1894.8528675615237,,,,536870912,write,64,4096:8192,0.067551419,False,4194304,0.0,1.0009841918945312,70.14804529864871
1,0.5420780000000001,0.30255,1666826240,406940,0,0,True,legacy,0.1552351398716405,25434,406940,40693.96050651133,14.55,63.758,63.009,1666826240,read,1,4096:8192,10.000009705,False,4194304,4096.0,0.0,8.446271802893216
1,5.207974,3.7540869999999997,33265418240,8121440,0,0,True,legacy,3.0975507845756547,507590,8121440,812004.3528718004,24.099,1748.374,1401.371,33265418240,read,64,4096:8192,10.001719783,False,4194304,4096.0,0.0,89.60519985005863
1,0.008988000000000003,0.039906000000000004,0,0,537395200,4224,True,v2,8.698306140572699,0,128,2226.766371986611,,,,536870912,write,64,4096:8192,0.057482456,False,4194304,0.0,1.0009765625,85.05899608743232
1,0.60837,0.47351000000000004,1993461760,486685,0,0,True,v2,0.18565538417431388,30418,486685,48668.44502899134,14.5,63.828,62.778,1993461760,read,1,4096:8192,10.000011295,False,4194304,4096.0,0.0,10.818787780179202
1,7.62083,2.365373,38791999488,9470703,0,0,True,v2,3.61271759429793,591919,9470703,947052.2410396365,54.949,225.786,162.297,38791999488,read,64,4096:8192,10.000190686,False,4194304,4096.0,0.0,99.86012580720504
1,0.013947000000000001,0.029272,0,0,570429440,8193,True,legacy,9.162191775851742,0,8192,150113.35005555494,,,,536870912,write,64,4096:8192,0.054572095,False,65536,0.0,1.0625076293945312,79.1961532721073
1,0.29595899999999997,0.070132,727941120,177720,0,0,True,legacy,0.06779463683316002,11108,177720,17771.9572779919,55.698,64.578,63.539,727941120,read,1,4096:8192,10.000024039,False,65536,4096.0,0.0,3.660901199559606
1,5.3207059999999995,4.022352,35396214784,8641654,0,0,True,legacy,3.2964765017366267,540104,8641654,864151.5360712463,69.678,166.697,127.988,35396214784,read,64,4096:8192,10.000160434,False,65536,4096.0,0.0,93.42908107988059
1,0.013458000000000001,0.025875,0,0,570425344,8192,True,v2,9.18886118161367,0,8192,150550.30159955836,,,,536870912,write,64,4096:8192,0.054413707,False,65536,0.0,1.0625,72.2850953712821
1,0.176379,0.22309099999999998,725274624,177069,0,0,True,v2,0.06754612368123378,11067,177069,17706.811046293347,55.929,64.258,63.689,725274624,read,1,4096:8192,10.000050237,False,65536,4096.0,0.0,3.994679931926426
1,6.895385999999999,2.277501,31702368256,7739836,0,0,True,v2,2.952464281122977,483740,7739836,773970.7965107016,77.698,173.586,136.858,31702368256,read,64,4096:8192,10.000165426,False,65536,4096.0,0.0,91.72735259109702
2,0.010557999999999998,0.036622999999999996,0,0,537399296,4225,True,legacy,7.581247777557214,0,128,1940.7994310546467,,,,536870912,write,64,4096:8192,0.065952204,False,4194304,0.0,1.0009841918945312,71.53817027858538
2,0.5108130000000001,0.27914700000000003,1580503040,385865,0,0,True,legacy,0.14719538041531072,24117,385865,38586.38580359121,14.599,63.819,63.139,1580503040,read,1,4096:8192,10.000029595,False,4194304,4096.0,0.0,7.89957662120299
2,5.436568,3.8497790000000003,35367272448,8634588,0,0,True,legacy,3.293582173446043,539662,8634588,863392.8052758395,26.879,1504.739,1134.976,35367272448,read,64,4096:8192,10.000764365,False,4194304,4096.0,0.0,92.85637238389228
2,0.010372,0.03954800000000001,0,0,537395200,4224,True,v2,8.638081986454797,0,128,2211.348988532428,,,,536870912,write,64,4096:8192,0.05788322,False,4194304,0.0,1.0009765625,86.2426105527647
2,0.48956600000000006,0.5658270000000001,1936236544,472714,0,0,True,v2,0.1803259318058282,29545,472714,47271.36106730703,14.469,63.819,62.849,1936236544,read,1,4096:8192,10.000008236,False,4194304,4096.0,0.0,10.553921307790413
2,7.586791999999999,2.398586,38624120832,9429717,0,0,True,v2,3.5971179512039275,589358,9429717,942962.8882004024,54.329,228.136,163.977,38624120832,read,64,4096:8192,10.000093448,False,4194304,4096.0,0.0,99.85284689511633
