workload,phase,qd,engine,samples,verified_reads,read_range,gib_s,ops_s,p50_us,p99_us,p999_us,device_read_bytes_per_op,device_write_amplification,cpu_percent,min_ops_s,max_ops_s
4194304,read,1,legacy,3,False,4096:8192,0.14719538041531072,38586.38580359121,14.599,63.139,63.819,4096.0,0.0,7.89957662120299,38118.14888737416,40693.96050651133
4194304,read,1,v2,3,False,4096:8192,0.1803259318058282,47271.36106730703,14.5,62.849,63.828,4096.0,0.0,10.553921307790413,46600.19604364336,48668.44502899134
4194304,read,64,legacy,3,False,4096:8192,3.2811421299805117,860131.7225216113,26.879,1134.976,1504.739,4096.0,0.0,92.85637238389228,812004.3528718004,863392.8052758395
4194304,read,64,v2,3,False,4096:8192,3.5971179512039275,942962.8882004024,54.589,163.977,227.685,4096.0,0.0,99.86012580720504,939130.5401338618,947052.2410396365
4194304,write,64,legacy,3,False,4096:8192,7.401769013912202,1894.8528675615237,,,,0.0,1.0009841918945312,70.14804529864871,1890.417182876093,1940.7994310546467
4194304,write,64,v2,3,False,4096:8192,8.698306140572699,2226.766371986611,,,,0.0,1.0009765625,86.2426105527647,2211.348988532428,2239.1946176758875
65536,read,1,legacy,3,False,4096:8192,0.06779615372542944,17772.354922198974,55.649,63.488,64.109,4096.0,0.0,3.6684506953416567,17771.9572779919,17791.127413979262
65536,read,1,v2,3,False,4096:8192,0.06757309433364779,17713.881240999766,55.869,63.689,64.449,4096.0,0.0,3.9935344617664086,17706.811046293347,17730.87541082198
65536,read,64,legacy,3,False,4096:8192,3.3010394395974783,865347.6828538413,69.608,127.817,166.176,4096.0,0.0,93.45333299410368,864151.5360712463,870773.5546952672
65536,read,64,v2,3,False,4096:8192,2.953555953077166,774256.9717634605,77.649,136.597,171.367,4096.0,0.0,92.01607777376681,773970.7965107016,777733.1195387815
65536,write,64,legacy,3,False,4096:8192,9.16069912770174,150088.8945082653,,,,0.0,1.0625076293945312,78.93613941752604,150068.42750252338,150113.35005555494
65536,write,64,v2,3,False,4096:8192,9.185637227403586,150497.48033378035,,,,0.0,1.0625,75.23710894061523,150474.21788123043,150550.30159955836
