repeat,cpu_system_s,cpu_user_s,device_read_bytes,device_read_ios,device_write_bytes,device_write_ios,durable_flush,engine,gib_s,latency_samples,operations,ops_s,p50_us,p999_us,p99_us,payload_bytes,phase,qd,read_range,seconds,verified_reads,workload,device_read_bytes_per_op,device_write_amplification,cpu_percent
0,0.01223600000000001,0.035083,0,0,537399296,4225,True,legacy,7.368730198011339,0,128,1886.3949306909028,,,,536870912,write,64,65530:65540,0.067854296,False,4194304,0.0,1.0009841918945312,69.73618884793974
0,0.44308400000000003,0.229949,2653978624,323972,0,0,True,legacy,0.0003017218905439489,20249,323972,32397.141309338804,19.159,69.828,68.408,3239720,read,1,65530:65540,10.000018116,False,4194304,8192.0,0.0,6.73031780735626
0,6.082677,3.7431870000000003,70264143872,8577166,0,0,True,legacy,0.007987953536253492,536073,8577166,857699.9800044075,43.679,556.659,352.163,85771660,read,64,65530:65540,10.000193774,False,4194304,8192.0,0.0,98.25673603992307
0,0.009418000000000003,0.040539,0,0,537395200,4224,True,v2,8.770122102375774,0,128,2245.151258208198,,,,536870912,write,64,65530:65540,0.057011749,False,4194304,0.0,1.0009765625,87.62579797367732
0,0.423542,0.42010100000000006,3033047040,370245,0,0,True,v2,0.00034481737729810175,23141,370245,37024.483964695995,19.09,69.229,68.228,3702450,read,1,65530:65540,10.000004331,False,4194304,8192.0,0.0,8.436426346183751
0,7.895602,2.098801,66850996224,8160522,0,0,True,v2,0.007599937080215902,510033,8160522,816037.0302796257,62.949,281.234,201.035,81605220,read,64,65530:65540,10.000185895,False,4194304,8192.0,0.0,99.94217212499129
1,0.00688699999999999,0.040424,0,0,537399296,4225,True,legacy,7.580756740247917,0,128,1940.6737255034668,,,,536870912,write,64,65530:65540,0.065956476,False,4194304,0.0,1.0009841918945312,71.73063642757384
1,0.41144800000000004,0.20471599999999998,2379366400,290450,0,0,True,legacy,0.0002705025815831911,18154,290450,29044.993534584442,19.44,71.399,68.759,2904500,read,1,65530:65540,10.000002226,False,4194304,8192.0,0.0,6.161638628419242
1,5.9542079999999995,3.3553500000000005,61854597120,7550610,0,0,True,legacy,0.007031423246931239,471914,7550610,754993.3222475951,38.829,1231.485,802.064,75506100,read,64,65530:65540,10.000896402,False,4194304,8192.0,0.0,93.08723564157962
1,0.007059000000000003,0.043220999999999996,0,0,537395200,4224,True,v2,8.671512643230193,0,128,2219.9072366669293,,,,536870912,write,64,65530:65540,0.057660067,False,4194304,0.0,1.0009765625,87.2007311403228
1,0.39782,0.43593399999999993,3007725568,367154,0,0,True,v2,0.0003419370548677981,22948,367154,36715.21169869376,19.12,69.299,68.389,3671540,read,1,65530:65540,10.000051287,False,4194304,8192.0,0.0,8.337497239477907
1,7.988300000000001,2.002974,70005194752,8545556,0,0,True,v2,0.007958588806634602,534098,8545556,854546.966170182,59.119,291.334,202.676,85455560,read,64,65530:65540,10.000101034,False,4194304,8192.0,0.0,99.91173055182155
2,0.009191999999999992,0.038109,0,0,537399296,4225,True,legacy,7.594299172251768,0,128,1944.1405880964526,,,,536870912,write,64,65530:65540,0.06583886,False,4194304,0.0,1.0009841918945312,71.84358902933616
2,0.353283,0.21501499999999998,2219073536,270883,0,0,True,legacy,0.00025227841674596785,16931,270883,27088.18873526477,19.77,73.439,69.508,2708830,read,1,65530:65540,10.000041075,False,4194304,8192.0,0.0,5.68295665725553
2,4.917149,2.465553,42526556160,5191230,0,0,True,legacy,0.004834101760118321,324452,5191230,519057.72413110564,32.91,2033.288,1790.694,51912300,read,64,65530:65540,10.001257584,False,4194304,8192.0,0.0,73.81773679952848
2,0.007868999999999994,0.04200600000000001,0,0,537395200,4224,True,v2,8.685579922274481,0,128,2223.5084601022672,,,,536870912,write,64,65530:65540,0.05756668,False,4194304,0.0,1.0009765625,86.63865972468795
2,0.43406,0.389426,2962735104,361662,0,0,True,v2,0.00033682351396658125,22604,361662,36166.14942525664,19.2,69.278,68.228,3616620,read,1,65530:65540,10.000013984,False,4194304,8192.0,0.0,8.234848484387879
2,7.911295999999999,2.079997,69692923904,8507437,0,0,True,v2,0.007923104804011526,531715,8507437,850736.9004002499,59.388,283.744,200.196,85074370,read,64,65530:65540,10.000079926,False,4194304,8192.0,0.0,99.91213144229822
