workload,phase,qd,engine,samples,verified_reads,read_range,huge_pages,gib_s,ops_s,p50_us,p99_us,p999_us,device_read_bytes_per_op,device_write_amplification,cpu_percent,min_ops_s,max_ops_s
100,read,1,legacy,3,False,full,Disabled,0.0016178739322042389,17371.789069670318,55.739,63.688,65.169,4096.0,0.0,3.759502485981718,17359.919127080753,17375.475761873207
100,read,1,v2,3,False,full,Disabled,0.0016176411853192287,17369.289969021906,55.759,63.638,64.829,4096.0,0.0,3.812516286148701,17368.891965491974,17376.584868469898
100,read,64,legacy,3,False,full,Disabled,0.07530805333461443,808614.0654939818,72.829,132.017,169.106,4096.0,0.0,94.51761095168287,805701.0919627616,808816.8196968219
100,read,64,v2,3,False,full,Disabled,0.07436620433051837,798501.0388180749,73.718,133.087,169.067,4096.0,0.0,94.8144690670527,797356.5888270537,799167.4103997557
100,write,64,legacy,3,False,full,Disabled,0.35860948523297254,3850540.0277775303,,,,0.0,1.9200076294018071,100.00167738532815,3840172.07849263,3871951.7244896516
100,write,64,v2,3,False,full,Disabled,0.5672173812656442,6090450.255646762,,,,0.0,1.92,100.0093014927941,6068116.94286048,6218388.158412185
1024,read,1,legacy,3,False,full,Disabled,0.01657640762100712,17381.62319760516,55.708,63.539,64.559,4096.0,0.0,3.724331578541435,17372.560717165707,17392.426809692315
1024,read,1,v2,3,False,full,Disabled,0.016581245723891438,17386.69631617519,55.738,63.569,64.459,4096.0,0.0,3.7022101461178227,17375.859884541063,17393.42312280158
1024,read,64,legacy,3,False,full,Disabled,0.8024031931169225,841380.7306257702,70.369,129.398,167.697,4096.0,0.0,92.9939039303599,838272.5928888223,842815.8974142208
1024,read,64,v2,3,False,full,Disabled,0.7920233696944503,830496.6969007279,71.309,129.758,168.316,4096.0,0.0,93.36502522929526,829652.6088960875,832439.0380295888
1024,write,64,legacy,3,False,full,Disabled,3.602544105118894,3777541.2875691494,,,,0.0,1.3750076293945312,100.05057539618296,3762068.350001287,3819727.300927656
1024,write,64,v2,3,False,full,Disabled,5.445518389009166,5710039.890273675,,,,0.0,1.125,100.09739162003366,5647307.219240949,5730540.642049036
4096,read,1,legacy,3,False,full,Disabled,0.06638333220525618,17401.992237614675,55.679,63.548,67.579,4096.0,0.0,3.6827774518267726,17392.629788767834,17432.49326781672
4096,read,1,v2,3,False,full,Disabled,0.06638598266280528,17402.687039158427,55.629,63.578,65.369,4096.0,0.0,3.632896951272878,17380.312966344787,17407.38539172218
4096,read,64,legacy,3,False,full,Disabled,3.2618918883057084,855085.3871680116,69.389,128.247,167.957,4096.0,0.0,92.68380489413657,848405.3607117534,856917.3200188185
4096,read,64,v2,3,False,full,Disabled,3.25319535465798,852805.6430514615,69.669,128.557,168.507,4096.0,0.0,92.69622989764032,850384.4515493453,853129.2573847775
4096,write,64,legacy,3,False,full,Disabled,7.9825693892028475,2092582.6699631913,,,,0.0,1.0781326293945312,98.92578080732191,1954448.8404168186,2107386.5819420256
4096,write,64,v2,3,False,full,Disabled,8.59713986568207,2253688.6329493606,,,,0.0,1.03125,81.68153998573575,2244134.362819471,2256494.2901425534
4194304,read,1,legacy,3,False,full,Disabled,5.313189770686442,1360.1765812957292,711.595,1155.276,1893.231,4194304.0,0.0,4.245486903753784,1312.475471539775,1369.630227485152
4194304,read,1,v2,3,False,full,Disabled,6.072318003670242,1554.513408939582,630.057,940.84,1524.519,4194304.0,0.0,4.904266817625459,1479.5150432871842,1581.7577461889746
4194304,read,16,legacy,3,False,full,Disabled,11.572422620075196,2962.54019073925,5144.933,10235.168,12041.242,4194304.0,0.0,10.204348548449573,2958.5499794979023,2964.6085011154296
4194304,read,16,v2,3,False,full,Disabled,11.636699810786553,2978.9951515613575,5122.424,11230.368,13971.942,4194304.0,0.0,10.283299496871882,2972.449186463906,2981.092392415812
4194304,read,64,legacy,3,False,full,Disabled,11.653226903512486,2983.2260872991965,20990.607,34105.623,41311.518,4194304.0,0.0,22.425290353993734,2978.75714385177,2983.907710942725
4194304,read,64,v2,3,False,full,Disabled,11.660077864221272,2984.9799332406456,20943.746,31497.999,34549.977,4194304.0,0.0,22.079258871088534,2981.3697342124547,2986.2210978518287
4194304,write,64,legacy,3,False,full,Disabled,7.433849665733977,1903.065514427898,,,,0.0,1.0009841918945312,70.89067718237233,1890.2812812385596,1916.1936250783037
4194304,write,64,v2,3,False,full,Disabled,8.783423319212458,2248.5563697183893,,,,0.0,1.0009765625,80.41399717205391,2181.17151403635,2259.577989210727
65536,read,1,legacy,3,False,full,Disabled,0.48857736990198336,8004.851628474095,117.697,160.847,165.126,65536.0,0.0,1.8821017123705013,8003.922229089269,8032.532112251601
65536,read,1,v2,3,False,full,Disabled,0.4886407895248006,8005.890695574333,117.618,160.967,254.355,65536.0,0.0,1.8489596481313608,8002.511914750852,8024.589056022566
65536,read,64,legacy,3,False,full,Disabled,11.631446198369636,190569.6145140881,263.395,1190.996,1836.053,65536.0,0.0,38.70170573045499,190566.1730219717,190726.53565795644
65536,read,64,v2,3,False,full,Disabled,11.638343038426159,190682.6123415742,263.134,1191.066,1891.801,65536.0,0.0,38.22569284075023,190550.47284938468,190700.4746082167
65536,write,64,legacy,3,False,full,Disabled,9.159048917765864,150061.8574686759,,,,0.0,1.0625076293945312,79.68893309111658,150054.4167066836,150086.56543127517
65536,write,64,v2,3,False,full,Disabled,9.181564520231118,150430.75309946664,,,,0.0,1.0625,64.25912664512748,150428.8636557365,150475.82929641326
mixed,read,1,legacy,3,False,full,Disabled,0.22389713193710123,13738.39307584989,56.829,159.966,185.656,19457.788854597333,0.0,2.9299185233210645,13727.594519944269,13749.31802106623
mixed,read,1,v2,3,False,full,Disabled,0.2212655336357051,13577.857174520383,57.239,159.817,161.626,19455.547503314185,0.0,2.903758340211733,13568.192244421312,13583.657925805022
mixed,read,64,legacy,3,False,full,Disabled,8.393137802285672,514713.34054960834,99.738,394.922,594.338,19456.889224931587,0.0,73.6391622918272,514708.3730073542,514858.22329003154
mixed,read,64,v2,3,False,full,Disabled,8.353470026569202,512287.7971508748,100.778,394.082,591.708,19456.173792602967,0.0,72.74686731027779,512161.6137948399,512586.10810097004
mixed,write,64,legacy,3,False,full,Disabled,8.98403305045284,550978.5260720537,,,,0.0,1.0820272796259438,89.55557801773973,550918.9677378682,551131.5752746656
mixed,write,64,v2,3,False,full,Disabled,8.795071731020363,539389.7853939136,,,,0.0,1.0600868174548779,66.31183605258919,533655.9593700088,546120.29150952
