workload,phase,qd,engine,samples,verified_reads,read_range,huge_pages,gib_s,ops_s,p50_us,p99_us,p999_us,device_read_bytes_per_op,device_write_amplification,cpu_percent,min_ops_s,max_ops_s
100,read,1,legacy,3,False,full,Preferred,0.0016178110328837043,17371.113693358726,55.729,63.539,65.269,4096.0,0.0,3.739884556520709,17364.720820346003,17390.5281875529
100,read,1,v2,3,False,full,Preferred,0.0016176022736498496,17368.872158153365,55.798,63.619,64.658,4096.0,0.0,3.757372344236596,17363.98637621629,17397.3556297842
100,read,64,legacy,3,False,full,Preferred,0.07523507909861267,807830.5106012864,72.878,131.937,169.526,4096.0,0.0,94.73766319980693,795933.4090893443,810290.8088895021
100,read,64,v2,3,False,full,Preferred,0.07443727559899294,799264.1607525337,73.678,133.307,169.116,4096.0,0.0,94.64410180289669,796558.7795464039,804239.2818280996
100,write,64,legacy,3,False,full,Preferred,0.3580961855170064,3845028.514044728,,,,0.0,1.9200076294018071,100.00107922012332,3812854.299138699,3861492.1994322985
100,write,64,v2,3,False,full,Preferred,0.5822018974809805,6251345.273374891,,,,0.0,1.92,100.00549750487997,6227243.767184288,6252431.102882908
1024,read,1,legacy,3,False,full,Preferred,0.016566405962947936,17371.135699004095,55.729,63.589,64.939,4096.0,0.0,3.727921305220238,17367.912903390374,17382.997985227215
1024,read,1,v2,3,False,full,Preferred,0.016578291367896097,17383.59844938302,55.759,63.568,64.668,4096.0,0.0,3.7102887371071014,17375.453594428014,17392.13967362433
1024,read,64,legacy,3,False,full,Preferred,0.8018394747429112,840789.6290680228,70.449,129.028,167.806,4096.0,0.0,93.02006370334972,836197.471125568,843506.5687037605
1024,read,64,v2,3,False,full,Preferred,0.7920015096866297,830473.7750211675,71.289,130.007,167.706,4096.0,0.0,93.45538175352523,829508.8609655821,832679.9085787325
1024,write,64,legacy,3,False,full,Preferred,3.7072140234712614,3887295.6518754014,,,,0.0,1.3750076293945312,100.06908010743119,3867447.395020189,3889480.0066099674
1024,write,64,v2,3,False,full,Preferred,5.273540608018771,5529708.116593891,,,,0.0,1.125,100.09932999444425,5349514.548247491,5716439.4474445805
4096,read,1,legacy,3,False,full,Preferred,0.06632909845034507,17387.775184167258,55.749,63.539,66.059,4096.0,0.0,3.6603154839027563,17369.380185011083,17404.578526231016
4096,read,1,v2,3,False,full,Preferred,0.06628094345656567,17375.15164147795,55.709,63.568,64.758,4096.0,0.0,3.618089930132107,17220.447826346648,17386.63278927514
4096,read,64,legacy,3,False,full,Preferred,3.245938406932632,850903.2777469478,69.759,128.158,167.647,4096.0,0.0,92.52145570868913,840073.2720588623,857112.5777018155
4096,read,64,v2,3,False,full,Preferred,3.242092727680606,849895.1560051048,69.879,128.878,168.147,4096.0,0.0,92.37995663603908,848672.7881604731,852359.7444173426
4096,write,64,legacy,3,False,full,Preferred,7.675156669135508,2011996.2698738587,,,,0.0,1.0781326293945312,98.1621837355755,1958437.852357854,2023686.7319599197
4096,write,64,v2,3,False,full,Preferred,8.331739888079738,2184115.621220775,,,,0.0,1.03125,98.85811822279813,2156068.91156288,2211031.8871917604
4194304,read,1,legacy,3,False,full,Preferred,5.2063937531169,1332.8368007979263,713.515,1416.861,2256.514,4194304.0,0.0,4.160130612807115,1284.1119977502149,1395.8750608068076
4194304,read,1,v2,3,False,full,Preferred,5.902938373880959,1511.1522237135255,633.107,927.451,1877.811,4194304.0,0.0,4.711351046867572,1404.0445458727343,1567.1406495627477
4194304,read,16,legacy,3,False,full,Preferred,11.535531780440811,2953.0961357928477,5213.553,10282.689,11560.232,4194304.0,0.0,10.141415484164689,2948.282268512404,2963.656641425561
4194304,read,16,v2,3,False,full,Preferred,11.621604809427367,2975.130831213406,5152.104,10491.833,12250.398,4194304.0,0.0,10.215332170609228,2954.696995973976,2980.1490246320195
4194304,read,64,legacy,3,False,full,Preferred,11.616445928685152,2973.810157743399,20957.849,32772.125,37257.803,4194304.0,0.0,22.278674905629227,2969.904496403817,2985.175601815602
4194304,read,64,v2,3,False,full,Preferred,11.643969959823371,2980.856309714783,21136.075,32368.825,36588.567,4194304.0,0.0,22.26663773448197,2964.1136388861964,2985.3013089251044
4194304,write,64,legacy,3,False,full,Preferred,7.655226364660841,1959.7379493531753,,,,0.0,1.0009841918945312,72.12601176256152,1956.6081183278327,1961.6789691524145
4194304,write,64,v2,3,False,full,Preferred,8.735265921236342,2236.2280758365036,,,,0.0,1.0009765625,78.75715754586687,2188.170527890157,2261.7831658164837
65536,read,1,legacy,3,False,full,Preferred,0.4875779194554242,7988.4766323576705,117.797,160.866,293.093,65536.0,0.0,1.8600816540446856,7883.637477236679,8033.44722311409
65536,read,1,v2,3,False,full,Preferred,0.4860320506996088,7963.149118662391,117.398,161.146,306.724,65536.0,0.0,1.8508481738205087,7894.354590093527,8023.766019350908
65536,read,64,legacy,3,False,full,Preferred,11.618762691220075,190361.8079329497,262.864,1195.996,1864.392,65536.0,0.0,38.470480413126,189819.97719839725,190717.74052154762
65536,read,64,v2,3,False,full,Preferred,11.611617153618258,190244.73544488155,264.444,1192.635,1820.633,65536.0,0.0,38.21980327034398,189767.70085340954,190701.73398293153
65536,write,64,legacy,3,False,full,Preferred,9.159415691562904,150067.86669056662,,,,0.0,1.0625076293945312,76.05872018255707,150062.66563427754,150076.6037371456
65536,write,64,v2,3,False,full,Preferred,9.182122458992229,150439.89436812868,,,,0.0,1.0625,64.51380690224832,150436.11230628734,150450.5122314687
mixed,read,1,legacy,3,False,full,Preferred,0.22384355797096403,13734.865173069515,56.829,160.197,186.506,19458.01295959228,0.0,2.9411261423440744,13664.058262723642,13748.441730688484
mixed,read,1,v2,3,False,full,Preferred,0.2214909943072718,13589.514582143134,57.088,159.877,161.446,19458.486570810463,0.0,2.9010481571090136,13498.12933999253,13589.957142029889
mixed,read,64,legacy,3,False,full,Preferred,8.395414473263305,514850.3912119874,99.678,396.322,605.147,19456.930767342346,0.0,73.71710965654388,512809.812999031,515144.28214291605
mixed,read,64,v2,3,False,full,Preferred,8.3504611056246,512124.512940229,100.588,392.051,590.278,19456.07181966531,0.0,72.69732949691635,510868.928814246,513262.9329743962
mixed,write,64,legacy,3,False,full,Preferred,8.982931317643498,550910.9582975357,,,,0.0,1.0820272796259438,86.32268404062212,550799.2266387894,551096.066546432
mixed,write,64,v2,3,False,full,Preferred,8.97966677739489,550710.7484848179,,,,0.0,1.0600868174548779,68.96998227615347,548812.4608499396,553551.5334430191
