repeat,workload,gib_s,iops,p50_us,p99_us,runtime_ms,io_bytes,cpu_user_percent,cpu_system_percent
0,randread_4k_q1,0.06625919323414564,17369.45,54.528,62.72,20000,1422905344,0.62,3.245
0,randread_4k_q64,2.85429110750556,748232.088396,81.408,138.24,20001,61298499584,28.315,71.43
0,randread_64k_q64,11.643125118687749,190757.812109,254.976,1253.376,20001,250046709760,10.07,43.635
0,seqread_4m_q16,11.654501824639738,2982.80258,5210.112,8716.288,20003,250316062720,0.074993,8.029197
0,seqwrite_4m_q16,9.777827760204673,2502.374169,6324.224,6324.224,20007,210050744320,11.586524,4.083775
1,randread_4k_q1,0.06624100357294083,17364.681766,55.04,62.72,20001,1422585856,0.38,3.42
1,randread_4k_q64,2.840982866473496,744743.412829,81.408,138.24,20001,61012692992,28.63,71.12
1,randread_64k_q64,11.642972538247705,190755.312234,254.976,1253.376,20001,250043432960,10.0,43.315
1,seqread_4m_q16,11.660555603913963,2984.352347,5275.648,8355.84,20003,250446086144,0.079992,7.10429
1,seqwrite_4m_q16,9.777827760204673,2502.324187,6324.224,6324.224,20007,210050744320,11.511547,4.728581
2,randread_4k_q1,0.06612809374928474,17335.083246,55.04,62.72,20001,1420161024,0.835,3.02
2,randread_4k_q64,2.84618928655982,746108.244588,81.408,138.24,20001,61124505600,29.245,70.505
2,randread_64k_q64,11.636219335719943,190644.667767,254.976,1253.376,20001,249898401792,10.735,42.97
2,seqread_4m_q16,11.657040505670011,2983.452482,5210.112,9240.576,20003,250370588672,0.079992,6.30437
2,seqwrite_4m_q16,9.777827760204673,2502.374169,6324.224,6324.224,20007,210050744320,11.761472,5.708288
