workload,phase,qd,engine,samples,gib_s,ops_s,p50_us,p99_us,p999_us,device_read_bytes_per_op,device_write_amplification,cpu_percent,min_ops_s,max_ops_s
100,read,1,legacy,3,0.00161544185424464,17345.67483142582,55.899,63.699,64.419,4096.0,0.0,3.8743043783843465,17341.45622496205,17351.719776058788
100,read,1,v2,3,0.0011652320255358558,12511.583604820844,69.038,132.707,135.987,9991.94456654652,0.0,5.362932972412633,12506.462215476355,12512.27796337605
100,read,64,legacy,3,0.07253910980142222,778882.7606951538,76.479,135.578,170.057,4096.0,0.0,95.09306449145491,776784.6071020741,779522.4050209261
100,read,64,v2,3,0.034656693393329004,372123.41177961836,149.727,301.914,354.183,9984.318444153685,0.0,99.94991327994418,371380.9724868166,372462.92059882457
100,write,64,legacy,3,0.35771623257017005,3840948.800343026,,,,0.0,1.9200076294018071,100.00381769436133,3838585.038964119,3876193.572805535
100,write,64,v2,3,0.5727684584939381,6150054.493529495,,,,0.0,1.92,100.00443724147962,6052792.469120026,6156408.988474272
1024,read,1,legacy,3,0.016507237919893204,17309.093509089937,55.979,63.779,64.458,4096.0,0.0,4.0491698789298205,17300.189251392418,17317.199482215736
1024,read,1,v2,3,0.008086914408398902,8479.744362701287,118.807,133.607,136.518,12097.716428824153,0.0,4.611453572157794,8478.969794518003,8488.89399920083
1024,read,64,legacy,3,0.7166021267673651,751411.7916772166,80.068,139.397,172.137,4096.0,0.0,95.69061174961095,743702.3488532277,752124.489195016
1024,read,64,v2,3,0.29622999142945394,310619.6594931311,203.876,298.104,355.283,12095.49809545149,0.0,99.43935435823683,310073.4319275883,311148.5006774388
1024,write,64,legacy,3,3.601781971545433,3776742.132595224,,,,0.0,1.3750076293945312,100.06460952565786,3749442.8628039802,3780875.6251162533
1024,write,64,v2,3,5.091189154447465,5338498.758813905,,,,0.0,1.125,100.0799483205963,5182031.497924753,5346353.376716505
4096,read,1,legacy,3,0.01704977800335319,4469.497004911019,233.645,396.582,598.108,153608.7975657777,0.0,1.9356753942962137,4399.363918435339,4525.756444119982
4096,read,1,v2,3,0.0316577192081915,8298.881144112152,122.988,133.027,135.207,12288.0,0.0,4.704755059536712,8291.991292579944,8300.314310045158
4096,read,64,legacy,3,0.309847562520258,81224.67942931052,606.068,3054.57,4566.819,153400.77361918785,0.0,34.167186420783594,80913.30844286512,81431.87172431868
4096,read,64,v2,3,1.1538704675484552,302480.21984502225,206.476,295.904,344.453,12288.0,0.0,99.37434407958003,302443.39937755466,304325.25188698753
4096,write,64,legacy,3,8.083795459668377,2119118.476979307,,,,0.0,1.0781326293945312,99.36691000520291,2056413.7848693277,2124738.103723116
4096,write,64,v2,3,8.393658557385262,2200347.228867202,,,,0.0,1.03125,94.43008478010249,2193154.62416091,2245734.3093039147
4194304,read,1,legacy,3,4.536876742108172,1161.440445979692,829.213,1587.378,2389.832,4198400.0,0.0,16.818737602410703,1100.6070904914848,1162.439445623179
4194304,read,1,v2,3,4.249235764344808,1087.804355672271,883.842,1888.611,2470.689,4198400.0,0.0,23.512825992973912,1084.2583130869334,1092.4371379990118
4194304,read,16,legacy,3,11.250933471909308,2880.238968808783,5450.609,10155.304,11787.684,4198400.0,0.0,46.65555525280384,2852.9289719702747,2883.3358867272063
4194304,read,16,v2,3,10.738547240944646,2749.0680936818294,5684.066,10264.611,12379.222,4198400.0,0.0,65.42757071434629,2744.5266076846074,2759.1081365049886
4194304,read,64,legacy,3,11.627566202741004,2976.656947901697,20923.276,33822.753,38555.929,4198400.0,0.0,64.79416051161475,2959.9930281045367,2977.318484632022
4194304,read,64,v2,3,11.622020706933133,2975.237300974882,20882.961,35417.783,44629.986,4198400.0,0.0,73.25489112290627,2973.6566110682015,2976.3106724472023
4194304,write,64,legacy,3,7.646453674189808,1957.4921405925909,,,,0.0,1.0009841918945312,72.06448678381899,1898.6521438764182,1959.7718850023005
4194304,write,64,v2,3,8.40524864070319,2151.7436520200167,,,,0.0,1.0009765625,92.51320968876374,2099.85334164919,2151.8174813618566
65536,read,1,legacy,3,0.456188162309261,7474.186851274932,127.218,167.426,336.883,69632.0,0.0,3.9970294905693535,7408.78809544197,7497.98790499571
65536,read,1,v2,3,0.31952486316167883,5235.095358040946,185.677,336.873,468.83,69632.0,0.0,4.386236110724441,4945.837952979128,5316.468043242239
65536,read,64,legacy,3,10.930619944524132,179087.27717108338,284.315,1235.986,1875.183,69632.0,0.0,74.46314205295106,178559.06758225162,179393.47635305108
65536,read,64,v2,3,9.36504566536436,153436.90818132967,389.463,834.833,1286.025,69632.0,0.0,96.00946076335055,149172.76164941312,154044.90031945947
65536,write,64,legacy,3,9.153513967191353,149971.17283846313,,,,0.0,1.0625076293945312,78.75211138641228,149965.6655146538,149982.18595374352
65536,write,64,v2,3,9.183761427331385,150466.7472253974,,,,0.0,1.0625,75.68337792263794,150446.65779866383,150471.11952808936
mixed,read,1,legacy,3,0.18272191515772207,11226.869418007705,71.458,173.837,188.407,33206.673424125554,0.0,3.4833005114894076,11080.953189621347,11227.046854528306
mixed,read,1,v2,3,0.12387468920971166,7600.163564055858,123.638,229.555,233.266,27582.654351201283,0.0,4.8260968632090275,7571.046699074133,7601.72388849974
mixed,read,64,legacy,3,5.718997063698971,350701.53593115543,156.737,600.068,916.222,33282.86396937014,0.0,79.78711704758706,347288.6728127719,351168.09050127084
mixed,read,64,v2,3,3.971508739760582,243462.05027014203,249.205,475.47,599.178,27590.621316906436,0.0,98.82537447093557,242864.08416376967,243750.56413484996
mixed,write,64,legacy,3,8.984402669366611,551001.1942972455,,,,0.0,1.0820272796259438,89.37990801569431,550938.0665891035,551003.5513451427
mixed,write,64,v2,3,8.86339168071348,543579.7549734818,,,,0.0,1.0600868174548779,80.18049628179106,527851.3382191954,547674.1739559028
