variant,base,patch_sha256,binary_sha256,target,rustflags
baseline,3464483d3547286ba35669c56693d59f69fdc75d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,ef7700ff18380f168c0e6a92ce0a03550a79cd77f570a66168061fd9e26a6a88,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
no_registered_buffers,3464483d3547286ba35669c56693d59f69fdc75d,85023aec0cfab43bccb377e141ba659fa547023a185e771e535626b630d31493,f8810b4a68383dd730404bda051646be4c0b244ca8c747f42642b1fa40a91ed8,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
no_registered_files,3464483d3547286ba35669c56693d59f69fdc75d,13c254007c7b34d6a4ba4630b3794d116eaa310672bebfd46c935842aa5b01ea,5f945e9be24dec48ede7a2a3ccf28b6b803f41d98ca1a525dcedd8dcbc892238,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
no_defer_taskrun,3464483d3547286ba35669c56693d59f69fdc75d,d3d43c7cdb59cc9fd621c6e6fe3c9889f9e09aeb56e4d89b3f569cd94f613904,70453ba27281f6f9acc02f0e64d61c9c92511c357149caf905019720c64e61c1,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
kernel_split,3464483d3547286ba35669c56693d59f69fdc75d,414c6235123bd71aa56112560fff847036b54317da7ef109f4f07adc7c61f546,42ab5ca27f0f8314b15352471f6132f3658acb41781b08689d0da8f430393958,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
single_reap,3464483d3547286ba35669c56693d59f69fdc75d,cd540cf09aec2471c68d29e3184da680bde986ad2779fecc4802f64a4522330b,0b32e59985963e2d51dd474be348fcb489e14f7f3113c37a3d3643f106a7e101,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
reuse_encoded_metadata,3464483d3547286ba35669c56693d59f69fdc75d,3174380f0b67d665b7970aef348d4ac349a4ce36222d656ca6b2cbef42348d51,5cd7d0553d981d19ab0e93259ff657eae1091aad83848787da042325b544f701,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
long_baseline,3464483d3547286ba35669c56693d59f69fdc75d,50e2d9f78c528bdbda79b921608981019a46d07c5e8d991bdec57d5247946a4b,03721869722f915576e41ba75ca885b0970e7d457025920bf61708540ceec21e,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
long_reuse_encoded_metadata,3464483d3547286ba35669c56693d59f69fdc75d,33a8250714882f90687ff77f843582b3d91eceae30a11882e1e7721e45eedf89,a6066b16f68b10e7c6338186b5b0b3c6d08bbbfa8b849a1a1a6568958fba185f,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
long_single_reap,3464483d3547286ba35669c56693d59f69fdc75d,2634113956c9345c5b555fb112b98848195fb37cc6cffb136d95fca406e2d503,406d7c7d098d958f81744daebb726311232be18a465c95c0dcfac8478b6ca2a6,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
final_clean,1e49809d7d22cc060e058c64626c06eef654a6e7,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4bfcc482cd6211d9f2e599bda1fcab0f98e450264b1073af65b7a8fbc3e1fa83,x86_64-unknown-linux-gnu,-C target-cpu=x86-64-v3
