suite,run,order,round,variant,devices,key_bytes,value_bytes,phase,samples,tasks,io_wq,running_tasks,running_io_wq
main,ablate-r1-control_before-v2-d20-k16-v100,1,1,control_before,20,16,100,setup_and_write,6,18,0,1,0
main,ablate-r1-control_before-v2-d20-k16-v100,1,1,control_before,20,16,100,verify,2,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v100,1,1,control_before,20,16,100,read_160,28,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v100,1,1,control_before,20,16,100,read_640,28,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v100,1,1,control_before,20,16,100,read_2560,28,21,0,20,0
main,ablate-r1-no_registered_buffers-v2-d20-k16-v100,2,1,no_registered_buffers,20,16,100,setup_and_write,4,15,0,1,0
main,ablate-r1-no_registered_buffers-v2-d20-k16-v100,2,1,no_registered_buffers,20,16,100,verify,2,21,0,20,0
main,ablate-r1-no_registered_buffers-v2-d20-k16-v100,2,1,no_registered_buffers,20,16,100,read_160,28,21,0,20,0
main,ablate-r1-no_registered_buffers-v2-d20-k16-v100,2,1,no_registered_buffers,20,16,100,read_640,28,21,0,20,0
main,ablate-r1-no_registered_buffers-v2-d20-k16-v100,2,1,no_registered_buffers,20,16,100,read_2560,28,21,0,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v100,3,1,kernel_split,20,16,100,setup_and_write,6,18,0,1,0
main,ablate-r1-kernel_split-v2-d20-k16-v100,3,1,kernel_split,20,16,100,verify,2,21,0,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v100,3,1,kernel_split,20,16,100,read_160,28,21,0,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v100,3,1,kernel_split,20,16,100,read_640,28,21,0,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v100,3,1,kernel_split,20,16,100,read_2560,28,21,0,20,0
main,ablate-r1-no_registered_files-v2-d20-k16-v100,4,1,no_registered_files,20,16,100,setup_and_write,6,18,0,1,0
main,ablate-r1-no_registered_files-v2-d20-k16-v100,4,1,no_registered_files,20,16,100,verify,2,21,0,20,0
main,ablate-r1-no_registered_files-v2-d20-k16-v100,4,1,no_registered_files,20,16,100,read_160,28,21,0,20,0
main,ablate-r1-no_registered_files-v2-d20-k16-v100,4,1,no_registered_files,20,16,100,read_640,28,21,0,20,0
main,ablate-r1-no_registered_files-v2-d20-k16-v100,4,1,no_registered_files,20,16,100,read_2560,28,21,0,20,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v100,5,1,no_defer_taskrun,20,16,100,setup_and_write,6,18,0,1,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v100,5,1,no_defer_taskrun,20,16,100,verify,2,21,0,20,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v100,5,1,no_defer_taskrun,20,16,100,read_160,28,21,0,20,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v100,5,1,no_defer_taskrun,20,16,100,read_640,28,21,0,20,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v100,5,1,no_defer_taskrun,20,16,100,read_2560,28,21,0,20,0
main,ablate-r1-single_reap-v2-d20-k16-v100,6,1,single_reap,20,16,100,setup_and_write,6,19,0,1,0
main,ablate-r1-single_reap-v2-d20-k16-v100,6,1,single_reap,20,16,100,verify,2,21,0,20,0
main,ablate-r1-single_reap-v2-d20-k16-v100,6,1,single_reap,20,16,100,read_160,28,21,0,20,0
main,ablate-r1-single_reap-v2-d20-k16-v100,6,1,single_reap,20,16,100,read_640,28,21,0,20,0
main,ablate-r1-single_reap-v2-d20-k16-v100,6,1,single_reap,20,16,100,read_2560,28,21,0,20,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v100,7,1,reuse_encoded_metadata,20,16,100,setup_and_write,6,19,0,1,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v100,7,1,reuse_encoded_metadata,20,16,100,verify,2,21,0,20,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v100,7,1,reuse_encoded_metadata,20,16,100,read_160,28,21,0,20,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v100,7,1,reuse_encoded_metadata,20,16,100,read_640,28,21,0,20,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v100,7,1,reuse_encoded_metadata,20,16,100,read_2560,28,21,0,20,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v100,8,1,no_huge_pages,20,16,100,setup_and_write,7,18,0,1,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v100,8,1,no_huge_pages,20,16,100,verify,2,21,0,20,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v100,8,1,no_huge_pages,20,16,100,read_160,28,21,0,20,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v100,8,1,no_huge_pages,20,16,100,read_640,28,21,0,20,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v100,8,1,no_huge_pages,20,16,100,read_2560,28,21,0,20,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v100,8,1,no_huge_pages,20,16,100,close,2,21,0,2,0
main,ablate-r1-control_after-v2-d20-k16-v100,9,1,control_after,20,16,100,setup_and_write,6,19,0,1,0
main,ablate-r1-control_after-v2-d20-k16-v100,9,1,control_after,20,16,100,verify,2,21,0,20,0
main,ablate-r1-control_after-v2-d20-k16-v100,9,1,control_after,20,16,100,read_160,28,21,0,20,0
main,ablate-r1-control_after-v2-d20-k16-v100,9,1,control_after,20,16,100,read_640,28,21,0,20,0
main,ablate-r1-control_after-v2-d20-k16-v100,9,1,control_after,20,16,100,read_2560,28,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v1024,10,1,control_before,20,16,1024,setup_and_write,6,19,0,1,0
main,ablate-r1-control_before-v2-d20-k16-v1024,10,1,control_before,20,16,1024,verify,2,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v1024,10,1,control_before,20,16,1024,read_160,27,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v1024,10,1,control_before,20,16,1024,read_640,28,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v1024,10,1,control_before,20,16,1024,read_2560,28,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v1024,10,1,control_before,20,16,1024,close,1,21,0,6,0
main,ablate-r1-single_reap-v2-d20-k16-v1024,11,1,single_reap,20,16,1024,setup_and_write,6,18,0,1,0
main,ablate-r1-single_reap-v2-d20-k16-v1024,11,1,single_reap,20,16,1024,verify,2,21,0,20,0
main,ablate-r1-single_reap-v2-d20-k16-v1024,11,1,single_reap,20,16,1024,read_160,27,21,0,20,0
main,ablate-r1-single_reap-v2-d20-k16-v1024,11,1,single_reap,20,16,1024,read_640,28,21,0,20,0
main,ablate-r1-single_reap-v2-d20-k16-v1024,11,1,single_reap,20,16,1024,read_2560,28,21,0,20,0
main,ablate-r1-single_reap-v2-d20-k16-v1024,11,1,single_reap,20,16,1024,close,1,14,0,13,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v1024,12,1,no_defer_taskrun,20,16,1024,setup_and_write,6,18,0,1,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v1024,12,1,no_defer_taskrun,20,16,1024,verify,2,21,0,20,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v1024,12,1,no_defer_taskrun,20,16,1024,read_160,27,21,0,20,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v1024,12,1,no_defer_taskrun,20,16,1024,read_640,28,21,0,20,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v1024,12,1,no_defer_taskrun,20,16,1024,read_2560,28,21,0,20,0
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v1024,12,1,no_defer_taskrun,20,16,1024,close,1,21,0,9,0
main,ablate-r1-no_registered_files-v2-d20-k16-v1024,13,1,no_registered_files,20,16,1024,setup_and_write,6,18,0,1,0
main,ablate-r1-no_registered_files-v2-d20-k16-v1024,13,1,no_registered_files,20,16,1024,verify,2,21,0,20,0
main,ablate-r1-no_registered_files-v2-d20-k16-v1024,13,1,no_registered_files,20,16,1024,read_160,27,21,0,20,0
main,ablate-r1-no_registered_files-v2-d20-k16-v1024,13,1,no_registered_files,20,16,1024,read_640,28,21,0,20,0
main,ablate-r1-no_registered_files-v2-d20-k16-v1024,13,1,no_registered_files,20,16,1024,read_2560,28,21,0,20,0
main,ablate-r1-no_registered_files-v2-d20-k16-v1024,13,1,no_registered_files,20,16,1024,close,1,20,0,6,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v1024,14,1,reuse_encoded_metadata,20,16,1024,setup_and_write,6,19,0,1,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v1024,14,1,reuse_encoded_metadata,20,16,1024,verify,2,21,0,20,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v1024,14,1,reuse_encoded_metadata,20,16,1024,read_160,27,21,0,20,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v1024,14,1,reuse_encoded_metadata,20,16,1024,read_640,28,21,0,20,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v1024,14,1,reuse_encoded_metadata,20,16,1024,read_2560,28,21,0,20,0
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v1024,14,1,reuse_encoded_metadata,20,16,1024,close,1,13,0,12,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v1024,15,1,no_huge_pages,20,16,1024,setup_and_write,8,21,0,20,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v1024,15,1,no_huge_pages,20,16,1024,verify,1,21,0,20,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v1024,15,1,no_huge_pages,20,16,1024,read_160,28,21,0,20,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v1024,15,1,no_huge_pages,20,16,1024,read_640,28,21,0,20,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v1024,15,1,no_huge_pages,20,16,1024,read_2560,28,21,0,20,0
main,ablate-r1-no_huge_pages-v2-d20-k16-v1024,15,1,no_huge_pages,20,16,1024,close,1,14,0,1,0
main,ablate-r1-no_registered_buffers-v2-d20-k16-v1024,16,1,no_registered_buffers,20,16,1024,setup_and_write,4,15,0,1,0
main,ablate-r1-no_registered_buffers-v2-d20-k16-v1024,16,1,no_registered_buffers,20,16,1024,verify,1,21,0,20,0
main,ablate-r1-no_registered_buffers-v2-d20-k16-v1024,16,1,no_registered_buffers,20,16,1024,read_160,28,21,0,20,0
main,ablate-r1-no_registered_buffers-v2-d20-k16-v1024,16,1,no_registered_buffers,20,16,1024,read_640,28,21,0,20,0
main,ablate-r1-no_registered_buffers-v2-d20-k16-v1024,16,1,no_registered_buffers,20,16,1024,read_2560,28,21,0,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v1024,17,1,kernel_split,20,16,1024,setup_and_write,6,19,0,1,0
main,ablate-r1-kernel_split-v2-d20-k16-v1024,17,1,kernel_split,20,16,1024,verify,2,21,0,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v1024,17,1,kernel_split,20,16,1024,read_160,27,21,0,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v1024,17,1,kernel_split,20,16,1024,read_640,28,21,0,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v1024,17,1,kernel_split,20,16,1024,read_2560,28,21,0,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v1024,17,1,kernel_split,20,16,1024,close,1,14,0,13,0
main,ablate-r1-control_after-v2-d20-k16-v1024,18,1,control_after,20,16,1024,setup_and_write,6,18,0,1,0
main,ablate-r1-control_after-v2-d20-k16-v1024,18,1,control_after,20,16,1024,verify,2,21,0,20,0
main,ablate-r1-control_after-v2-d20-k16-v1024,18,1,control_after,20,16,1024,read_160,27,21,0,20,0
main,ablate-r1-control_after-v2-d20-k16-v1024,18,1,control_after,20,16,1024,read_640,28,21,0,20,0
main,ablate-r1-control_after-v2-d20-k16-v1024,18,1,control_after,20,16,1024,read_2560,28,21,0,20,0
main,ablate-r1-control_after-v2-d20-k16-v1024,18,1,control_after,20,16,1024,close,1,21,0,9,0
main,ablate-r1-control_before-v2-d20-k16-v4096,19,1,control_before,20,16,4096,setup_and_write,7,21,0,1,0
main,ablate-r1-control_before-v2-d20-k16-v4096,19,1,control_before,20,16,4096,verify,1,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v4096,19,1,control_before,20,16,4096,read_160,28,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v4096,19,1,control_before,20,16,4096,read_640,28,21,0,20,0
main,ablate-r1-control_before-v2-d20-k16-v4096,19,1,control_before,20,16,4096,read_2560,28,21,0,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v4096,20,1,kernel_split,20,16,4096,setup_and_write,7,41,20,14,2
main,ablate-r1-kernel_split-v2-d20-k16-v4096,20,1,kernel_split,20,16,4096,verify,1,41,20,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v4096,20,1,kernel_split,20,16,4096,read_160,28,41,20,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v4096,20,1,kernel_split,20,16,4096,read_640,28,41,20,20,0
main,ablate-r1-kernel_split-v2-d20-k16-v4096,20,1,kernel_split,20,16,4096,read_2560,28,41,20,20,0
main,ablate-r1-single_reap-v2-d20-k16-v4096,21,1,single_reap,20,16,4096,setup_and_write,6,19,0,1,0
main,ablate-r1-single_reap-v2-d20-k16-v4096,21,1,single_reap,20,16,4096,verify,2,21,0,20,0
