suite,run,order,round,variant,devices,key_bytes,value_bytes,huge_pages_preferred,anon_huge_mib,explicit_huge_mib,sampled_rss_mib,max_tasks,max_io_wq,max_running_tasks,max_running_io_wq,tokio,observer_cpu_seconds,interval_seconds
main,ablate-r1-control_before-v2-d20-k16-v100,1,1,control_before,20,16,100,True,10240.0,0.0,11339.50390625,21,0,20,0,False,0.045874079,0.25
main,ablate-r1-no_registered_buffers-v2-d20-k16-v100,2,1,no_registered_buffers,20,16,100,True,2640.0,0.0,3739.5234375,21,0,20,0,False,0.03867092199999998,0.25
main,ablate-r1-kernel_split-v2-d20-k16-v100,3,1,kernel_split,20,16,100,True,10240.0,0.0,11339.4453125,21,0,20,0,False,0.04594157699999998,0.25
main,ablate-r1-no_registered_files-v2-d20-k16-v100,4,1,no_registered_files,20,16,100,True,10240.0,0.0,11339.44921875,21,0,20,0,False,0.04604170799999999,0.25
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v100,5,1,no_defer_taskrun,20,16,100,True,10240.0,0.0,11339.3046875,21,0,20,0,False,0.045911965,0.25
main,ablate-r1-single_reap-v2-d20-k16-v100,6,1,single_reap,20,16,100,True,10240.0,0.0,11339.46484375,21,0,20,0,False,0.04545677800000003,0.25
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v100,7,1,reuse_encoded_metadata,20,16,100,True,10240.0,0.0,11339.421875,21,0,20,0,False,0.045727654000000006,0.25
main,ablate-r1-no_huge_pages-v2-d20-k16-v100,8,1,no_huge_pages,20,16,100,False,0.0,0.0,11339.39453125,21,0,20,0,False,0.06233800900000003,0.25
main,ablate-r1-control_after-v2-d20-k16-v100,9,1,control_after,20,16,100,True,10240.0,0.0,11339.4375,21,0,20,0,False,0.04624632499999998,0.25
main,ablate-r1-control_before-v2-d20-k16-v1024,10,1,control_before,20,16,1024,True,10240.0,0.0,11340.55859375,21,0,20,0,False,0.046069433999999965,0.25
main,ablate-r1-single_reap-v2-d20-k16-v1024,11,1,single_reap,20,16,1024,True,10240.0,0.0,11340.5234375,21,0,20,0,False,0.07868350899999998,0.25
main,ablate-r1-no_defer_taskrun-v2-d20-k16-v1024,12,1,no_defer_taskrun,20,16,1024,True,10240.0,0.0,11340.4921875,21,0,20,0,False,0.07820495800000005,0.25
main,ablate-r1-no_registered_files-v2-d20-k16-v1024,13,1,no_registered_files,20,16,1024,True,10240.0,0.0,11340.4921875,21,0,20,0,False,0.07751787300000001,0.25
main,ablate-r1-reuse_encoded_metadata-v2-d20-k16-v1024,14,1,reuse_encoded_metadata,20,16,1024,True,10240.0,0.0,11340.65625,21,0,20,0,False,0.07183844500000003,0.25
main,ablate-r1-no_huge_pages-v2-d20-k16-v1024,15,1,no_huge_pages,20,16,1024,False,0.0,0.0,11340.56640625,21,0,20,0,False,0.100752018,0.25
