suite,phase,value_bytes,clients,variant,samples,ops_per_second,logical_gib_s,physical_gib_s,cpu_cores,cpu_us_per_op,seconds,p50_us,p99_us,p999_us,min_ops_per_second,max_ops_per_second
buffer_reads,read,4096,2560,baseline,6,9993870.164669689,38.12358919017673,76.24717838035346,19.99824357549469,2.00106512639473,5.0004597215,262.399,323.967,421.887,9967928.213945089,10008440.385502798
buffer_reads,read,4096,2560,no_registered_buffers,3,12209385.206005678,46.575108360312186,93.15021672062437,19.998377486551,1.6379512276108705,5.000404265,196.479,302.079,327.935,12207258.513919454,12220172.962355474
buffer_reads,write,4096,2560,baseline,6,19433164.70734085,74.1316402715334,76.44897441756638,19.067584111002983,0.9733222401789202,0.1343740765,,,,19272608.097379774,19662134.498556875
buffer_reads,write,4096,2560,no_registered_buffers,3,18961674.16939143,72.33304660564968,74.59415722146633,18.96052683423056,0.9999394918850193,0.137710414,,,,18632097.69240897,19044164.70754143
final,read,100,160,baseline,2,2844564.006123728,0.2649206673841671,10.851150536055481,19.998759851713473,7.030518503951955,5.0002988055,55.423,90.271,107.13499999999999,2844462.649258397,2844665.3629890596
final,read,100,160,cleaned,1,2844311.67573172,0.2648971672851332,10.850187971999054,19.998484765195588,7.031045484862636,5.00028113,55.423,90.303,107.263,2844311.67573172,2844311.67573172
final,read,100,640,baseline,6,10020174.029347578,0.933201427510714,38.223930470838845,19.998329075334023,1.9958217999138748,5.000383792,61.998999999999995,112.351,146.815,10015193.488678917,10026670.632962868
final,read,100,640,cleaned,3,10020539.57183414,0.9332354713076855,38.2253249047628,19.998229266975713,1.9957240439495014,5.000403719,61.983,112.319,146.815,10016203.7170932,10024435.58897769
final,read,100,2560,baseline,2,14274541.518067056,1.329420275806175,54.453054497020936,19.998363502610026,1.4009859439738443,5.0003683545,162.495,251.96699999999998,300.927,14248106.516651003,14300976.51948311
final,read,100,2560,cleaned,1,14295582.835935386,1.3313799012392187,54.5333207547584,19.99884385779796,1.3989526756143205,5.000336455,162.431,251.391,302.847,14295582.835935386,14295582.835935386
final,read,1024,160,baseline,2,2776562.344207067,2.6479361955710097,10.591744782284039,19.999009866977257,7.202796207795343,5.000254021,55.455,84.543,105.247,2775503.469012207,2777621.2194019267
final,read,1024,160,cleaned,1,2775908.8717644797,2.647312995686035,10.58925198274414,19.998635233153273,7.204355818943485,5.000282661,55.519,84.543,105.215,2775908.8717644797,2775908.8717644797
final,read,1024,640,baseline,6,9967041.911954809,9.505311881975945,38.02124752790378,19.998229479189185,2.006446362530532,5.000392965,61.791,107.35900000000001,136.959,9961088.552025191,9970430.544649327
final,read,1024,640,cleaned,3,9959874.733950024,9.49847672839167,37.99390691356668,19.998342000212062,2.007860982498624,5.000421424,61.823,107.391,136.959,9951954.193089753,9963627.293233728
final,read,1024,2560,baseline,2,14498332.258242978,13.826687105410555,55.30674842164222,19.998297388486414,1.379352106988848,5.0003729095,162.36700000000002,248.767,267.007,14489243.543500377,14507420.972985579
final,read,1024,2560,cleaned,1,14497949.097983342,13.826321695311872,55.30528678124749,19.99861990777503,1.3794102719367962,5.000332496,162.815,249.727,268.031,14497949.097983342,14497949.097983342
final,read,4096,160,baseline,2,2507746.708884515,9.566294513261852,19.132589026523704,19.99889392367232,7.974846096512405,5.000249408,61.519,96.895,115.231,2507553.991525158,2507939.4262438715
final,read,4096,160,cleaned,1,2508047.320315823,9.567441254866878,19.134882509733757,19.998916971712113,7.973899379695028,5.000275672,61.503,96.895,115.199,2508047.320315823,2508047.320315823
final,read,4096,640,baseline,6,8694144.006618217,33.16552736899649,66.33105473799299,19.998212771334217,2.300214823385868,5.000400893,70.015,123.711,158.079,8686643.893607652,8705417.839910198
final,read,4096,640,cleaned,3,8697929.91278465,33.1799694548975,66.359938909795,19.99840218253126,2.299233244406843,5.000345882,69.951,123.711,158.079,8687487.730301376,8699037.63189316
final,read,4096,2560,baseline,2,9990827.934393317,38.11198400266005,76.2239680053201,19.998319602893886,2.001675323662945,5.000437086,262.207,324.991,421.759,9971593.52800339,10010062.340783242
final,read,4096,2560,cleaned,1,9983093.418748353,38.082479166978274,76.16495833395655,19.99814512467006,2.00320124092131,5.000487014,262.911,324.863,422.399,9983093.418748353,9983093.418748353
final,read,65536,160,baseline,2,1112689.7002445618,67.91318971219249,72.15776406920452,19.99851416343915,17.973130816221637,5.0004623935,140.47899999999998,263.807,385.791,1112231.3135704699,1113148.0869186537
final,read,65536,160,cleaned,1,1113137.6938695444,67.94053307309231,72.18681639016057,19.998578670800754,17.965952263534177,5.000446064,140.543,262.911,378.879,1113137.6938695444,1113137.6938695444
final,read,65536,640,baseline,6,3064470.431222098,187.04043159314563,198.73045856771722,19.99802982355068,6.525805548102445,5.0006843865,183.423,552.959,833.535,3055577.480784139,3069294.9028214286
final,read,65536,640,cleaned,3,3063889.6067700447,187.00498088196073,198.69279218708328,19.996350153488173,6.526459083024321,5.001152772,183.423,553.983,838.143,3057076.7741609775,3070023.0997472377
final,read,65536,2560,baseline,2,3588765.6270830287,219.0408707936419,232.73092521824447,19.9933937225057,5.571105990231722,5.0027681935,454.399,3666.943,5978.111,3588669.2627399852,3588861.9914260716
final,read,65536,2560,cleaned,1,3589393.487077869,219.0791923265301,232.77164184693822,19.993950430318844,5.570286596412128,5.002686405,454.143,3674.111,5988.351,3589393.487077869,3589393.487077869
final,read,4194304,160,baseline,2,59319.99796318848,231.718742043705,231.94502987773205,19.995781644010847,337.0833264094131,5.002393969,2642.943,4665.343,5564.415,59309.34498948823,59330.65093688872
final,read,4194304,160,cleaned,1,59312.167379652434,231.68815382676732,231.91441178948875,19.996281060274626,337.1362393871064,5.002194543,2646.015,4673.535,5640.191,59312.167379652434,59312.167379652434
final,read,4194304,640,baseline,6,59619.67830177353,232.88936836630285,233.11679939009807,19.993526176043517,335.33455235244435,5.007968486,10280.959,18677.759,23822.335,59614.45281831542,59630.54985934146
final,read,4194304,640,cleaned,3,59609.977475793195,232.85147451481717,233.07886853289804,19.99253447450748,335.3696630079081,5.008317236,10280.959,18759.679,24068.095,59604.97174281235,59613.8355322027
final,read,4194304,2560,baseline,2,59467.37060232973,232.2944164153505,232.5212664313811,19.990525269417898,336.15957283209997,5.0145736124999996,42500.095,50577.407,54968.319,59453.66524409711,59481.075960562346
final,read,4194304,2560,cleaned,1,59456.5434442798,232.25212282921797,232.4789315429184,19.989517581840534,336.2038292820348,5.015024129,42500.095,50692.095,55345.151,59456.5434442798,59456.5434442798
final,write,100,2560,baseline,6,59825505.69918607,5.571684399543896,10.700158716617823,16.73085062558642,0.27978401184082025,0.0438195945,,,,55398194.17406873,64989282.534871586
final,write,100,2560,cleaned,3,59470850.44922335,5.538654555494277,10.636726449394471,16.575516777561223,0.2787166595458984,0.04407941,,,,53280244.95449531,64343112.47485033
final,write,1024,2560,baseline,6,37118407.81673879,35.398872200716774,50.88695907637828,18.190903083899506,0.49021129608154296,0.0706240975,,,,36741839.86966447,39594187.37077976
