treatment,case,block,before_ns,treatment_ns,after_ns,change_percent,read_calls,read_bytes,allocs,reallocs,requested_bytes
no_tail_reuse,small,1,41855247,44586791,41477436,7.009133,49154,201334784,16408,0,71955420
no_tail_reuse,small,2,41448237,44248152,41507262,6.67925,49154,201334784,16408,0,71955420
no_tail_reuse,small,3,41367722,44495834,41808008,6.99235,49154,201334784,16408,0,71955420
no_tail_reuse,large,1,35871462,33406941,34873225,-5.556325,6146,50339840,2076,0,93502492
no_tail_reuse,large,2,34834788,33216659,35068920,-4.964529,6146,50339840,2076,0,93502492
no_tail_reuse,large,3,36564880,33539807,35096633,-6.393807,6146,50339840,2076,0,93502492
no_route_reserve,small,1,41855247,36272348,41477436,-12.945685,32770,134225920,24,12,5894876
no_route_reserve,small,2,41448237,36034923,41507262,-13.12228,32770,134225920,24,12,5894876
no_route_reserve,small,3,41367722,35287331,41808008,-15.149934,32770,134225920,24,12,5894876
no_route_reserve,large,1,35871462,35115443,34873225,-0.726275,6146,41951232,2076,9,93633308
no_route_reserve,large,2,34834788,34226231,35068920,-2.076064,6146,41951232,2076,9,93633308
no_route_reserve,large,3,36564880,34033330,35096633,-5.016435,6146,41951232,2076,9,93633308
no_route_reserve,sparse,1,37862584,38030963,37109475,1.453698,32770,134225920,11,0,62932
no_route_reserve,sparse,2,38029182,37444609,36855720,0.005764,32770,134225920,11,0,62932
no_route_reserve,sparse,3,38056144,38039746,37449887,0.75949,32770,134225920,11,0,62932
no_metadata_reserve,ordered,1,4754,4740,4751,-0.263019,0,0,0,0,0
no_metadata_reserve,ordered,2,4745,4736,4735,-0.084388,0,0,0,0,0
no_metadata_reserve,ordered,3,4727,4730,4732,0.010572,0,0,0,0,0
no_metadata_reserve,unordered,1,8869,15637,8824,76.75917,0,0,1,8,16352
no_metadata_reserve,unordered,2,8844,14801,8871,67.101327,0,0,1,8,16352
no_metadata_reserve,unordered,3,8820,14786,8857,67.29083,0,0,1,8,16352
final,small,4,41695781,35504949,41405805,-14.55049,32770,134225920,24,12,5894876
final,small,5,42108856,36220432,41915424,-13.785796,32770,134225920,24,12,5894876
final,small,6,42005835,36199168,41082017,-12.865318,32770,134225920,24,12,5894876
final,large,4,35596927,34981979,35345814,-1.37968,6146,41951232,2076,9,93633308
final,large,5,36107298,34669138,36205382,-4.113254,6146,41951232,2076,9,93633308
final,large,6,35233784,34415670,34645087,-1.499067,6146,41951232,2076,9,93633308
final,sparse,4,37121680,38201712,37723287,2.082247,32770,134225920,11,0,62932
final,sparse,5,38518063,37904570,38246712,-1.244887,32770,134225920,11,0,62932
final,sparse,6,37177949,37237110,38153390,-1.137799,32770,134225920,11,0,62932
