round,disk,read_ops,read_bytes,merged_reads,write_ops,write_bytes
1,0,71537,4863930368,0,0,0
1,1,71537,4863930368,0,0,0
1,2,71537,4863930368,0,0,0
1,3,71537,4863930368,0,0,0
1,4,71537,4863930368,0,0,0
1,5,71537,4863930368,0,0,0
1,6,71537,4863930368,0,0,0
1,7,71537,4863930368,0,0,0
1,8,71537,4863930368,0,0,0
1,9,71537,4863930368,0,0,0
1,10,71537,4863930368,0,0,0
1,11,71537,4863930368,0,0,0
1,12,71537,4863930368,0,0,0
1,13,71537,4863930368,0,0,0
1,14,71537,4863930368,0,0,0
1,15,71537,4863930368,0,0,0
1,16,71537,4863930368,0,0,0
1,17,71537,4863930368,0,0,0
1,18,71537,4863930368,0,0,0
1,19,71537,4863930368,0,0,0
2,0,71537,4863930368,0,0,0
2,1,71537,4863930368,0,0,0
2,2,71537,4863930368,0,0,0
2,3,71537,4863930368,0,0,0
2,4,71537,4863930368,0,0,0
2,5,71537,4863930368,0,0,0
2,6,71537,4863930368,0,0,0
2,7,71537,4863930368,0,0,0
2,8,71537,4863930368,0,0,0
2,9,71537,4863930368,0,0,0
2,10,71537,4863930368,0,0,0
2,11,71537,4863930368,0,0,0
2,12,71537,4863930368,0,0,0
2,13,71537,4863930368,0,0,0
2,14,71537,4863930368,0,0,0
2,15,71537,4863930368,0,0,0
2,16,71537,4863930368,0,0,0
2,17,71537,4863930368,0,0,0
2,18,71537,4863930368,0,0,0
2,19,71537,4863930368,0,0,0
3,0,71537,4863930368,0,0,0
3,1,71537,4863930368,0,0,0
3,2,71537,4863930368,0,0,0
3,3,71537,4863930368,0,0,0
3,4,71537,4863930368,0,0,0
3,5,71537,4863930368,0,0,0
3,6,71537,4863930368,0,0,0
3,7,71537,4863930368,0,0,0
3,8,71537,4863930368,0,0,0
3,9,71537,4863930368,0,0,0
3,10,71537,4863930368,0,0,0
3,11,71537,4863930368,0,0,0
3,12,71537,4863930368,0,0,0
3,13,71537,4863930368,0,0,0
3,14,71537,4863930368,0,0,0
3,15,71537,4863930368,0,0,0
3,16,71537,4863930368,0,0,0
3,17,71537,4863930368,0,0,0
3,18,71537,4863930368,0,0,0
3,19,71537,4863930368,0,0,0
