allocated_segments,disk,payload_bytes,records,seconds,segments
38,0,81151296620,95135,30.00022245,14307
71,0,151277413140,177345,60.000921141,14307
110,0,235789577040,276420,90.001066593,14307
147,0,313742078660,367805,120.002410122,14307
178,0,381748460360,447530,150.002882038,14307
211,0,451981203380,529865,180.00305097,14307
244,0,522380283740,612395,210.004430779,14307
277,0,592250496660,694305,240.006236389,14307
312,0,668492709220,783685,270.006501531,14307
347,0,743438343540,871545,300.007070946,14307
380,0,813436508260,953605,330.007433956,14307
414,0,886812600500,1039625,360.008767707,14307
446,0,955731705040,1120420,390.009605657,14307
482,0,1033470953660,1211555,420.01128023,14307
514,0,1100607263120,1290260,450.012293876,14307
545,0,1169176632740,1370645,480.013444324,14307
579,0,1240791255200,1454600,510.014786005,14307
612,0,1311753323480,1537790,540.014977251,14307
646,0,1384988668740,1623645,570.016725507,14307
678,0,1452734881780,1703065,600.017265583,14307
711,0,1524712034340,1787445,630.018003202,14307
743,0,1592910343740,1867395,660.018796139,14307
774,0,1658379014740,1944145,690.019698823,14307
812,0,1741914479900,2042075,720.021748178,14307
843,0,1806628235280,2117940,750.021995116,14307
875,0,1875355412120,2198510,780.023744795,14307
909,0,1948036299580,2283715,810.025055459,14307
947,0,2030641981660,2380555,840.025342384,14307
981,0,2103954098000,2466500,870.025487193,14307
1020,0,2186312406600,2563050,900.025968803,14307
1060,0,2272214980060,2663755,930.027717423,14307
1093,0,2344682614520,2748710,960.028195922,14307
1130,0,2422221405320,2839610,990.030353255,14307
1173,0,2516202002420,2949785,1020.032651021,14307
1209,0,2591697829480,3038290,1050.03310448,14307
1243,0,2665137897620,3124385,1080.033365669,14307
1276,0,2737396544140,3209095,1110.033572989,14307
1308,0,2805697214980,3289165,1140.035005005,14307
1343,0,2879947644520,3376210,1170.035615995,14307
1375,0,2948960580380,3457115,1200.036316891,14307
1406,0,3016148070560,3535880,1230.036506693,14307
1444,0,3096898451540,3630545,1260.037503159,14307
1475,0,3163603989940,3708745,1290.039053161,14307
1507,0,3232578540260,3789605,1320.039958142,14307
1540,0,3302858198940,3871995,1350.040586398,14307
1571,0,3370126725260,3950855,1380.041818703,14307
1602,0,3436806673300,4029025,1410.042609755,14307
1634,0,3504787464640,4108720,1440.043005781,14307
1666,0,3573919822180,4189765,1470.044757012,14307
1698,0,3641388806320,4268860,1500.045965841,14307
1736,0,3722838657140,4364345,1530.047421194,14307
1774,0,3803896122440,4459370,1560.048089536,14307
1812,0,3886066768400,4555700,1590.04861307,14307
1846,0,3958794571520,4640960,1620.048919415,14307
1877,0,4025359362940,4718995,1650.049627337,14307
1911,0,4098057310640,4804220,1680.050352434,14307
1956,0,4196012943660,4919055,1710.052151003,14307
1999,0,4286530312040,5025170,1740.053420582,14307
2032,0,4357671512840,5108570,1770.053512965,14307
2064,0,4426965942660,5189805,1800.055138822,14307
