disk,seconds,payload_bytes,records,frames,segments,process_user_seconds,process_system_seconds,process_max_rss_kib
0,12684.518411844,30693167350260,35982105,7196421,14307,11980.479662,697.894543,4266324
1,12277.723331743,30693167350260,35982105,7196421,14307,11598.693493,674.227141,4266148
2,12877.364451894,30693167350260,35982105,7196421,14307,12189.38014,682.81463,4266148
3,12687.416599437,30693167350260,35982105,7196421,14307,12005.531834,677.278581,4266148
4,12990.963307888,30693167350260,35982105,7196421,14307,12279.90891,706.483632,4266148
5,12929.650411534,30693167350260,35982105,7196421,14307,12235.858669,689.176425,4266148
6,13141.22235631,30693167350260,35982105,7196421,14307,12452.56468,675.972844,4266148
7,13097.77151811,30693167350260,35982105,7196421,14307,12410.449283,681.319795,4266148
8,5187.027420856,30693167350260,35982105,7196421,14307,4693.894126,482.369117,4267688
9,4452.488612732,30693167350260,35982105,7196421,14307,3981.483146,465.781954,4267688
10,5163.701035689,30693167350260,35982105,7196421,14307,4676.915051,480.987221,4266152
11,4999.585805737,30693167350260,35982105,7196421,14307,4518.712459,475.916599,4266152
12,14042.322407885,30693167350260,35982105,7196421,14307,13331.946931,705.64371,4266152
13,14062.207629241,30693167350260,35982105,7196421,14307,13249.732662,808.011785,4266152
14,14068.397452236,30693167350260,35982105,7196421,14307,13344.487217,719.299087,4266152
15,13971.356478072,30693167350260,35982105,7196421,14307,13256.13519,710.631651,4266152
16,13977.264729915,30693167350260,35982105,7196421,14307,13194.198287,778.600819,4266152
17,13926.224878516,30693167350260,35982105,7196421,14307,13211.491606,709.995748,4266152
18,14111.926276057,30693167350260,35982105,7196421,14307,13308.83939,789.561354,4266152
19,14063.779230891,30693167350260,35982105,7196421,14307,13335.754741,723.431066,4266152
