case,device,write_requests,write_bytes,read_requests,read_bytes
r-aligned-baseline,0,852828,62915244032,1535162,106896400384
r-aligned-baseline,1,852689,62904995840,1532995,106745507840
r-aligned-baseline,2,852793,62912663552,1532253,106693840896
r-aligned-baseline,3,853676,62977765376,1536196,106968399872
r-aligned-baseline,4,853088,62934413312,1539303,107184746496
r-aligned-baseline,5,854248,63019937792,1539594,107205009408
r-aligned-baseline,6,852736,62908461056,1540781,107287662592
r-aligned-baseline,7,854371,63029006336,1538772,107147771904
r-aligned-baseline,8,853732,62981894144,1532046,106679427072
r-aligned-baseline,9,851842,62842548224,1540687,107281117184
r-aligned-baseline,10,853366,62954909696,1531536,106643914752
r-aligned-baseline,11,852437,62886416384,1532041,106679078912
r-aligned-baseline,12,853341,62953066496,1531839,106665013248
r-aligned-baseline,13,852728,62907871232,1539985,107232235520
r-aligned-baseline,14,853021,62929473536,1534429,106845360128
r-aligned-baseline,15,854600,63045890048,1536919,107018743808
r-aligned-baseline,16,851993,62853681152,1536073,106959835136
r-aligned-baseline,17,851608,62825295872,1534876,106876485632
r-aligned-baseline,18,852846,62916571136,1542511,107408125952
r-aligned-baseline,19,852317,62877569024,1534695,106863882240
r-aligned-current-disabled,0,853698,62915244032,1534511,106851069952
r-aligned-current-disabled,1,853559,62904995840,1537157,107035316224
r-aligned-current-disabled,2,853663,62912663552,1535394,106912555008
r-aligned-current-disabled,3,854546,62977765376,1536010,106955448320
r-aligned-current-disabled,4,853958,62934413312,1533736,106797105152
r-aligned-current-disabled,5,855118,63019937792,1537035,107026821120
r-aligned-current-disabled,6,853606,62908461056,1541956,107369480192
r-aligned-current-disabled,7,855241,63029006336,1535780,106939432960
r-aligned-current-disabled,8,854602,62981894144,1535630,106928988160
r-aligned-current-disabled,9,852712,62842548224,1536684,107002380288
r-aligned-current-disabled,10,854236,62954909696,1529061,106471575552
r-aligned-current-disabled,11,853307,62886416384,1534809,106871820288
r-aligned-current-disabled,12,854211,62953066496,1534836,106873700352
r-aligned-current-disabled,13,853598,62907871232,1537708,107073683456
r-aligned-current-disabled,14,853891,62929473536,1536077,106960113664
