case,device,owners_per_l3,write_seconds,puts,polls,pool_sample_ns,pool_samples,pool_mean_ns,copy_sample_ns,copy_samples,copy_mean_ns,submit_sample_ns,submit_samples,submit_mean_ns,poll_sample_ns,poll_samples,poll_mean_ns
r-hotpath-baseline,1,8,17.957842375,561378,14759254,1037271,7819,132.66031461823763,132545326,7819,16951.69791533444,30393653,8378,3627.793387443304,60336126,220287,273.8978060439336
r-hotpath-baseline,6,8,18.650774281,569121,12812309,1150562,7812,147.28136200716847,132637549,7812,16978.692908346133,28865622,8494,3398.3543677890275,60977414,191228,318.87283243039724
r-hotpath-baseline,5,8,18.286311694,566128,13149561,1145229,7818,146.4861857252494,131400163,7818,16807.388462522384,31429320,8449,3719.8863770860457,61121478,196262,311.42797892612936
r-hotpath-baseline,2,8,18.166247529,560570,11716308,1171069,7819,149.77222151170227,133754438,7819,17106.3355927868,30969010,8366,3701.770260578532,57186803,174870,327.02466403614113
r-hotpath-baseline,3,8,18.54991232,556117,11957015,1112794,7821,142.2828282828283,129465327,7821,16553.551591868047,29560723,8300,3561.532891566265,60917127,178462,341.34508746960137
r-hotpath-baseline,8,4,7.161740979,617577,29210745,594561,7828,75.95311701584058,24503173,7828,3130.1958354624426,13362725,9217,1449.7911467939678,63372843,435981,145.35689169940892
r-hotpath-baseline,18,8,18.970098669,564334,9212413,1001911,7819,128.13799718634095,119267441,7819,15253.541501470776,26794682,8422,3181.5105675611494,75158023,137498,546.6117543527906
r-hotpath-baseline,19,8,18.809502749,558163,9118865,1050708,7821,134.34445723053318,123451255,7821,15784.587009333845,27923582,8330,3352.170708283313,72274768,136102,531.0338422653598
r-hotpath-baseline,0,8,18.68090858,565687,12177597,920168,7824,117.60838445807771,128758246,7824,16456.831032719838,27469861,8443,3253.566386355561,66743029,181755,367.214266457594
r-hotpath-baseline,4,8,18.684900987,564470,13329595,1157779,7833,147.80786416443252,130978223,7833,16721.335758968467,29481983,8424,3499.760565052232,68883181,198949,346.23537187922534
r-hotpath-baseline,10,4,7.205128605,651753,28210052,607201,7819,77.65711727842435,24507721,7819,3134.3804834377797,13852572,9727,1424.1361159658682,61952272,421045,147.13931290004632
r-hotpath-baseline,9,4,7.063761209,651910,31484077,608265,7821,77.77330264672037,22517551,7821,2879.11405191152,12518541,9730,1286.5920863309352,64635172,469911,137.54768881766972
r-hotpath-baseline,11,4,7.148862365,608244,28226563,596812,7812,76.39682539682539,23806024,7812,3047.3661034306197,14135278,9078,1557.0916501432034,63753508,421291,151.32891042058816
r-hotpath-baseline,12,8,18.981295298,563196,9888499,1051012,7826,134.29746997188857,120486150,7826,15395.623562484028,26643674,8405,3169.979060083284,72489821,147589,491.1600525784442
r-hotpath-baseline,14,8,18.973484709,560556,9695633,1041626,7830,133.0301404853129,126225804,7830,16120.79233716475,30025421,8366,3588.9817116901745,60629591,144710,418.9730564577431
r-hotpath-baseline,17,8,18.319596268,571216,15482720,1053706,7812,134.88300051203277,120286008,7812,15397.594470046082,24546223,8525,2879.322346041056,71668890,231085,310.14081398619555
r-hotpath-baseline,13,8,18.775224246,556852,9564191,987658,7831,126.12156812667602,122163267,7831,15599.957476695186,27143141,8311,3265.9296113584405,71402327,142749,500.1949365669812
r-hotpath-baseline,16,8,18.777630986,561401,9528408,1027896,7825,131.36051118210864,119364889,7825,15254.29891373802,26294500,8379,3138.142976488841,66283278,142215,466.07796645923423
r-hotpath-baseline,15,8,18.824346464,558442,9611788,1101815,7849,140.3764810803924,120454845,7849,15346.521212893362,27746440,8334,3329.3064554835614,63492792,143459,442.58493367442964
r-hotpath-baseline,7,8,18.299439703,560875,16348813,1109048,7836,141.53241449719243,127301907,7836,16245.776799387442,28187997,8371,3367.3392665153506,65079335,244012,266.7054694031441
r-hotpath-current,2,8,17.009697151,719747,10352284,1070553,7819,136.91686916485483,120912143,7819,15463.88834889372,25617590,10742,2384.8063675293242,63893086,154511,413.51804078674013
r-hotpath-current,4,8,16.888188525,727639,11118877,1110315,7834,141.73027827418943,124399362,7834,15879.41817717641,25938096,10860,2388.406629834254,62287653,165953,375.33309430983473
r-hotpath-current,6,8,17.080122279,723025,11335316,913509,7815,116.89174664107486,125070497,7815,16003.902367242483,25892771,10791,2399.4783615976276,61280691,169183,362.21541762470224
r-hotpath-current,0,8,17.211165199,720535,11163042,1077050,7822,137.6949629250831,120858933,7822,15451.154819739197,24817365,10754,2307.733401525014,61090584,166612,366.663769716467
r-hotpath-current,8,4,6.451639701,783929,21235729,609381,7827,77.85626676887696,24757283,7827,3163.0615817043567,13595823,11700,1162.0361538461539,57723500,316951,182.1212111651328
r-hotpath-current,16,8,17.383538437,714345,8172545,990667,7825,126.60281150159744,122753366,7825,15687.331118210863,25372159,10661,2379.9042303723854,59383754,121978,486.83987276394106
r-hotpath-current,3,8,17.105888339,715349,11412663,1013176,7825,129.47936102236423,122103209,7825,15604.243961661341,25617686,10676,2399.55844885725,57436112,170338,337.1890711409081
r-hotpath-current,7,8,16.396956639,733305,12814511,1015983,7838,129.62273539168154,121805645,7838,15540.398698647614,25738779,10944,2351.86211622807,62050446,191261,324.4281165527734
r-hotpath-current,12,8,17.605573472,721529,9123045,1030108,7829,131.57593562396218,127292543,7829,16259.106271554478,25473215,10769,2365.4206518711117,65135314,136164,478.35928732998445
r-hotpath-current,5,8,17.141880527,706942,10500599,1100654,7820,140.74859335038363,123508539,7820,15793.930818414323,25584905,10551,2424.879632262345,60341475,156725,385.0149944169724
r-hotpath-current,9,4,6.312146396,806950,23707518,544172,7822,69.56941958578369,22858405,7822,2922.322296087957,12795991,12044,1062.4369810694122,57190449,353843,161.6266225416357
r-hotpath-current,11,4,6.48079708,762264,21136901,599616,7816,76.7164790174002,24848239,7816,3179.1503326509724,13716577,11377,1205.6409422519118,56110198,315476,177.85884821666306
r-hotpath-current,18,8,17.531072587,707448,8546849,984009,7820,125.83235294117647,126816764,7820,16216.977493606139,25607083,10558,2425.372513733662,64906522,127564,508.8153554294315
r-hotpath-current,10,4,6.426708335,781659,21601597,578197,7819,73.94769152065481,24222373,7819,3097.88630259624,13447487,11666,1152.707611863535,57178847,322411,177.3476928516707
r-hotpath-current,17,8,17.329860823,731655,11613435,1015015,7810,129.96350832266324,125164109,7810,16026.134314980794,25112867,10920,2299.7130952380953,60925781,173334,351.49353848639043
r-hotpath-current,14,8,17.082396973,717548,9054817,1071367,7831,136.8110075341591,122216708,7831,15606.781764780999,25449597,10709,2376.468110934728,71607776,135146,529.8549420626582
r-hotpath-current,13,8,17.158574043,718181,8744309,1017781,7833,129.93501851142602,121305271,7833,15486.438273969105,25037741,10719,2335.8280623192463,66734076,130512,511.3252114748069
r-hotpath-current,15,8,17.101867132,731699,9406986,1070368,7851,136.33524391797224,125814814,7851,16025.32339829321,25854412,10920,2367.6201465201466,65242054,140402,464.68037492343416
r-hotpath-current,19,8,17.333577277,719544,8289041,1042126,7824,133.19606339468302,121645139,7824,15547.69158997955,24843675,10739,2313.406741782289,66013571,123717,533.5852873897686
r-hotpath-current,1,8,16.602499712,721327,13016277,1054668,7824,134.79907975460122,123170407,7824,15742.638931492842,25793707,10766,2395.848690321382,59187154,194272,304.6612687366167
