case,device,elapsed_ms,rollovers,rollover_ms,sync_ms,page_ms,body_ms,syncs,page_requests,body_requests,step_ms
r-timer-baseline-enabled,9,6413.52398,37,24.534828,0.126417,0.695165,12.206267,109,73,36,0.0
r-timer-baseline-enabled,11,6483.59253,37,25.433995,0.119799,0.631683,12.195964,109,73,36,0.0
r-timer-baseline-enabled,10,6504.999944,37,25.233172,0.091289,0.614075,11.535356,109,73,36,0.0
r-timer-baseline-enabled,8,6516.608472,37,26.689046,0.115135,0.575347,12.361025,109,73,36,0.0
r-timer-baseline-enabled,1,17280.992337,37,68.616751,0.193918,0.888699,13.684117,109,73,36,0.0
r-timer-baseline-enabled,5,17452.330659,37,70.020112,0.118357,0.885812,15.30405,109,73,36,0.0
r-timer-baseline-enabled,3,17488.351689,37,68.229382,0.118087,0.769422,13.397312,109,73,36,0.0
r-timer-baseline-enabled,17,17582.563037,37,70.92849,0.159246,0.722707,16.297308,109,73,36,0.0
r-timer-baseline-enabled,15,17584.423208,37,71.27145,0.122467,0.724387,16.577637,109,73,36,0.0
r-timer-baseline-enabled,4,17598.985395,37,69.037958,0.116518,0.650931,15.238935,109,73,36,0.0
r-timer-baseline-enabled,7,17643.715163,37,67.926795,0.124378,0.73607,14.432522,109,73,36,0.0
r-timer-baseline-enabled,2,17686.61649,37,66.3325,0.139376,0.882675,14.453769,109,73,36,0.0
r-timer-baseline-enabled,6,17732.22025,37,66.295677,0.115658,0.660904,13.540279,109,73,36,0.0
r-timer-baseline-enabled,0,17815.964517,37,66.313478,0.131396,0.779263,12.781945,109,73,36,0.0
r-timer-baseline-enabled,13,17947.3793,37,71.233636,0.144096,0.887008,19.215712,109,73,36,0.0
r-timer-baseline-enabled,12,18022.207031,37,71.666309,0.189046,1.07775,17.820268,109,73,36,0.0
r-timer-baseline-enabled,18,18068.3833,37,68.995908,0.126438,0.682358,16.006212,109,73,36,0.0
r-timer-baseline-enabled,19,18082.103684,37,70.441996,0.204827,0.891813,15.543128,109,73,36,0.0
r-timer-baseline-enabled,14,18094.243171,37,68.763222,0.121107,0.618784,14.834892,109,73,36,0.0
r-timer-baseline-enabled,16,18131.003206,37,70.516831,0.158485,0.894664,18.882586,109,73,36,0.0
r-timer-current-disabled,9,6366.591581,37,39.845265,0.0,0.470032,16.165997,0,73,1116,9.370069
r-timer-current-disabled,8,6404.233709,37,37.930511,0.0,0.614717,17.122114,0,73,1116,8.399419
r-timer-current-disabled,11,6444.516312,37,37.648831,0.0,0.497829,16.485843,0,73,1116,8.462613
r-timer-current-disabled,10,6457.096861,37,38.312289,0.0,0.526807,18.250855,0,73,1116,7.911518
r-timer-current-disabled,1,16674.18436,37,57.452856,0.0,0.568141,19.78928,0,73,1116,27.021121
r-timer-current-disabled,3,17407.015079,37,56.374158,0.0,0.507937,18.97467,0,73,1116,26.941424
r-timer-current-disabled,6,17437.055204,37,51.06055,0.0,0.523291,17.694006,0,73,1116,23.350102
r-timer-current-disabled,5,17502.637732,37,52.668732,0.0,0.501877,17.251991,0,73,1116,24.34301
r-timer-current-disabled,7,17573.708034,37,52.994056,0.0,0.76062,19.465937,0,73,1116,23.650264
r-timer-current-disabled,4,17590.912097,37,53.28257,0.0,0.476979,18.710191,0,73,1116,24.746191
r-timer-current-disabled,2,17594.031032,37,56.224161,0.0,0.46003,18.518316,0,73,1116,26.401325
r-timer-current-disabled,0,17662.484319,37,52.707344,0.0,0.629337,18.457001,0,73,1116,22.878503
r-timer-current-disabled,17,17774.694738,37,56.476918,0.0,0.54333,18.859812,0,73,1116,27.594218
r-timer-current-disabled,15,17782.099354,37,58.663997,0.0,0.455111,19.359602,0,73,1116,28.71329
r-timer-current-disabled,12,17790.803143,37,53.845545,0.0,0.431263,18.298445,0,73,1116,24.226127
r-timer-current-disabled,19,17895.480857,37,54.405423,0.0,0.496502,18.118939,0,73,1116,25.529265
r-timer-current-disabled,14,17921.147304,37,54.908352,0.0,0.408575,17.862026,0,73,1116,25.488649
r-timer-current-disabled,16,17921.920998,37,54.639583,0.0,0.487061,18.358904,0,73,1116,24.890425
r-timer-current-disabled,18,17982.780063,37,55.137844,0.0,0.589375,18.339221,0,73,1116,25.816166
r-timer-current-disabled,13,18012.547284,37,54.512049,0.0,0.453986,18.064779,0,73,1116,25.468278
r-timer-current-enabled,9,6532.99669,37,48.717735,4.852202,0.549739,19.27735,109,73,1116,9.586224
r-timer-current-enabled,11,6615.337537,37,47.264197,4.665415,0.590127,18.330299,109,73,1116,9.052513
r-timer-current-enabled,8,6619.943721,37,46.498461,4.439516,0.52913,17.757909,109,73,1116,9.009712
r-timer-current-enabled,10,6631.604668,37,44.881949,4.229285,0.477214,15.686009,109,73,1116,9.198052
r-timer-current-enabled,1,17494.307235,37,61.601916,4.801516,0.765546,19.984603,109,73,1116,26.087232
r-timer-current-enabled,7,17820.596327,37,63.01413,4.930725,0.64907,18.743353,109,73,1116,27.446706
r-timer-current-enabled,5,17982.515188,37,58.768504,4.293854,0.595864,17.891681,109,73,1116,26.272125
r-timer-current-enabled,2,18093.107518,37,59.132838,4.611125,0.715503,18.900388,109,73,1116,25.546578
