case,instrumented,fsync,write_seconds,write_gib,write_cpu_us,physical_write_requests,physical_write_bytes,verified_records,read_gib,read_p99_us
r-aligned-baseline,False,True,18.968311136,54.828286637822046,20.29111721332257,17060260,1258577674240,17039360,187.5046053019854,541.695
r-aligned-current-disabled,False,False,18.782606791,55.370375985208476,20.05775029109074,17077660,1258577674240,17039360,187.46228763619243,542.207
r-aligned-current-enabled,False,True,18.827643304,55.23792772189647,20.036028407170225,17077660,1258577674240,17039360,187.11065846904597,545.279
r-balanced-baseline,False,True,23.322748908,44.59165615950471,23.723686159574065,17060260,1258577674240,17039360,187.43643263102533,542.719
r-balanced-current-disabled,False,False,23.228833664,44.77194227843604,23.61200766930213,17077660,1258577674240,17039360,187.52862944339677,541.183
r-balanced-current-enabled,False,True,24.254422674,42.87877777914905,24.1140134371244,17077660,1258577674240,17039360,187.5131902328174,542.207
r-baseline,False,True,17.48719511,36.598207772841626,28.195318412780765,10498740,774521569280,10485760,187.09260845692665,539.135
r-budget-disabled,True,False,19.922507619,32.12447008375768,32.372933101654056,10509540,774521569280,10485760,186.6210900271336,541.695
r-budget-enabled,False,True,18.483797644,34.624919203643714,30.092154216766353,10509540,774521569280,10485760,186.80131128794278,541.695
r-current-disabled,False,False,18.467618733,34.65525302709313,30.044073295593257,10509540,774521569280,10485760,186.91306342442147,540.159
r-current-enabled,False,True,17.862853982,35.82854120875162,29.226240158081048,10509540,774521569280,10485760,186.78816901249803,540.671
r-final-baseline,False,True,19.490536221,53.35922974142991,20.625697267972505,17060260,1258577674240,17039360,187.46106395042833,542.207
r-final-current-disabled,False,False,19.282538942,53.934806154325365,20.46183542104868,17077660,1258577674240,17039360,187.36424004714377,542.719
r-final-current-enabled,False,True,18.806634178,55.29963470106692,20.087677999643176,17077660,1258577674240,17039360,187.61729888639647,541.695
r-footer-disabled,False,False,17.532147204,36.504370659971556,28.5906551361084,10498740,774521569280,10485760,186.78428844987081,540.671
r-footer-enabled,False,True,17.873975298,35.80624843269267,29.18593683242798,10498740,774521569280,10485760,186.7024841892273,540.671
r-hotpath-baseline,True,True,18.981356477,33.7172952194169,31.091499996185302,10498740,774521569280,10485760,186.77115293459303,541.695
r-hotpath-current,True,True,17.60563417,36.351999241842705,28.573423194885255,10509540,774521569280,10485760,186.66532116681296,542.207
r-timer-baseline-enabled,True,True,18.131061124,35.298540754067346,29.553707504272452,10498779,774521569280,10485760,186.80630968130882,540.671
r-timer-current-disabled,True,False,18.012604983,35.530674247507314,29.39005374908448,10509540,774521569280,10485760,186.77949210084765,540.671
r-timer-current-enabled,True,True,18.839719346,33.97078206135184,30.436640453338622,10509540,774521569280,10485760,186.77792391713683,541.183
r-timer-footer-disabled,True,False,17.918331937,35.717610447792204,29.193480873107912,10498740,774521569280,10485760,186.82799575787064,540.671
r-timer-footer-enabled,True,True,17.68701275,36.18474238958187,28.543231678009032,10498740,774521569280,10485760,187.0261028162168,539.647
