case,group,threshold,variant,devices,value_bytes,verified_records,instrumented,write_seconds,write_gib,write_cpu_us_per_record,read_ops
compare2-r1-default-baseline,compare2,default,baseline,20,65536,163800,False,0.273659423,36.532849788804825,28.458577533577532,3067166.6937327757
compare2-r1-default-current,compare2,default,current,20,65536,163800,False,0.360857409,27.705011299213755,36.6921978021978,3067133.583914388
compare2-r1-high-baseline,compare2,high,baseline,20,65536,163800,False,0.279680611,35.74634136418559,28.74370573870574,3071413.1878568525
compare2-r1-high-current,compare2,high,current,20,65536,163800,False,0.281492814,35.51621248047206,28.77625152625153,3073070.0458662296
compare2-r1-low-baseline,compare2,low,baseline,20,65536,163800,False,0.364528875,27.425971656566304,37.51268620268621,3068910.6767016635
compare2-r1-low-current,compare2,low,current,20,65536,163800,False,0.352080677,28.39564692654235,37.17677045177045,3065913.060451379
compare2-r2-default-baseline,compare2,default,baseline,20,65536,163800,False,0.290505972,34.41429628768527,28.680427350427347,3072260.046433153
compare2-r2-default-current,compare2,default,current,20,65536,163800,False,0.351167574,28.469481051089303,36.93052503052504,3073296.836665382
compare2-r2-high-baseline,compare2,high,baseline,20,65536,163800,False,0.265601345,37.641219752671056,27.19045787545788,3073148.817271351
compare2-r2-high-current,compare2,high,current,20,65536,163800,False,0.269349869,37.11736943057507,27.509230769230765,3072890.2569602076
compare2-r2-low-baseline,compare2,low,baseline,20,65536,163800,False,0.3364921,29.711124254477294,35.52474358974358,3072186.5186774023
compare2-r2-low-current,compare2,low,current,20,65536,163800,False,0.342130536,29.221474091836107,36.18650183150183,3068889.7593397726
compare2-r3-default-baseline,compare2,default,baseline,20,65536,163800,False,0.272337398,36.71019355832283,28.239761904761906,3071067.6351969945
compare2-r3-default-current,compare2,default,current,20,65536,163800,False,0.345254772,28.9570468087549,36.157118437118434,3069708.583063826
compare2-r3-high-baseline,compare2,high,baseline,20,65536,163800,False,0.303182744,32.9753549356028,30.87428571428571,3072312.13342772
compare2-r3-high-current,compare2,high,current,20,65536,163800,False,0.305524637,32.722593804276414,29.541996336996338,3074017.428572266
compare2-r3-low-baseline,compare2,low,baseline,20,65536,163800,False,0.33691508,29.673823426811293,35.54209401709401,3069198.6580681466
compare2-r3-low-current,compare2,low,current,20,65536,163800,False,0.337097017,29.657807959036315,35.6335409035409,3069447.7318474078
detail-default-baseline,detail,default,baseline,20,65536,163800,True,0.294959729,33.89465615406095,30.146782661782666,3068982.3481234554
detail-default-current,detail,default,current,20,65536,163800,True,0.353477004,28.283476663590825,36.019664224664226,3067832.894873884
detail-high-current,detail,high,current,20,65536,163800,True,0.288314633,34.67586258013481,29.480903540903547,3066382.6864545974
detail-low-baseline,detail,low,baseline,20,65536,163800,True,0.341087905,29.310797736290294,35.64797313797314,3068085.4407144138
trace-default-baseline,trace,default,baseline,20,65536,163800,True,0.31069772,32.1777662023075,27.476434676434682,2067770.2150107436
trace-default-current,trace,default,current,20,65536,163800,True,0.361105879,27.685948014571093,34.13700244200244,2110835.9136794824
trace-high-current,trace,high,current,20,65536,163800,True,0.286100138,34.94426344439582,25.158076923076923,2094434.1813921814
trace-low-baseline,trace,low,baseline,20,65536,163800,True,0.357630249,27.95501393325932,33.735366300366294,2070659.8138874052
