case,owner_sample,drop_ns,elapsed_ns,involuntary_switches,major_faults,make_ns,minor_faults,other_ns,poll_ns,polls,put_calls,put_ns,records,rejects,system_us,user_us,voluntary_switches
detail-default-baseline,0,536042,106599522,0,0,16079978,1903,14816372,37743032,226588,8041,37424098,8041,0,20604,85466,1
detail-default-baseline,1,511168,108900766,0,0,15802532,1774,15921109,39584951,259747,8224,37081006,8224,0,25236,82609,10
detail-default-baseline,2,526662,110312847,0,0,16131345,1907,15017805,38197997,223308,8174,40439038,8174,0,29515,80559,1
detail-default-baseline,3,509545,110442585,0,0,15952820,1756,15223941,38521113,226955,8177,40235166,8177,0,24523,85420,49
detail-default-baseline,4,584815,265247931,2,0,46096593,1756,10257669,49950589,120616,8177,158358265,8177,0,34137,230861,1
detail-default-baseline,5,651778,269193230,0,0,56855598,1772,8675814,44953783,93991,8185,158056257,8185,0,30730,237049,152
detail-default-baseline,6,631918,273692419,2,0,44198204,1755,7954891,45399201,96180,8121,175508205,8121,0,35806,237223,1
detail-default-baseline,7,625348,274337197,1,0,48348316,1762,9873557,46849517,152170,8322,168640459,8322,0,37089,236988,1
detail-default-baseline,8,618050,276203449,1,0,60752134,2046,10342956,48154796,157361,8265,156335513,8265,0,30440,245613,1
detail-default-baseline,9,618825,278649839,1,0,48931224,1763,9803982,48486691,119906,8335,170809117,8335,0,38130,239841,1
detail-default-baseline,10,559406,282129319,0,0,64348016,1760,10607848,56350879,109858,8262,150263170,8262,0,41773,240289,1
detail-default-baseline,11,631988,283383283,1,0,59657604,1756,9295806,45461034,111619,8202,168336851,8202,0,43788,239294,1
detail-default-baseline,12,621851,284135988,1,0,56845808,1757,7552507,41821442,88845,8151,177294380,8151,0,29949,254080,1
detail-default-baseline,13,662537,284182248,1,0,62712677,1772,8133335,42071593,100069,8170,170602106,8170,0,34019,250034,1
detail-default-baseline,14,613007,284395293,1,0,66902570,1771,11199476,56453081,94823,8122,149227159,8122,0,42524,241348,1
detail-default-baseline,15,617169,286238886,0,0,64291894,1771,11359391,56640679,150916,8136,153329753,8136,0,34924,250406,150
detail-default-baseline,16,577852,286914362,1,0,67814847,1756,10012455,55827942,93080,8175,152681266,8175,0,33454,252569,1
detail-default-baseline,17,629497,288183757,0,0,60699319,1755,9032123,53438206,94697,8141,164384612,8141,0,41684,246386,1
detail-default-baseline,18,614987,291676486,1,0,65148613,1756,10531571,49335870,108023,8183,166045445,8183,0,28426,262625,1
