case,device,write_requests,write_bytes,read_requests,read_bytes
r-base-v4096,0,653244,58502918144,4041820,33110589440
r-base-v4096,1,653336,58511278080,4285877,35109904384
r-base-v4096,2,653472,58523553792,4043271,33122476032
r-base-v4096,3,653664,58540879872,4060325,33262190592
r-base-v4096,4,653447,58521280512,4021763,32946282496
r-base-v4096,5,653115,58491375616,4287734,35125125120
r-base-v4096,6,653448,58521333760,4305453,35270270976
r-base-v4096,7,653327,58510393344,4277252,35039248384
r-base-v4096,8,653151,58494627840,4017123,32908271616
r-base-v4096,9,653184,58497527808,4258007,34881593344
r-base-v4096,10,653267,58505043968,3993348,32713506816
r-base-v4096,11,653316,58509463552,4035580,33059471360
r-base-v4096,12,653309,58508824576,3965708,32487079936
r-base-v4096,13,653141,58493607936,4264402,34933981184
r-base-v4096,14,653595,58534588416,4279344,35056386048
r-base-v4096,15,653205,58499399680,4255244,34858958848
r-base-v4096,16,653295,58507612160,4266913,34954551296
r-base-v4096,17,653334,58511081472,4249721,34813714432
r-base-v4096,18,653495,58525519872,4291924,35159441408
r-base-v4096,19,653474,58523701248,4270791,34986319872
r-exact-index-v4096,0,653244,58502918144,4048255,33163304960
r-exact-index-v4096,1,653336,58511278080,4288234,35129221120
r-exact-index-v4096,2,653472,58523553792,4040748,33101807616
r-exact-index-v4096,3,653664,58540879872,4068356,33327980544
r-exact-index-v4096,4,653447,58521280512,4039791,33093967872
r-exact-index-v4096,5,653115,58491375616,4290611,35148701696
r-exact-index-v4096,6,653448,58521333760,4307367,35285950464
r-exact-index-v4096,7,653327,58510393344,4287057,35119570944
r-exact-index-v4096,8,653151,58494627840,3996160,32736542720
r-exact-index-v4096,9,653184,58497527808,4266244,34949070848
r-exact-index-v4096,10,653267,58505043968,3968507,32510009344
r-exact-index-v4096,11,653316,58509463552,3999061,32760307712
r-exact-index-v4096,12,653309,58508824576,3962326,32459374592
r-exact-index-v4096,13,653141,58493607936,4274360,35015557120
r-exact-index-v4096,14,653595,58534588416,4276887,35036266496
r-exact-index-v4096,15,653205,58499399680,4259142,34890891264
r-exact-index-v4096,16,653295,58507612160,4265547,34943361024
r-exact-index-v4096,17,653334,58511081472,4251245,34826199040
r-exact-index-v4096,18,653495,58525519872,4298158,35210510336
r-exact-index-v4096,19,653474,58523701248,4272985,35004293120
r-base-v65536,0,853698,62915244032,1534956,106882056192
r-base-v65536,1,853559,62904995840,1537940,107089838080
r-base-v65536,2,853663,62912663552,1532698,106724827136
r-base-v65536,3,854546,62977765376,1533551,106784223232
r-base-v65536,4,853958,62934413312,1532208,106690707456
r-base-v65536,5,855118,63019937792,1537968,107091787776
r-base-v65536,6,853606,62908461056,1534086,106821476352
r-base-v65536,7,855241,63029006336,1537243,107041304576
r-base-v65536,8,854602,62981894144,1527258,106346029056
r-base-v65536,9,852712,62842548224,1540444,107264196608
r-base-v65536,10,854236,62954909696,1532919,106740215808
r-base-v65536,11,853307,62886416384,1534099,106822381568
r-base-v65536,12,854211,62953066496,1534886,106877181952
r-base-v65536,13,853598,62907871232,1536858,107014496256
r-base-v65536,14,853891,62929473536,1535229,106901065728
r-base-v65536,15,855470,63045890048,1533610,106788331520
r-base-v65536,16,852863,62853681152,1530589,106577973248
r-base-v65536,17,852478,62825295872,1537467,107056902144
r-base-v65536,18,853716,62916571136,1537983,107092832256
r-base-v65536,19,853187,62877569024,1531105,106613903360
r-length-v65536,0,853698,62915244032,1531450,106637926400
r-length-v65536,1,853559,62904995840,1538653,107139485696
r-length-v65536,2,853663,62912663552,1532611,106718769152
r-length-v65536,3,854546,62977765376,1532652,106721624064
r-length-v65536,4,853958,62934413312,1533869,106806366208
r-length-v65536,5,855118,63019937792,1538035,107096453120
r-length-v65536,6,853606,62908461056,1540041,107236134912
r-length-v65536,7,855241,63029006336,1534220,106830807040
r-length-v65536,8,854602,62981894144,1524484,106152869888
r-length-v65536,9,852712,62842548224,1536296,106975363072
r-length-v65536,10,854236,62954909696,1528027,106399576064
r-length-v65536,11,853307,62886416384,1534813,106872098816
r-length-v65536,12,854211,62953066496,1531104,106613833728
r-length-v65536,13,853598,62907871232,1542735,107423723520
r-length-v65536,14,853891,62929473536,1533461,106777956352
r-length-v65536,15,855470,63045890048,1532477,106709438464
r-length-v65536,16,852863,62853681152,1531910,106669957120
r-length-v65536,17,852478,62825295872,1536180,106967285760
r-length-v65536,18,853716,62916571136,1539095,107170263040
r-length-v65536,19,853187,62877569024,1530689,106584936448
r-control-v65536,0,853698,62915244032,1521400,105938124800
r-control-v65536,1,853559,62904995840,1533891,106807898112
r-control-v65536,2,853663,62912663552,1537317,107046457344
r-control-v65536,3,854546,62977765376,1532612,106718838784
r-control-v65536,4,853958,62934413312,1533222,106761314304
r-control-v65536,5,855118,63019937792,1537963,107091439616
r-control-v65536,6,853606,62908461056,1538968,107161419776
r-control-v65536,7,855241,63029006336,1537669,107070967808
r-control-v65536,8,854602,62981894144,1535307,106906497024
r-control-v65536,9,852712,62842548224,1536157,106965684224
r-control-v65536,10,854236,62954909696,1526757,106311143424
r-control-v65536,11,853307,62886416384,1533237,106762358784
r-control-v65536,12,854211,62953066496,1529802,106523172864
r-control-v65536,13,853598,62907871232,1540773,107287105536
r-control-v65536,14,853891,62929473536,1535838,106943471616
r-control-v65536,15,855470,63045890048,1537319,107046596608
r-control-v65536,16,852863,62853681152,1509740,105126215680
r-control-v65536,17,852478,62825295872,1535922,106949320704
r-control-v65536,18,853716,62916571136,1537784,107078975488
r-control-v65536,19,853187,62877569024,1532745,106728099840
r-natural-v65536,0,853698,62915244032,1532784,106730815488
r-natural-v65536,1,853559,62904995840,1536080,106960322560
r-natural-v65536,2,853663,62912663552,1540084,107239129088
r-natural-v65536,3,854546,62977765376,1533090,106752122880
r-natural-v65536,4,853958,62934413312,1534156,106826350592
r-natural-v65536,5,855118,63019937792,1539349,107187949568
r-natural-v65536,6,853606,62908461056,1535740,106936647680
r-natural-v65536,7,855241,63029006336,1537543,107062194176
r-natural-v65536,8,854602,62981894144,1532495,106710691840
r-natural-v65536,9,852712,62842548224,1536184,106967564288
r-natural-v65536,10,854236,62954909696,1529775,106521292800
r-natural-v65536,11,853307,62886416384,1533328,106768695296
r-natural-v65536,12,854211,62953066496,1528722,106447970304
r-natural-v65536,13,853598,62907871232,1536833,107012755456
r-natural-v65536,14,853891,62929473536,1531227,106622398464
r-natural-v65536,15,855470,63045890048,1535271,106903990272
r-natural-v65536,16,852863,62853681152,1538258,107111981056
r-natural-v65536,17,852478,62825295872,1537348,107048615936
r-natural-v65536,18,853716,62916571136,1536807,107010945024
r-natural-v65536,19,853187,62877569024,1531322,106629013504
r-base-v100,0,838790,13086814208,3973228,16274354176
r-base-v100,1,838748,13086306304,4747458,19445592064
r-base-v100,2,838824,13087232000,4356933,17846001664
r-base-v100,3,838893,13088083968,4413760,18078769152
r-base-v100,4,838794,13086867456,4408942,18059034624
r-base-v100,5,838822,13087207424,4741820,19422498816
r-base-v100,6,838669,13085335552,4754451,19474243584
r-base-v100,7,838778,13086666752,4729371,19371507712
r-base-v100,8,838798,13086916608,4353616,17832419328
r-base-v100,9,838703,13085749248,4240545,17369280512
r-base-v100,10,838761,13086466048,4177024,17109090304
r-base-v100,11,838685,13085523968,4391897,17989222400
r-base-v100,12,838723,13085995008,3583080,14676295680
r-base-v100,13,838614,13084659712,4707074,19280195584
r-base-v100,14,838878,13087903744,3900352,15975845888
r-base-v100,15,838705,13085769728,4604414,18859683840
r-base-v100,16,838597,13084450816,4108764,16829509632
r-base-v100,17,838902,13088190464,4670884,19131949056
r-base-v100,18,838900,13088169984,3932877,16109064192
r-base-v100,19,838607,13084565504,4744956,19435339776
r-exact-index-v100,0,838790,13086814208,4445604,18209198080
r-exact-index-v100,1,838748,13086306304,4752082,19464536064
r-exact-index-v100,2,838824,13087232000,4446343,18212225024
r-exact-index-v100,3,838893,13088083968,4454212,18244456448
r-exact-index-v100,4,838794,13086867456,4384444,17958694912
r-exact-index-v100,5,838822,13087207424,4732559,19384565760
r-exact-index-v100,6,838669,13085335552,4750726,19458985984
r-exact-index-v100,7,838778,13086666752,4748897,19451490304
r-exact-index-v100,8,838798,13086916608,4405785,18046103552
r-exact-index-v100,9,838703,13085749248,4724107,19349942272
r-exact-index-v100,10,838761,13086466048,4404463,18040684544
r-exact-index-v100,11,838685,13085523968,4416706,18090831872
r-exact-index-v100,12,838723,13085995008,4313440,17667850240
r-exact-index-v100,13,838614,13084659712,4697129,19239448576
r-exact-index-v100,14,838878,13087903744,4717755,19323944960
r-exact-index-v100,15,838705,13085769728,4685046,19189964800
r-exact-index-v100,16,838597,13084450816,4706892,19279446016
r-exact-index-v100,17,838902,13088190464,4676808,19156217856
r-exact-index-v100,18,838900,13088169984,4735951,19398459392
r-exact-index-v100,19,838607,13084565504,4736791,19401900032
r-original-v4194304,0,443248,56432455680,984819,125292851200
r-original-v4194304,1,444898,56642580480,985347,125360025600
r-original-v4194304,2,435193,55406940160,985314,125355827200
r-original-v4194304,3,437569,55709519872,985314,125355827200
r-original-v4194304,4,440872,56129875968,985380,125364224000
r-original-v4194304,5,438001,55764258816,985380,125364224000
r-original-v4194304,6,438661,55848308736,985347,125360025600
r-original-v4194304,7,444502,56592150528,985380,125364224000
r-original-v4194304,8,439783,55991193600,984489,125250867200
r-original-v4194304,9,440608,56096256000,985248,125347430400
r-original-v4194304,10,437869,55747448832,985314,125355827200
r-original-v4194304,11,437305,55675899904,984885,125301248000
r-original-v4194304,12,440707,56108863488,985314,125355827200
r-original-v4194304,13,439057,55898738688,985281,125351628800
r-original-v4194304,14,440641,56100458496,985281,125351628800
r-original-v4194304,15,442126,56289570816,985347,125360025600
r-original-v4194304,16,439024,55894536192,985281,125351628800
r-original-v4194304,17,436282,55545622528,985347,125360025600
r-original-v4194304,18,436942,55629672448,985314,125355827200
r-original-v4194304,19,435754,55478382592,985050,125322240000
r-base-v4194304,0,443300,56432455680,984720,125280256000
r-base-v4194304,1,444950,56642580480,985149,125334835200
r-base-v4194304,2,435244,55406940160,985314,125355827200
r-base-v4194304,3,437620,55709519872,985446,125372620800
r-base-v4194304,4,440924,56129875968,985413,125368422400
r-base-v4194304,5,438053,55764258816,985248,125347430400
r-base-v4194304,6,438713,55848308736,985446,125372620800
r-base-v4194304,7,444554,56592150528,985347,125360025600
r-base-v4194304,8,439835,55991193600,984720,125280256000
r-base-v4194304,9,440660,56096256000,985380,125364224000
r-base-v4194304,10,437921,55747448832,985050,125322240000
