device,write_requests,write_bytes,read_1_requests,read_1_bytes,read_2_requests,read_2_bytes
0,838790,13086814208,4456975,18255777792,4455089,18248056832
1,838748,13086306304,4704741,19270623232,4745444,19437342720
2,838824,13087232000,4420392,18105925632,4425360,18126274560
3,838893,13088083968,4463860,18283974656,4465440,18290446336
4,838794,13086867456,4340931,17780465664,4388960,17977188352
5,838822,13087207424,4756401,19482218496,4753026,19468394496
6,838669,13085335552,4716198,19317551104,4763992,19513327616
7,838778,13086666752,4557307,18666729472,4765875,19521024000
8,838798,13086916608,3461411,14177951744,4352305,17827049472
9,838703,13085749248,4724155,19350147072,4720645,19335766016
10,838761,13086466048,4315801,17677520896,4309296,17650880512
11,838685,13085523968,4364975,17878949888,4359301,17855700992
12,838723,13085995008,4291551,17578192896,4287963,17563496448
13,838614,13084659712,4682589,19179892736,4710964,19296116736
14,838878,13087903744,4686496,19195895808,4716512,19318845440
15,838705,13085769728,4674094,19145105408,4669026,19124342784
16,838597,13084450816,3823398,15660654592,4665851,19111350272
17,838902,13088190464,3946612,16165326848,4674585,19147104256
18,838900,13088169984,4735970,19398537216,4735340,19395956736
19,838607,13084565504,3966578,16247103488,4730544,19376312320
