case,phase,variant,fsync,source_alignment,value_bytes,records_per_disk,verified_records,write_seconds,write_ops,write_gib,write_cpu_us,write_requests,write_bytes,read_seconds,read_ops,read_gib,read_p99_us,read_cpu_us,rss_mib,max_io_wq
r-base-v4096,ablation,base,True,natural,4096,13631488,272629760,10.62349195,25662913.9724627,97.89624775872306,0.7470492032858042,13066819,1170234011648,10.00025098,8346950.708231124,31.841090042995926,126.655,2.3959755558543145,78574.53125,20
r-exact-index-v4096,ablation,exact-index,True,natural,4096,13631488,272629760,10.419414475,26165554.758776404,99.81367019186555,0.733370223412147,13066819,1170234011648,10.000309212,8345846.536410078,31.836877961769403,126.719,2.39627860642916,78576.796875,20
r-base-v65536,ablation,base,True,page,65536,851968,17039360,18.888478517,902103.3634161821,55.06001973975721,20.01337473942683,17077660,1258577674240,10.000772207,3069072.7040574416,187.32133203475595,543.231,6.511667102215198,14591.40234375,20
r-length-v65536,ablation,length,True,page,65536,851968,17039360,18.984133203,897557.966845035,54.78259074981903,20.17270008967473,17077660,1258577674240,10.000586236,3068100.336913089,187.26198345416802,543.743,6.517951000694138,14588.16796875,20
r-control-v65536,ablation,control,True,page,65536,851968,17039360,18.696341236,911374.037567871,55.62585678514838,20.00918403038612,17077660,1258577674240,10.000621055,3066251.8688945565,187.14916191983377,545.791,6.522286592511461,14594.16796875,20
r-natural-v65536,ablation,natural,True,natural,65536,851968,17039360,24.351563803,699723.4402622154,42.70772950819186,24.303528947096602,17077660,1258577674240,10.000619026,3069449.5930896187,187.3443355157238,543.231,6.515484065295483,14580.90625,20
r-base-v100,ablation-small,base,True,natural,100,50331648,1006632960,15.884807682,63370799.329265684,5.901865598677256,0.3031535585721335,16775191,261728874496,10.000570842,8753648.204995137,0.8152470183554232,112.447,2.1757348879152523,272321.921875,20
r-exact-index-v100,ablation-small,exact-index,True,natural,100,50331648,1006632960,19.385396038,51927386.885816485,4.836114764755264,0.3586085428794225,16775191,261728874496,10.000317267,9193286.127369024,0.8561914905318081,112.383,2.1753899009806634,272402.42578125,20
r-original-v4194304,matrix,original,True,page,4194304,13312,266240,18.745310972,14203.018578762685,55.48054132329174,1341.3292255108174,8789042,1118982733824,10.008374937,59660.43476174778,233.04857328807728,20234.239,335.1644973070018,10384.00390625,0
r-base-v4194304,matrix,base,True,page,4194304,13312,266240,18.93657501,14059.56461817432,54.920174289743436,1348.1878117487981,8790076,1118982733824,10.007879589,59660.58990720337,233.04917932501317,20529.151,335.17699086883397,10391.16796875,20
r-cleanup-v4194304,matrix,cleanup,True,page,4194304,13312,266240,18.941754101,14055.720424854648,54.90515790958847,1354.9580115685094,8790076,1118982733824,10.007768345,59644.86581049054,232.98775707222867,20070.399,335.26400373924463,10391.16796875,20
r-cleanup-off-v4194304,matrix,cleanup,False,page,4194304,13312,266240,18.623731308,14295.738893399632,55.84273005234231,1346.4219200721154,8790076,1118982733824,10.008226203,59657.52450929091,233.03720511441762,20185.087,335.18640485306486,10389.66796875,0
r-original-v65536,matrix,original,True,page,65536,851968,17039360,19.357509886,880245.449975125,53.725918577583315,20.37272620567909,17060260,1258577674240,10.000560694,3069493.295352625,187.34700289017488,543.743,6.515462890515687,14373.7578125,0
r-cleanup-v65536,matrix,cleanup,True,page,65536,851968,17039360,19.695696299,865131.1302391036,52.803413710882786,20.76323248056265,17077660,1258577674240,10.001404795,3068309.865364269,187.27477205592461,543.231,6.517438047637063,14592.66796875,20
r-cleanup-off-v65536,matrix,cleanup,False,page,65536,851968,17039360,18.678664159,912236.5419151172,55.67849987274885,20.023268186129062,17077660,1258577674240,10.000522545,3071412.0049013896,187.46411162728208,542.207,6.511374906501475,14592.66796875,0
r-original-v4096,matrix,original,True,natural,4096,14680064,293601280,11.426496423,25694777.220515303,98.01779640394327,0.7451154879161289,13918026,1260198883328,10.000372256,8342871.331608958,31.825528456149893,126.783,2.39712710806413,76498.47265625,0
r-matrix-base-v4096,matrix,base,True,natural,4096,14680064,293601280,11.590461882,25331283.85987474,96.63117927503487,0.7588932343891689,14071141,1260198883328,10.000316373,8328133.520341377,31.769308167806155,126.911,2.401380709877302,80974.09765625,20
r-cleanup-v4096,matrix,cleanup,True,natural,4096,14680064,293601280,11.025460402,26629389.548824757,101.58305949716475,0.7199321985244752,14071141,1260198883328,10.000283879,8328048.084203791,31.76898225480572,126.847,2.4014164621777754,80971.34375,20
r-cleanup-off-v4096,matrix,cleanup,False,natural,4096,14680064,293601280,11.292506278,25999656.123458833,99.1808171213487,0.730015914780753,14071141,1260198883328,10.000291768,8313964.125131514,31.71525621464353,127.039,2.40547407848304,80979.71484375,0
r-original-v1024,matrix,original,True,natural,1024,33554432,671088640,14.878198289,45105504.50830868,43.01596117812031,0.42107913792133334,10840707,1034002186240,10.000311437,9271541.14990389,8.842030668167009,111.871,2.156947885767403,223739.60546875,0
r-base-v1024,matrix,base,True,natural,1024,33554432,671088640,14.878573642,45104366.5977239,43.01487598202124,0.4266594678163528,11192348,1034002186240,10.000401657,9233809.617573043,8.806047074864429,111.935,2.159866844708092,233277.33984375,20
r-cleanup-v1024,matrix,cleanup,True,natural,1024,33554432,671088640,14.811823432,45307631.64177044,43.208724633951604,0.4240956619381905,11192348,1034002186240,10.000300872,9261044.161112115,8.832019959556689,111.935,2.1594461646450753,233352.22265625,20
r-cleanup-off-v1024,matrix,cleanup,False,natural,1024,33554432,671088640,14.577452013,46036072.655326255,43.903420119596724,0.4230116039514541,11192348,1034002186240,10.000276908,9247931.217386246,8.819514481912847,111.999,2.1625121822521907,233408.1171875,0
r-original-v100,matrix,original,True,natural,100,50331648,1006632960,17.193711102,58546578.68962953,5.452575040015349,0.301971094806989,16249312,261401276416,10.000323316,9187172.864001831,0.8556221485139645,112.447,2.176788889398162,264833.16015625,0
r-cleanup-v100,matrix,cleanup,True,natural,100,50331648,1006632960,15.904375295,63292832.40168913,5.89460436270471,0.3001051078240077,16775191,261728874496,10.000579627,8554467.659957366,0.7966968845536342,112.511,2.1786247013210502,272324.3828125,20
r-cleanup-off-v100,matrix,cleanup,False,natural,100,50331648,1006632960,16.057131944,62690707.37605442,5.838527099793257,0.3038027425607045,16775191,261728874496,10.000559219,8440585.88640012,0.7860908178985231,112.639,2.1838269703137545,272325.375,0
r-confirm-base-v65536,confirmation,base,True,page,65536,851968,17039360,19.223008037,886404.4569509119,54.10183453069531,20.42951114361103,17077660,1258577674240,10.00056417,3070554.4685285487,187.41177176077568,542.719,6.513172431407709,14592.66796875,20
r-confirm-cleanup-v65536,confirmation,cleanup,True,page,65536,851968,17039360,19.138986221,890295.8496988617,54.33934629509654,20.408354949951168,17077660,1258577674240,10.000639422,3068474.894964571,187.28484466336494,543.743,6.517549469540739,14592.66796875,20
