case,group,variant,input_mode,fsync,value_bytes,devices,records_per_device,verified_records,instrumented,source_buffers_per_owner,source_payload_bytes_per_owner,write_seconds,write_ops,write_gib,write_cpu_us_per_record,read_ops,read_p99_us,peak_rss_mib,max_tasks,max_io_wq
faults-owned,faults,owned,owned,True,65536,20,8190,163800,True,0,0,0.337456528,485395.85519590246,29.62621186498428,35.970231990231994,3049772.921296694,557.567,10373.48046875,41,20
faults-pooled,faults,pooled,pooled,True,65536,20,8190,163800,True,64,4194304,0.300222666,545595.0484431445,33.300479030953646,30.709688644688644,3053497.0435577054,555.007,10380.66796875,41,20
owned-r1-v65536-baseline,owned,baseline,owned,True,65536,20,8190,163800,False,0,0,0.289612,565584.2989931357,34.520526061592754,29.72380341880342,3057602.298842073,556.031,10388.93359375,21,0
owned-r1-v65536-enabled,owned,enabled,owned,True,65536,20,8190,163800,False,0,0,0.327964621,499444.1153456,30.48364961826172,33.132496947496946,3055293.6966380295,554.495,10373.9609375,41,20
owned-r2-v65536-baseline,owned,baseline,owned,True,65536,20,8190,163800,False,0,0,0.287284947,570165.6202682976,34.80014772145371,29.541800976800978,3054778.312532724,555.519,10388.93359375,21,0
owned-r2-v65536-enabled,owned,enabled,owned,True,65536,20,8190,163800,False,0,0,0.341564395,479558.1811154526,29.26990851534745,36.20230769230769,3053641.0207811887,557.567,10374.34375,41,20
owned-r3-v65536-baseline,owned,baseline,owned,True,65536,20,8190,163800,False,0,0,0.275723441,594073.5376213442,36.259371192709,27.979023199023203,3056467.108938912,556.031,10387.43359375,21,0
owned-r3-v65536-enabled,owned,enabled,owned,True,65536,20,8190,163800,False,0,0,0.327115518,500740.53655870893,30.562776889569637,34.03077533577533,3055154.351820794,558.591,10378.39453125,41,20
pooled-r1-v100-baseline,pooled,baseline,pooled,True,100,20,131072,2621440,False,64,6400,0.057905135,45271287.25284899,4.216217180048021,0.24889030456542957,9996870.684727633,112.639,11315.85546875,21,0
pooled-r1-v100-disabled,pooled,disabled,pooled,False,100,20,131072,2621440,False,64,6400,0.033680187,77833297.06571998,7.24879066140577,0.2509590148925782,9987045.82525911,112.703,11283.66796875,21,0
pooled-r1-v100-enabled,pooled,enabled,pooled,True,100,20,131072,2621440,False,64,6400,0.051771299,50635005.31443107,4.715752351510439,0.2781902313232422,9996717.242886681,112.703,11283.66796875,41,20
pooled-r1-v1024-baseline,pooled,baseline,pooled,True,1024,20,131072,2621440,False,64,65536,0.064640468,40554161.82939764,38.67546256007923,0.4493885040283203,9930687.772884363,107.775,11316.08203125,21,0
pooled-r1-v1024-disabled,pooled,disabled,pooled,False,1024,20,131072,2621440,False,64,65536,0.061872054,42368724.33554573,40.405964217706426,0.46091957092285174,9932986.81423671,107.711,11283.66796875,21,0
pooled-r1-v1024-enabled,pooled,enabled,pooled,True,1024,20,131072,2621440,False,64,65536,0.084478025,31031028.483442884,29.593494876330265,0.48957557678222663,9914784.723044906,107.839,11283.66796875,41,20
pooled-r1-v4096-baseline,pooled,baseline,pooled,True,4096,20,130561,2611220,False,64,262144,0.133743965,19524021.13994452,74.47823005655106,0.9392142370233069,8675050.259901792,124.031,11319.5703125,21,0
pooled-r1-v4096-disabled,pooled,disabled,pooled,False,4096,20,130561,2611220,False,64,262144,0.122129221,21380796.32883272,81.56126529248321,0.8782630341372999,8664561.73328261,124.159,11283.66796875,21,0
pooled-r1-v4096-enabled,pooled,enabled,pooled,True,4096,20,130561,2611220,False,64,262144,0.125278707,20843286.64088144,79.51082855560853,0.9046824855814525,8672459.582030594,124.095,11283.66796875,41,20
pooled-r1-v4194304-baseline,pooled,baseline,pooled,True,4194304,20,2048,40960,False,1,4194304,4.267662048,9597.760914361887,37.49125357172612,1651.0001464843751,59544.35483651696,19136.511,10342.34765625,21,0
pooled-r1-v4194304-disabled,pooled,disabled,pooled,False,4194304,20,2048,40960,False,1,4194304,4.182698598,9792.720905012244,38.25281603520408,1694.3953613281246,59544.55297988474,19054.591,10338.66796875,21,0
pooled-r1-v4194304-enabled,pooled,enabled,pooled,True,4194304,20,2048,40960,False,1,4194304,4.132007941,9912.856070186337,38.72209402416538,1676.4229248046877,59561.148238801296,18792.447,10338.66796875,41,20
pooled-r1-v65536-baseline,pooled,baseline,pooled,True,65536,20,8190,163800,False,64,4194304,0.282820669,579165.5913238787,35.34946236107658,29.222289377289382,3062577.612172283,549.887,10382.93359375,21,0
pooled-r1-v65536-disabled,pooled,disabled,pooled,False,65536,20,8190,163800,False,64,4194304,0.286115512,572496.0483792294,34.942385765333825,28.9947557997558,3063258.828758483,550.911,10382.16796875,21,0
pooled-r1-v65536-enabled,pooled,enabled,pooled,True,65536,20,8190,163800,False,64,4194304,0.279634064,585765.5453593093,35.752291586871905,28.834615384615393,3063320.6322725997,551.423,10380.66796875,41,20
pooled-r2-v100-baseline,pooled,baseline,pooled,True,100,20,131072,2621440,False,64,6400,0.053276248,49204666.21448267,4.582541642196725,0.24961433410644537,9976914.00413928,112.831,11316.0859375,21,0
pooled-r2-v100-disabled,pooled,disabled,pooled,False,100,20,131072,2621440,False,64,6400,0.034171746,76713668.65480037,7.144517139978741,0.25163650512695324,9964595.758454897,112.831,11282.16796875,21,0
pooled-r2-v100-enabled,pooled,enabled,pooled,True,100,20,131072,2621440,False,64,6400,0.051319148,51081128.62668725,4.757300822687079,0.28327598571777357,9963451.163119975,112.831,11283.66796875,41,20
pooled-r2-v1024-baseline,pooled,baseline,pooled,True,1024,20,131072,2621440,False,64,65536,0.077369619,33882033.20479063,32.31242485503257,0.4537307739257812,9929498.377194706,107.711,11315.85546875,21,0
pooled-r2-v1024-disabled,pooled,disabled,pooled,False,1024,20,131072,2621440,False,64,65536,0.061245346,42802272.68207449,40.819428140711295,0.45652503967285146,9912211.217934614,107.775,11283.90234375,21,0
