group,value_bytes,variant,repetitions,median_write_ops,min_write_ops,max_write_ops,median_write_gib,min_write_gib,max_write_gib,median_write_seconds,min_write_seconds,max_write_seconds,median_write_cpu_us_per_record,min_write_cpu_us_per_record,max_write_cpu_us_per_record,median_read_ops,min_read_ops,max_read_ops,median_read_p99_us,min_read_p99_us,max_read_p99_us,median_peak_rss_mib,min_peak_rss_mib,max_peak_rss_mib
owned,65536,baseline,3,570165.6202682976,565584.2989931357,594073.5376213442,34.80014772145371,34.520526061592754,36.259371192709,0.287284947,0.275723441,0.289612,29.541800976800978,27.979023199023203,29.72380341880342,3056467.108938912,3054778.312532724,3057602.298842073,556.031,555.519,556.031,10388.93359375,10387.43359375,10388.93359375
owned,65536,enabled,3,499444.1153456,479558.1811154526,500740.53655870893,30.48364961826172,29.26990851534745,30.562776889569637,0.327964621,0.327115518,0.341564395,34.03077533577533,33.132496947496946,36.20230769230769,3055154.351820794,3053641.0207811887,3055293.6966380295,557.567,554.495,558.591,10374.34375,10373.9609375,10378.39453125
pooled,100,baseline,3,49204666.21448267,45271287.25284899,67436545.62016301,4.582541642196725,4.216217180048021,6.280517729014439,0.053276248,0.038872691,0.057905135,0.24889030456542957,0.24703636169433593,0.24961433410644537,9993404.293696383,9976914.00413928,9996870.684727633,112.639,112.639,112.831,11315.85546875,11315.33984375,11316.0859375
pooled,100,disabled,3,76713668.65480037,75465408.25733961,77833297.06571998,7.144517139978741,7.028263831263372,7.24879066140577,0.034171746,0.033680187,0.034736975,0.25163650512695324,0.2509590148925782,0.2569889068603516,9987045.82525911,9964595.758454897,9990248.32535695,112.703,112.639,112.831,11283.66796875,11282.16796875,11283.66796875
pooled,100,enabled,3,51081128.62668725,50635005.31443107,52390959.05809152,4.757300822687079,4.715752351510439,4.8792882876555925,0.051319148,0.050036114,0.051771299,0.2781902313232422,0.2773166656494141,0.28327598571777357,9986004.119856946,9963451.163119975,9996717.242886681,112.703,112.703,112.831,11283.66796875,11283.66796875,11283.66796875
pooled,1024,baseline,3,33882033.20479063,32989409.6600362,40554161.82939764,32.31242485503257,31.461152706180762,38.67546256007923,0.077369619,0.064640468,0.079463077,0.45253524780273446,0.4493885040283203,0.4537307739257812,9929498.377194706,9921301.588624725,9930687.772884363,107.775,107.711,107.775,11315.89453125,11315.85546875,11316.08203125
pooled,1024,disabled,3,42368724.33554573,41596596.91903624,42802272.68207449,40.405964217706426,39.66960613158821,40.819428140711295,0.061872054,0.061245346,0.06302054,0.46091957092285174,0.45652503967285146,0.470608139038086,9913100.15252653,9912211.217934614,9932986.81423671,107.775,107.711,107.775,11283.66796875,11283.66796875,11283.90234375
pooled,1024,enabled,3,37440120.32300388,31031028.483442884,37925500.14195443,35.705681155208474,29.593494876330265,36.16857542224353,0.070016869,0.069120776,0.084478025,0.4880290985107423,0.48599815368652366,0.48957557678222663,9907918.118706694,9907892.16825561,9914784.723044906,107.839,107.839,107.903,11283.66796875,11282.16796875,11283.90625
pooled,4096,baseline,3,19919523.209968742,19524021.13994452,19949740.668345727,75.98695072162148,74.47823005655106,76.1022211774663,0.131088479,0.130889922,0.133743965,0.9260701894133778,0.9224634462052221,0.9392142370233069,8671694.120700946,8662230.754954074,8675050.259901792,124.095,124.031,124.415,11319.01953125,11316.8984375,11319.5703125
pooled,4096,disabled,3,21025043.709444396,20898125.436019536,21380796.32883272,80.20417674806365,79.72002195747199,81.56126529248321,0.124195699,0.122129221,0.124949963,0.8793885616684921,0.8782630341372999,0.8980135721999679,8669722.744325228,8664561.73328261,8671523.593311073,124.095,124.031,124.159,11283.66796875,11283.66796875,11283.66796875
pooled,4096,enabled,3,20321666.828372832,18660240.44313158,20843286.64088144,77.52100688313611,71.18316819431908,79.51082855560853,0.128494381,0.125278707,0.13993496,0.9046824855814525,0.9030273205628021,1.009816101285989,8669346.00881797,8663989.019732237,8672459.582030594,124.095,124.095,124.159,11283.66796875,11283.66796875,11283.66796875
pooled,65536,baseline,3,576216.408140034,564270.0737537157,579165.5913238787,35.169458504640744,34.44031211875706,35.34946236107658,0.284268198,0.282820669,0.290286527,29.222289377289382,28.90655067155067,29.82167277167277,3060116.434782524,3058829.8884380353,3062577.612172283,553.983,549.887,555.007,10386.26171875,10382.93359375,10390.78515625
