case,group,variant,value_bytes,devices,records_per_device,verified_records,instrumented,write_seconds,write_ops_per_second,write_gib_per_second,cpu_cores
compare-r1-v100-baseline,compare,baseline,100,20,131072,2621440,False,0.043855972,59773843.34338776,5.566872967722617,16.456071250683948
compare-r1-v100-combined-prime,compare,combined-prime,100,20,131072,2621440,False,0.055539553,47199515.63167965,4.395797441869941,14.87134763220007
compare-r1-v100-combined,compare,combined,100,20,131072,2621440,False,0.061209706,42827194.75894885,3.988593328646277,13.00937468969382
compare-r1-v1024-baseline,compare,baseline,1024,20,131072,2621440,False,0.077734808,33722859.39138101,32.16062487733937,16.583909231498968
compare-r1-v1024-combined-prime,compare,combined-prime,1024,20,131072,2621440,False,0.074554913,35161197.22385029,33.53233072648076,18.2269544060765
compare-r1-v1024-combined,compare,combined,1024,20,131072,2621440,False,0.070571525,37145860.17519106,35.42505280989748,19.000000354250535
compare-r1-v4096-baseline,compare,baseline,4096,20,130561,2611220,False,0.150564977,17342811.40294665,66.15757523707066,17.050758092301905
compare-r1-v4096-combined-prime,compare,combined-prime,4096,20,130561,2611220,False,0.156556434,16679097.32793224,63.62570696995636,17.47904528791196
compare-r1-v4096-combined,compare,combined,4096,20,130561,2611220,False,0.138820558,18810038.207741536,71.75460131737341,19.09795665855197
compare-r1-v4194304-baseline,compare,baseline,4194304,20,2048,40960,False,4.15812557,9850.592366790885,38.47887643277689,16.003794950329024
compare-r1-v4194304-combined-prime,compare,combined-prime,4194304,20,2048,40960,False,4.144982274,9881.827542889028,38.60088883941027,16.37431562150029
compare-r1-v4194304-combined,compare,combined,4194304,20,2048,40960,False,4.119280997,9943.482862623465,38.84172993212291,16.262139448313047
compare-r1-v65536-baseline,compare,baseline,65536,20,8190,163800,False,0.268042601,611096.8905274875,37.298394197234344,17.097222541874977
compare-r1-v65536-combined-prime,compare,combined-prime,65536,20,8190,163800,False,0.275860251,593778.9130772596,36.241388737625705,16.283781312154318
compare-r1-v65536-combined,compare,combined,65536,20,8190,163800,False,0.313450221,522571.0145535358,31.89520352499608,16.36541516427899
compare-r2-v100-baseline,compare,baseline,100,20,131072,2621440,False,0.045581477,57511080.65234481,5.35613677020602,15.949965816158167
compare-r2-v100-combined-prime,compare,combined-prime,100,20,131072,2621440,False,0.046609956,56242061.2454558,5.237950128079932,17.28697190789024
compare-r2-v100-combined,compare,combined,100,20,131072,2621440,False,0.056100391,46727660.06211971,4.35185246748102,14.85335458713648
compare-r2-v1024-baseline,compare,baseline,1024,20,131072,2621440,False,0.067238954,38986924.157089055,37.18082824429422,19.147695248203892
compare-r2-v1024-combined-prime,compare,combined-prime,1024,20,131072,2621440,False,0.074663042,35110275.84437291,33.48376831471721,18.45622630805747
compare-r2-v1024-combined,compare,combined,1024,20,131072,2621440,False,0.074070934,35390940.25734845,33.751430756901215,18.09549208600502
compare-r2-v4096-baseline,compare,baseline,4096,20,130561,2611220,False,0.142330196,18346212.352577664,69.98524609595361,18.20117636878685
compare-r2-v4096-combined-prime,compare,combined-prime,4096,20,130561,2611220,False,0.141570012,18444725.426737975,70.36104365058127,18.73287260864257
compare-r2-v4096-combined,compare,combined,4096,20,130561,2611220,False,0.137577114,18980046.346952736,72.40313090115637,18.733530055006096
compare-r2-v4194304-baseline,compare,baseline,4194304,20,2048,40960,False,4.042346605,10132.728338865441,39.58097007369313,16.339273806531992
compare-r2-v4194304-combined-prime,compare,combined-prime,4194304,20,2048,40960,False,4.126697727,9925.611883809293,38.77192142113005,16.419694991631747
compare-r2-v4194304-combined,compare,combined,4194304,20,2048,40960,False,4.057760846,10094.237081610403,39.43061360004064,16.315933962757747
compare-r2-v65536-baseline,compare,baseline,65536,20,8190,163800,False,0.3067733,533944.7728990756,32.58940264276585,16.786216401492567
compare-r2-v65536-combined-prime,compare,combined-prime,65536,20,8190,163800,False,0.269031462,608850.7224482169,37.1612989775523,16.67767764649028
compare-r2-v65536-combined,compare,combined,65536,20,8190,163800,False,0.358882413,456416.9044416228,27.857477077735766,17.2638022248251
compare-r3-v100-baseline,compare,baseline,100,20,131072,2621440,False,0.043932401,59669855.05754625,5.55718830391264,16.530487373089397
compare-r3-v100-combined-prime,compare,combined-prime,100,20,131072,2621440,False,0.048142065,54452171.92075164,5.071253694663908,16.987555477730336
compare-r3-v100-combined,compare,combined,100,20,131072,2621440,False,0.059805896,43832467.62158701,4.082216659708601,13.56127161776826
