group,value_bytes,variant,n,median_ops,min_ops,max_ops,median_gib
compare,100,baseline,3,59669855.05754625,57511080.65234481,59773843.34338776,5.557188303912641
compare,100,combined,3,43832467.62158701,42827194.75894885,46727660.06211971,4.082216659708601
compare,100,combined-prime,3,54452171.92075164,47199515.63167965,56242061.2454558,5.071253694663908
compare,1024,baseline,3,33722859.39138101,30680423.093127687,38986924.157089055,32.16062487733937
compare,1024,combined,3,35390940.25734845,34309160.633839965,37145860.17519106,33.751430756901215
compare,1024,combined-prime,3,35110275.84437291,35009675.19158971,35161197.22385029,33.48376831471721
compare,4096,baseline,3,18346212.352577664,17342811.40294665,18813363.80404398,69.98524609595361
compare,4096,combined,3,18980046.346952736,18810038.207741536,20293580.705876704,72.40313090115637
compare,4096,combined-prime,3,17728290.18034052,16679097.32793224,18444725.426737975,67.62806007515152
compare,65536,baseline,3,576002.9977474696,533944.7728990756,611096.8905274875,35.156432967985204
compare,65536,combined,3,470350.56620373303,456416.9044416228,522571.0145535358,28.707920300520815
compare,65536,combined-prime,3,593778.9130772596,585734.81269016,608850.7224482169,36.241388737625705
compare,4194304,baseline,3,10132.728338865441,9850.592366790885,10317.958714515007,39.58097007369313
compare,4194304,combined,3,9999.274810894518,9943.482862623465,10094.237081610403,39.05966723005671
compare,4194304,combined-prime,3,9925.611883809293,9881.827542889028,10206.327218898285,38.77192142113005
retry,100,combined,3,45514267.0830335,44738063.01342113,48407111.072275385,4.238846440150729
retry,100,retry,3,42571107.55651775,41803516.583052404,47579690.18206241,3.9647433493768562
retry,1024,combined,3,33814597.291499056,30581849.600399297,34086850.49784129,32.248112956522995
retry,1024,retry,3,35633311.06704493,35330058.56244544,37259146.22823419,33.982573573155335
root,65536,baseline,3,569037.0396700525,554034.566811923,584157.6967582119,34.7312646282991
root,65536,candidate,3,492087.41166798136,482475.6706782958,499737.3267117344,30.034632059813315
root,65536,lazy,3,492607.847842085,471800.2050677575,498243.304524802,30.066396963017883
root,65536,prime,3,580856.2894766184,580591.1772187932,622928.2027861152,35.452654387000635
warm,100,baseline-warm,3,59951913.87401142,56406314.99233694,60114935.78355633,5.583457078226974
warm,100,combined-warm,3,58670520.85865886,51152283.51146892,63157823.726490855,5.46411805401173
warm,1024,baseline-warm,3,36891502.499827676,32712119.52182684,39047758.65427396,35.18247842772262
warm,1024,combined-warm,3,37852840.15284378,36572947.51206394,38832574.97595295,36.099281456798344
