case,suite,variant,value_bytes,records_per_disk,instrumentation,operations,seconds,ops_per_second,gib_per_second,cpu_us_per_op,max_tasks,max_io_wq
cause-r1-v100-baseline,cause,baseline,100,131072,none,2621440,0.051691119,50713547.13756535,4.72306712880408,0.27739295959472665,21,0
cause-r1-v100-candidate,cause,candidate,100,131072,none,2621440,0.05703932,45958472.15569891,4.280216261343929,0.31961860656738295,41,20
cause-r1-v100-index,cause,index,100,131072,none,2621440,0.057673887,45452806.050682865,4.233122435461997,0.3081127166748048,41,20
cause-r1-v100-sync,cause,sync,100,131072,none,2621440,0.043129124,60781202.04806386,5.660690557962643,0.29317703247070304,21,0
cause-r1-v65536-baseline,cause,baseline,65536,8190,none,163800,0.284247051,576259.2766529705,35.17207499102603,29.311489621489628,21,0
cause-r1-v65536-candidate,cause,candidate,65536,8190,none,163800,0.350065473,467912.46961964737,28.559110694558555,36.03572649572649,41,20
cause-r1-v65536-budget,cause,budget,65536,8190,none,163800,0.347494965,471373.7363072297,28.77036964765806,36.12962148962149,41,20
cause-r1-v65536-sync,cause,sync,65536,8190,none,163800,0.353242099,463704.6390101991,28.302285095837348,37.29275946275947,21,0
cause-r1-v4194304-baseline,cause,baseline,4194304,2048,none,40960,4.146590697,9877.994476193175,38.58591592262959,1663.552001953125,21,0
cause-r1-v4194304-candidate,cause,candidate,4194304,2048,none,40960,4.617042146,8871.480637335295,34.654221239590996,1856.1220947265622,41,20
cause-r1-v4194304-budget,cause,budget,4194304,2048,none,40960,4.162864831,9839.377847433163,38.43506971653579,1641.6420654296878,41,20
cause-r1-v4194304-sync,cause,sync,4194304,2048,none,40960,4.713528101,8689.88136324256,33.94484907516625,1910.4815673828125,21,0
cause-r2-v100-candidate,cause,candidate,100,131072,none,2621440,0.056320335,46545177.68759721,4.334857471994796,0.3239131927490234,41,20
cause-r2-v100-index,cause,index,100,131072,none,2621440,0.053242488,49235865.91220155,4.585447340477402,0.30528221130371097,41,20
cause-r2-v100-sync,cause,sync,100,131072,none,2621440,0.060953701,43007068.59457148,4.00534538501608,0.2905040740966797,21,0
cause-r2-v100-baseline,cause,baseline,100,131072,none,2621440,0.045443926,57685156.86782871,5.372348881124399,0.27611389160156263,21,0
cause-r2-v65536-candidate,cause,candidate,65536,8190,none,163800,0.352626603,464514.01739533537,28.351685632039512,37.44661782661783,41,20
cause-r2-v65536-budget,cause,budget,65536,8190,none,163800,0.348115824,470533.04879355326,28.719058153903397,36.53578754578754,41,20
cause-r2-v65536-sync,cause,sync,65536,8190,none,163800,0.343759004,476496.6098168006,29.08304503276371,36.186251526251525,21,0
cause-r2-v65536-baseline,cause,baseline,65536,8190,none,163800,0.274797735,596074.7820574285,36.381517459559845,27.715244200244204,21,0
cause-r2-v4194304-candidate,cause,candidate,4194304,2048,none,40960,4.730689917,8658.356543896047,33.82170524959393,1885.956982421875,41,20
cause-r2-v4194304-budget,cause,budget,4194304,2048,none,40960,4.133437718,9909.427163165012,38.70869985611333,1672.8061767578126,41,20
cause-r2-v4194304-sync,cause,sync,4194304,2048,none,40960,4.60188232,8900.705657331977,34.768381473953035,1841.490673828125,21,0
cause-r2-v4194304-baseline,cause,baseline,4194304,2048,none,40960,4.126298808,9926.571464138136,38.775669781789595,1672.4176269531247,21,0
cause-r3-v100-index,cause,index,100,131072,none,2621440,0.052867876,49584742.159870386,4.617938972997515,0.32119369506835943,41,20
cause-r3-v100-sync,cause,sync,100,131072,none,2621440,0.055653459,47102912.327515885,4.386800558074926,0.29239997863769523,21,0
cause-r3-v100-baseline,cause,baseline,100,131072,none,2621440,0.046472385,56408553.16549818,5.253455896442587,0.2775432586669922,21,0
cause-r3-v100-candidate,cause,candidate,100,131072,none,2621440,0.056547601,46358111.637662575,4.317435588469968,0.3184768676757813,41,20
cause-r3-v65536-budget,cause,budget,65536,8190,none,163800,0.356619983,459312.45529782894,28.03420747667413,37.50497557997558,41,20
cause-r3-v65536-sync,cause,sync,65536,8190,none,163800,0.343151367,477340.368572683,29.134543980266297,36.33699633699633,21,0
cause-r3-v65536-baseline,cause,baseline,65536,8190,none,163800,0.278980631,587137.5350068659,35.8360311893839,28.118547008547008,21,0
cause-r3-v65536-candidate,cause,candidate,65536,8190,none,163800,0.347251064,471704.8181600388,28.790577280275805,36.860128205128206,41,20
cause-r3-v4194304-budget,cause,budget,4194304,2048,none,40960,4.08340424,10030.846223542148,39.18299306071152,1654.9000976562497,41,20
cause-r3-v4194304-sync,cause,sync,4194304,2048,none,40960,4.557077918,8988.215856088858,35.1102181878471,1841.2295898437499,21,0
cause-r3-v4194304-baseline,cause,baseline,4194304,2048,none,40960,4.079860087,10039.559966900404,39.2170311207047,1620.9358154296876,21,0
cause-r3-v4194304-candidate,cause,candidate,4194304,2048,none,40960,4.547487727,9007.171092910572,35.18426208168192,1827.67529296875,41,20
profile-v100-baseline,profile,baseline,100,524288,perf,10485760,0.152528731,68746130.19628413,6.402482296925423,0.28244695663452146,2,0
profile-v100-candidate,profile,candidate,100,524288,perf,10485760,0.16488164,63595679.90711398,5.922809234551525,0.3093638420104981,2,0
profile-v65536-baseline,profile,baseline,65536,65536,perf,1310720,2.39821736,546539.2844958807,33.35811062596928,31.25756225585938,2,0
profile-v65536-candidate,profile,candidate,65536,65536,perf,1310720,2.381570878,550359.4338123243,33.59127403639675,31.83753662109375,2,0
profile-v4194304-baseline,profile,baseline,4194304,2048,perf,40960,4.255213027,9625.84005550423,37.6009377168134,1661.2328125,2,0
profile-v4194304-candidate,profile,candidate,4194304,2048,perf,40960,4.543989083,9014.106163511662,35.21135220121743,1874.78759765625,2,0
follow-r1-v100-baseline,follow,baseline,100,524288,none,10485760,0.170578515,61471750.99982551,5.725002940727911,0.27994794845581067,21,0
follow-r1-v100-candidate,follow,candidate,100,524288,none,10485760,0.177803029,58974023.44028684,5.492383934584152,0.3067980766296387,41,20
follow-r1-v100-index,follow,index,100,524288,none,10485760,0.174388698,60128667.28324332,5.599918522242766,0.30282754898071285,41,20
follow-r1-v65536-baseline,follow,baseline,65536,8190,none,163800,0.278247828,588683.8405078225,35.93041018724502,28.547936507936505,21,0
follow-r1-v65536-candidate,follow,candidate,65536,8190,none,163800,0.366644843,446753.86311106523,27.267691840274978,38.04631257631257,41,20
follow-r1-v65536-budget,follow,budget,65536,8190,none,163800,0.368338488,444699.65897237434,27.142313169700582,38.179981684981676,41,20
follow-r1-v65536-wide,follow,wide,65536,8190,none,163800,0.351211636,466385.4588234656,28.465909352018166,37.118327228327225,41,20
follow-r2-v100-candidate,follow,candidate,100,524288,none,10485760,0.167962559,62429151.24911856,5.814167787238821,0.3083816528320313,41,20
follow-r2-v100-index,follow,index,100,524288,none,10485760,0.170222223,61600417.47310514,5.736985939844059,0.3009025573730469,41,20
follow-r2-v100-baseline,follow,baseline,100,524288,none,10485760,0.172592794,60754332.536038555,5.658188139650837,0.28469591140747064,21,0
follow-r2-v65536-candidate,follow,candidate,65536,8190,none,163800,0.372489164,439744.33575737523,26.83986424300386,39.15086691086692,41,20
follow-r2-v65536-budget,follow,budget,65536,8190,none,163800,0.355203215,461144.4747199149,28.14602506835418,37.41275946275946,41,20
follow-r2-v65536-wide,follow,wide,65536,8190,none,163800,0.363978307,450026.8198675917,27.467457267309065,37.080128205128204,41,20
follow-r2-v65536-baseline,follow,baseline,65536,8190,none,163800,0.30184902,542655.3977216821,33.12105698984876,31.016965811965818,21,0
follow-r3-v100-index,follow,index,100,524288,none,10485760,0.185674269,56473953.318755224,5.2595467603537465,0.3029329299926758,41,20
follow-r3-v100-baseline,follow,baseline,100,524288,none,10485760,0.165355142,63413570.773626134,5.9058489998454355,0.2827530860900879,21,0
follow-r3-v100-candidate,follow,candidate,100,524288,none,10485760,0.187651889,55878787.34330247,5.204117609495527,0.30916299819946286,41,20
follow-r3-v65536-budget,follow,budget,65536,8190,none,163800,0.372337469,439923.4931685052,26.850799143585522,39.34532967032967,41,20
follow-r3-v65536-wide,follow,wide,65536,8190,none,163800,0.349873704,468168.9367543895,28.57476420620053,34.88054334554334,41,20
follow-r3-v65536-baseline,follow,baseline,65536,8190,none,163800,0.283656109,577459.8000989995,35.2453491271362,29.10702686202686,21,0
follow-r3-v65536-candidate,follow,candidate,65536,8190,none,163800,0.363531337,450580.1380198483,27.501229127188008,37.101892551892554,41,20
original-v65536-baseline,original,baseline,65536,8190,perf,163800,0.306328829,534719.5056198905,32.63668857543277,31.364102564102563,1,0
original-v65536-candidate,original,candidate,65536,8190,perf,163800,0.346467735,472771.295716757,28.85566990458722,36.82545787545787,1,0
allocator-r1-v65536-baseline,allocator,baseline,65536,8190,none,163800,0.2863899,571947.544239514,34.90890772946253,29.480665445665444,21,0
allocator-r1-v65536-candidate,allocator,candidate,65536,8190,none,163800,0.359370673,455796.79229974345,27.81962843626364,36.68065934065933,41,20
allocator-r1-v65536-notrim-baseline,allocator,notrim-baseline,65536,8190,none,163800,0.289001928,566778.2257840162,34.59339756982521,29.41937118437119,21,0
allocator-r1-v65536-notrim-candidate,allocator,notrim-candidate,65536,8190,none,163800,0.282773953,579261.273049431,35.35530231014594,29.061752136752137,41,20
allocator-r2-v65536-candidate,allocator,candidate,65536,8190,none,163800,0.350706106,467057.7363714334,28.506941917201747,36.89724053724054,41,20
allocator-r2-v65536-notrim-baseline,allocator,notrim-baseline,65536,8190,none,163800,0.29576931,553809.9946880898,33.80187955859923,29.953058608058612,21,0
allocator-r2-v65536-notrim-candidate,allocator,notrim-candidate,65536,8190,none,163800,0.327425198,500266.9342510408,30.533870498720752,33.95178876678876,41,20
allocator-r2-v65536-baseline,allocator,baseline,65536,8190,none,163800,0.27961843,585798.2966287308,35.754290565718435,28.664426129426122,21,0
