case,group,allocator,value_bytes,devices,records_per_device,verified_records,instrumented,write_seconds,write_ops,write_gib,write_cpu_us_per_record,read_ops,read_p99_us,peak_rss_mib,max_tasks,max_io_wq
compare-r1-v100-baseline,compare,baseline,100,20,131072,2621440,False,0.051472336,50929104.90792569,4.743142510571115,0.2805686950683593,10001926.224559482,112.639,11315.75390625,21,0
compare-r1-v100-jemalloc,compare,jemalloc,100,20,131072,2621440,False,0.063525779,41265767.08331274,3.8431740443513487,0.31274528503417975,9990417.242724692,112.703,11470.56640625,41,20
compare-r1-v100-system,compare,system,100,20,131072,2621440,False,0.05664111,46281578.87442531,4.310307919459912,0.31091651916503904,9986361.730046378,112.703,11283.66796875,41,20
compare-r1-v1024-baseline,compare,baseline,1024,20,131072,2621440,False,0.070029966,37433118.27396861,35.699003480881316,0.4883869171142579,9938008.696271796,107.647,11315.75390625,21,0
compare-r1-v1024-jemalloc,compare,jemalloc,1024,20,131072,2621440,False,0.096600562,27136902.16419238,25.879766620819453,0.5359607696533202,9922690.930072637,107.775,11454.90625,41,20
compare-r1-v1024-system,compare,system,1024,20,131072,2621440,False,0.073532864,35649910.22245509,33.99840376134404,0.5059909820556638,9923685.359632393,107.775,11283.66796875,41,20
compare-r1-v4096-baseline,compare,baseline,4096,20,130561,2611220,False,0.133616654,19542623.781014603,74.5491935005745,0.958657255995282,8678928.391507173,124.031,11326.625,21,0
compare-r1-v4096-jemalloc,compare,jemalloc,4096,20,130561,2611220,False,0.144235357,18103882.808706883,69.06083224756959,1.0481280780631277,8666331.779076315,124.095,11465.7109375,41,20
compare-r1-v4096-system,compare,system,4096,20,130561,2611220,False,0.136141672,19180166.966070462,73.16653047969994,0.9388220831641915,8666306.758920267,124.095,11283.66796875,41,20
compare-r1-v4194304-baseline,compare,baseline,4194304,20,2048,40960,False,4.018346671,10193.246962887539,39.81737094877945,1571.297973632813,59608.18109595133,18726.911,10340.46484375,21,0
compare-r1-v4194304-jemalloc,compare,jemalloc,4194304,20,2048,40960,False,4.191998944,9770.994827807857,38.16794854612444,1670.7887695312495,59590.386926819985,19103.743,10344.26953125,41,20
compare-r1-v4194304-system,compare,system,4194304,20,2048,40960,False,4.101029364,9987.73633750553,39.01459506838098,1638.783544921875,59582.351552546716,18366.463,10335.7421875,41,20
compare-r1-v65536-baseline,compare,baseline,65536,20,8190,163800,False,0.276795863,591771.85028954,36.11888734677368,28.45716727716728,3068670.413484942,546.815,10390.26171875,21,0
compare-r1-v65536-jemalloc,compare,jemalloc,65536,20,8190,163800,False,0.273930551,597961.7804660277,36.4966907022722,28.047948717948717,3066945.0665615313,547.327,10424.328125,41,20
compare-r1-v65536-system,compare,system,65536,20,8190,163800,False,0.364145274,449820.4746713258,27.45486295601354,37.18595238095238,3067419.462412396,548.351,10377.84375,41,20
compare-r2-v100-baseline,compare,baseline,100,20,131072,2621440,False,0.052083804,50331193.16707359,4.687457640382796,0.2775440216064453,10002933.591991372,112.639,11314.75,21,0
compare-r2-v100-jemalloc,compare,jemalloc,100,20,131072,2621440,False,0.056729108,46209787.04618447,4.303621784428551,0.31986351013183606,9982810.092859082,112.703,11485.34765625,41,20
compare-r2-v100-system,compare,system,100,20,131072,2621440,False,0.060120759,43602909.27132174,4.060837372329248,0.32408409118652337,9981329.66432526,112.703,11283.66796875,41,20
compare-r2-v1024-baseline,compare,baseline,1024,20,131072,2621440,False,0.071528585,36648844.65420363,34.9510618726765,0.49459838867187506,9934944.302922292,107.647,11315.75390625,21,0
compare-r2-v1024-jemalloc,compare,jemalloc,1024,20,131072,2621440,False,0.082849604,31640947.855345212,30.175159316392147,0.5505107879638671,9915746.78084366,107.775,11491.3828125,41,20
compare-r2-v1024-system,compare,system,1024,20,131072,2621440,False,0.083091099,31548986.973923646,30.08745858566632,0.5118171691894532,9915937.873375116,107.775,11283.66796875,41,20
compare-r2-v4096-baseline,compare,baseline,4096,20,130561,2611220,False,0.134166414,19462545.969217002,74.24372089087296,0.9598838856932776,8675889.331613604,124.031,11315.85546875,21,0
compare-r2-v4096-jemalloc,compare,jemalloc,4096,20,130561,2611220,False,0.16511193,15814847.540089926,60.3288556674573,1.083671234135768,8661339.781831412,124.159,11466.171875,41,20
compare-r2-v4096-system,compare,system,4096,20,130561,2611220,False,0.137382698,19006905.804106425,72.50559159891672,0.9988020925084826,8654277.308889301,124.287,11283.90234375,41,20
compare-r2-v4194304-baseline,compare,baseline,4194304,20,2048,40960,False,4.011596436,10210.398940537898,39.884370861476164,1606.09638671875,59595.55194940566,18628.607,10340.61328125,21,0
compare-r2-v4194304-jemalloc,compare,jemalloc,4194304,20,2048,40960,False,4.131804349,9913.344519789118,38.72400203042624,1605.3832031250001,59552.66004154297,18644.991,10345.328125,41,20
compare-r2-v4194304-system,compare,system,4194304,20,2048,40960,False,3.972962554,10309.68690071374,40.272214455913044,1594.3077392578127,59624.28111933018,19103.743,10342.49609375,41,20
compare-r2-v65536-baseline,compare,baseline,65536,20,8190,163800,False,0.283650294,577471.6383688994,35.24607167778927,28.96868131868132,3062840.19366957,552.447,10392.2578125,21,0
compare-r2-v65536-jemalloc,compare,jemalloc,65536,20,8190,163800,False,0.269935914,606810.6965566649,37.03678567850738,27.553412698412696,3063692.607493676,550.399,10424.328125,41,20
compare-r2-v65536-system,compare,system,65536,20,8190,163800,False,0.348571784,469917.55362505186,28.681491310122794,36.86352869352869,3058063.475146039,555.007,10371.8125,41,20
compare-r3-v100-baseline,compare,baseline,100,20,131072,2621440,False,0.043806313,59841603.195411585,5.5731835957068565,0.2771869659423829,9991721.333128793,112.639,11315.33203125,21,0
compare-r3-v100-jemalloc,compare,jemalloc,100,20,131072,2621440,False,0.046310722,56605466.00849799,5.27179483403433,0.3154125213623045,9985642.573563596,112.703,11467.37890625,41,20
compare-r3-v100-system,compare,system,100,20,131072,2621440,False,0.062438332,41984465.56836272,3.9101080566982476,0.3083698272705078,9979051.275767619,112.703,11283.66796875,41,20
compare-r3-v1024-baseline,compare,baseline,1024,20,131072,2621440,False,0.076171231,34415093.01589204,32.82079030598835,0.49397163391113275,9931969.584277144,107.647,11315.75390625,21,0
compare-r3-v1024-jemalloc,compare,jemalloc,1024,20,131072,2621440,False,0.090176954,29069955.057475105,27.72326951739798,0.5366600036621093,9921373.319045866,107.711,11486.890625,41,20
compare-r3-v1024-system,compare,system,1024,20,131072,2621440,False,0.07326853,35778525.92374925,34.12106125235486,0.5084716796874998,9913122.346536297,107.775,11283.66796875,41,20
