case,device,write_requests,write_bytes,write_seconds,read_requests,read_bytes,read_seconds
r1-v100-baseline,0,677088,10892251136,15.578707957,4390283,17982607360,10.00030251
r1-v100-baseline,1,677063,10891931648,15.578707957,4744669,19434164224,10.00030251
r1-v100-baseline,2,677088,10892210176,15.578707957,4370863,17903054848,10.00030251
r1-v100-baseline,3,677164,10892939264,15.578707957,4415437,18085629952,10.00030251
r1-v100-baseline,4,677121,10892533760,15.578707957,4374803,17919201280,10.00030251
r1-v100-baseline,5,677040,10891632640,15.578707957,4384267,17957957632,10.00030251
r1-v100-baseline,6,677014,10891325440,15.578707957,4335788,17759387648,10.00030251
r1-v100-baseline,7,677092,10892308480,15.578707957,4721349,19338657792,10.00030251
r1-v100-baseline,8,677052,10891771904,15.578707957,4423693,18119462912,10.00030251
r1-v100-baseline,9,677021,10891411456,15.578707957,4777293,19567796224,10.00030251
r1-v100-baseline,10,677035,10891571200,15.578707957,4411909,18071183360,10.00030251
r1-v100-baseline,11,677014,10891276288,15.578707957,4429993,18145255424,10.00030251
r1-v100-baseline,12,676986,10890977280,15.578707957,4398079,18014547968,10.00030251
r1-v100-baseline,13,676895,10889887744,15.578707957,4420214,18105204736,10.00030251
r1-v100-baseline,14,677132,10892783616,15.578707957,4364366,17876447232,10.00030251
r1-v100-baseline,15,677025,10891440128,15.578707957,4392671,17992384512,10.00030251
r1-v100-baseline,16,676965,10890756096,15.578707957,4323466,17708929024,10.00030251
r1-v100-baseline,17,677152,10893029376,15.578707957,4721822,19340587008,10.00030251
r1-v100-baseline,18,677131,10892763136,15.578707957,4340421,17778376704,10.00030251
r1-v100-baseline,19,676873,10889609216,15.578707957,4346426,17802969088,10.00030251
r1-v100-disabled,0,699523,10939457536,14.220354233,4378650,17934958592,10.000341558
r1-v100-disabled,1,699497,10939138048,14.220354233,4721241,19338207232,10.000341558
r1-v100-disabled,2,699519,10939416576,14.220354233,4386687,17967878144,10.000341558
r1-v100-disabled,3,699579,10940145664,14.220354233,4404013,18038841344,10.000341558
r1-v100-disabled,4,699546,10939740160,14.220354233,4358190,17851158528,10.000341558
r1-v100-disabled,5,699472,10938839040,14.220354233,4391673,17988292608,10.000341558
r1-v100-disabled,6,699447,10938531840,14.220354233,4337317,17765654528,10.000341558
r1-v100-disabled,7,699527,10939514880,14.220354233,4710948,19296051200,10.000341558
r1-v100-disabled,8,699484,10938978304,14.220354233,4420306,18105589760,10.000341558
r1-v100-disabled,9,699454,10938617856,14.220354233,4737107,19403194368,10.000341558
r1-v100-disabled,10,699467,10938777600,14.220354233,4395398,18003550208,10.000341558
r1-v100-disabled,11,699443,10938482688,14.220354233,4459863,18267607040,10.000341558
r1-v100-disabled,12,699419,10938183680,14.220354233,4380407,17942151168,10.000341558
r1-v100-disabled,13,699330,10937094144,14.220354233,4406663,18049699840,10.000341558
r1-v100-disabled,14,699566,10939990016,14.220354233,4339429,17774301184,10.000341558
r1-v100-disabled,15,699457,10938646528,14.220354233,4395501,18003984384,10.000341558
r1-v100-disabled,16,699401,10937962496,14.220354233,4334618,17754603520,10.000341558
r1-v100-disabled,17,699586,10940235776,14.220354233,4578236,18752454656,10.000341558
r1-v100-disabled,18,699564,10939969536,14.220354233,4322346,17704341504,10.000341558
r1-v100-disabled,19,699308,10936815616,14.220354233,4341837,17784172544,10.000341558
r1-v100-enabled,0,699523,10939457536,14.413371594000001,4391236,17986502656,10.000345768
r1-v100-enabled,1,699497,10939138048,14.413371594000001,4738000,19406856192,10.000345768
r1-v100-enabled,2,699519,10939416576,14.413371594000001,4375347,17921421312,10.000345768
r1-v100-enabled,3,699579,10940145664,14.413371594000001,4382825,17952055296,10.000345768
r1-v100-enabled,4,699546,10939740160,14.413371594000001,4360290,17859760128,10.000345768
