case,group,repetition,variant,value_bytes,devices,segment_bytes,records_per_device,verified_records,fsync,input_mode,source_buffers_per_owner,write_seconds,write_ops,write_gib,write_cpu_cores,write_cpu_us_per_record,write_physical_gib,read_seconds,read_ops,read_gib,read_p50_us,read_p99_us,read_p999_us,read_cpu_cores,peak_rss_mib,max_tasks,max_io_wq
r1-v100-baseline,main,1,baseline,100,20,1073741824,41943040,838860800,True,pooled,64,15.578707957,53846622.08929038,5.014857471854461,17.1872623672677,0.31918923974037167,202.87410354614258,10.00030251,8908514.808518529,0.8296700947469592,68.671,114.687,142.207,19.9993541995361,250252.390625,21,0
r1-v100-disabled,main,1,disabled,100,20,1073741824,41943040,838860800,False,pooled,64,14.220354233,58990147.942540355,5.493885645879466,18.98075410622579,0.3217614257335663,203.75339126586914,10.000341558,8879742.905277275,0.8269905024466361,68.799,114.751,142.207,19.971574254904077,252770.82421875,21,0
r1-v100-enabled,main,1,enabled,100,20,1073741824,41943040,838860800,True,pooled,64,14.413371594000001,58200178.53069167,5.4203140112284265,18.764775766454857,0.32241783857345585,203.75339126586914,10.000345768,8871314.858320406,0.826205579407551,68.799,114.815,142.207,19.968486453637592,252779.9375,41,20
r1-v1024-baseline,main,1,baseline,1024,20,1073741824,25165824,503316480,True,pooled,64,14.220807861,35392959.73334436,33.753356679291116,18.857900944956732,0.5328150312105815,722.2422103881836,10.000246209,9047961.831036555,8.628808814083628,67.583,113.663,141.439,19.999296499320817,134328.87890625,21,0
r1-v1024-disabled,main,1,disabled,1024,20,1073741824,25165824,503316480,False,pooled,64,13.438968464,37452017.34405975,35.7170270386312,19.163042140464096,0.5116691569487255,722.2422103881836,10.000267092,9051305.746864546,8.631997820725008,67.583,113.599,141.311,19.999210237093944,141340.078125,21,0
r1-v1024-enabled,main,1,enabled,1024,20,1073741824,25165824,503316480,True,pooled,64,13.544028354,37161505.19216493,35.4399730607652,19.0336950176175,0.5121884842713673,722.2422103881836,10.000277186,9022387.212057823,8.604418956811736,67.775,113.791,141.439,19.99916205122679,141331.7578125,41,20
r1-v4096-baseline,main,1,baseline,4096,20,1073741824,10485760,209715200,True,pooled,64,14.020051188,14958233.546215495,57.061132607328396,18.936791488125344,1.2659777927398683,838.1848373413086,10.000305232,8086165.884341478,30.846274888387597,75.199,129.471,162.047,19.99904246522702,68176.7265625,21,0
r1-v4096-disabled,main,1,disabled,4096,20,1073741824,10485760,209715200,False,pooled,64,10.805673469,19407878.70387202,74.03518182324227,18.8952655830063,0.9735873699188231,838.1848373413086,10.000326283,8072773.799114651,30.795188137491802,75.327,129.535,162.047,19.99905396486752,71379.01171875,21,0
r1-v4096-enabled,main,1,enabled,4096,20,1073741824,10485760,209715200,True,pooled,64,11.167411566,18779212.959115185,71.63701232572626,18.941145559996997,1.0086229705810548,838.1848373413086,10.000256283,8068367.421459212,30.778379140698288,75.391,129.599,162.047,19.999190954734445,71380.515625,41,20
r1-v4194304-baseline,main,1,baseline,4194304,20,1073741824,8192,163840,True,pooled,1,16.461105229,9953.159142155193,38.87952789904372,16.432634336329592,1650.996844482422,641.3129577636719,10.008346041,59660.307262951086,233.04807524590268,10264.575,19054.591,24887.295,19.994152698182074,10362.89453125,21,0
r1-v4194304-disabled,main,1,disabled,4194304,20,1073741824,8192,163840,False,pooled,1,16.362027471,10013.428976964464,39.11495694126744,16.818276126704347,1679.572119140625,641.3129577636719,10.008200621,59655.179048593534,233.0280431585685,10264.575,19120.127,25100.287,19.99599444280564,10380.66796875,21,0
r1-v4194304-enabled,main,1,enabled,4194304,20,1073741824,8192,163840,True,pooled,1,16.519133133,9918.195990121269,38.742953086411205,16.53069049092456,1666.7033508300776,641.3129577636719,10.007432632,59658.757840739265,233.04202281538775,10264.575,19202.047,26083.327,19.996934414536863,10380.66796875,41,20
r1-v65536-baseline,main,1,baseline,65536,20,1073741824,524288,10485760,True,pooled,64,17.568457921,596851.4736553013,36.42892295259407,16.91319279905739,28.337356185913084,721.3294219970703,10.000601093,3061042.2028959133,186.83118914159627,184.575,541.183,786.431,19.994915019654613,13714.43359375,21,0
r1-v65536-disabled,main,1,disabled,65536,20,1073741824,524288,10485760,False,pooled,64,17.814230454,588617.0624701631,35.926334379282416,16.9621974286378,28.817033195495608,721.3294219970703,10.000585697,3060703.6355062793,186.8105246280688,184.703,540.159,781.311,19.998695882381774,13836.65234375,21,0
r1-v65536-enabled,main,1,enabled,65536,20,1073741824,524288,10485760,True,pooled,64,18.311554357,572630.7988699815,34.95061028259165,17.08257075841418,29.83173589706421,721.3294219970703,10.000584954,3063018.8274884783,186.95183273245107,184.575,540.159,786.943,19.998728366384718,13836.65234375,41,20
