value_bytes,variant,repetitions,median_write_ops,min_write_ops,max_write_ops,cv_percent_write_ops,median_write_gib,min_write_gib,max_write_gib,cv_percent_write_gib,median_write_seconds,min_write_seconds,max_write_seconds,cv_percent_write_seconds,median_write_cpu_us_per_record,min_write_cpu_us_per_record,max_write_cpu_us_per_record,cv_percent_write_cpu_us_per_record,median_write_physical_gib,min_write_physical_gib,max_write_physical_gib,cv_percent_write_physical_gib,median_read_ops,min_read_ops,max_read_ops,cv_percent_read_ops,median_read_gib,min_read_gib,max_read_gib,cv_percent_read_gib,median_read_p99_us,min_read_p99_us,max_read_p99_us,cv_percent_read_p99_us,median_peak_rss_mib,min_peak_rss_mib,max_peak_rss_mib,cv_percent_peak_rss_mib
100,baseline,1,53846622.08929038,53846622.08929038,53846622.08929038,,5.014857471854461,5.014857471854461,5.014857471854461,,15.578707957,15.578707957,15.578707957,,0.31918923974037167,0.31918923974037167,0.31918923974037167,,202.87410354614258,202.87410354614258,202.87410354614258,,8908514.808518529,8908514.808518529,8908514.808518529,,0.8296700947469592,0.8296700947469592,0.8296700947469592,,114.687,114.687,114.687,,250252.390625,250252.390625,250252.390625,
100,disabled,1,58990147.942540355,58990147.942540355,58990147.942540355,,5.493885645879466,5.493885645879466,5.493885645879466,,14.220354233,14.220354233,14.220354233,,0.3217614257335663,0.3217614257335663,0.3217614257335663,,203.75339126586914,203.75339126586914,203.75339126586914,,8879742.905277275,8879742.905277275,8879742.905277275,,0.8269905024466361,0.8269905024466361,0.8269905024466361,,114.751,114.751,114.751,,252770.82421875,252770.82421875,252770.82421875,
100,enabled,1,58200178.53069167,58200178.53069167,58200178.53069167,,5.4203140112284265,5.4203140112284265,5.4203140112284265,,14.413371594000001,14.413371594000001,14.413371594000001,,0.32241783857345585,0.32241783857345585,0.32241783857345585,,203.75339126586914,203.75339126586914,203.75339126586914,,8871314.858320406,8871314.858320406,8871314.858320406,,0.826205579407551,0.826205579407551,0.826205579407551,,114.815,114.815,114.815,,252779.9375,252779.9375,252779.9375,
1024,baseline,1,35392959.73334436,35392959.73334436,35392959.73334436,,33.753356679291116,33.753356679291116,33.753356679291116,,14.220807861,14.220807861,14.220807861,,0.5328150312105815,0.5328150312105815,0.5328150312105815,,722.2422103881836,722.2422103881836,722.2422103881836,,9047961.831036555,9047961.831036555,9047961.831036555,,8.628808814083628,8.628808814083628,8.628808814083628,,113.663,113.663,113.663,,134328.87890625,134328.87890625,134328.87890625,
1024,disabled,1,37452017.34405975,37452017.34405975,37452017.34405975,,35.7170270386312,35.7170270386312,35.7170270386312,,13.438968464,13.438968464,13.438968464,,0.5116691569487255,0.5116691569487255,0.5116691569487255,,722.2422103881836,722.2422103881836,722.2422103881836,,9051305.746864546,9051305.746864546,9051305.746864546,,8.631997820725008,8.631997820725008,8.631997820725008,,113.599,113.599,113.599,,141340.078125,141340.078125,141340.078125,
1024,enabled,1,37161505.19216493,37161505.19216493,37161505.19216493,,35.4399730607652,35.4399730607652,35.4399730607652,,13.544028354,13.544028354,13.544028354,,0.5121884842713673,0.5121884842713673,0.5121884842713673,,722.2422103881836,722.2422103881836,722.2422103881836,,9022387.212057823,9022387.212057823,9022387.212057823,,8.604418956811736,8.604418956811736,8.604418956811736,,113.791,113.791,113.791,,141331.7578125,141331.7578125,141331.7578125,
4096,baseline,1,14958233.546215495,14958233.546215495,14958233.546215495,,57.061132607328396,57.061132607328396,57.061132607328396,,14.020051188,14.020051188,14.020051188,,1.2659777927398683,1.2659777927398683,1.2659777927398683,,838.1848373413086,838.1848373413086,838.1848373413086,,8086165.884341478,8086165.884341478,8086165.884341478,,30.846274888387597,30.846274888387597,30.846274888387597,,129.471,129.471,129.471,,68176.7265625,68176.7265625,68176.7265625,
4096,disabled,1,19407878.70387202,19407878.70387202,19407878.70387202,,74.03518182324227,74.03518182324227,74.03518182324227,,10.805673469,10.805673469,10.805673469,,0.9735873699188231,0.9735873699188231,0.9735873699188231,,838.1848373413086,838.1848373413086,838.1848373413086,,8072773.799114651,8072773.799114651,8072773.799114651,,30.795188137491802,30.795188137491802,30.795188137491802,,129.535,129.535,129.535,,71379.01171875,71379.01171875,71379.01171875,
4096,enabled,1,18779212.959115185,18779212.959115185,18779212.959115185,,71.63701232572626,71.63701232572626,71.63701232572626,,11.167411566,11.167411566,11.167411566,,1.0086229705810548,1.0086229705810548,1.0086229705810548,,838.1848373413086,838.1848373413086,838.1848373413086,,8068367.421459212,8068367.421459212,8068367.421459212,,30.778379140698288,30.778379140698288,30.778379140698288,,129.599,129.599,129.599,,71380.515625,71380.515625,71380.515625,
65536,baseline,1,596851.4736553013,596851.4736553013,596851.4736553013,,36.42892295259407,36.42892295259407,36.42892295259407,,17.568457921,17.568457921,17.568457921,,28.337356185913084,28.337356185913084,28.337356185913084,,721.3294219970703,721.3294219970703,721.3294219970703,,3061042.2028959133,3061042.2028959133,3061042.2028959133,,186.83118914159627,186.83118914159627,186.83118914159627,,541.183,541.183,541.183,,13714.43359375,13714.43359375,13714.43359375,
