case,group,variant,value_bytes,devices,records_per_device,verified_records,instrumented,write_seconds,write_ops,write_gib,write_cpu_us_per_record,read_ops,read_p99_us,peak_rss_mib,max_tasks,max_io_wq
compare-r1-v100-baseline,compare,baseline,100,20,131072,2621440,False,0.048016104,54595016.70522873,5.084557151908868,0.27945518493652344,9987901.951415237,112.703,11315.85546875,21,0
compare-r1-v100-disabled,compare,disabled,100,20,131072,2621440,False,0.038039036,68914469.8619597,6.418160150010111,0.28548851013183596,9979145.864983542,112.767,11283.66796875,21,0
compare-r1-v100-enabled,compare,enabled,100,20,131072,2621440,False,0.053805766,48720428.95923088,4.537443533468142,0.3125408172607422,9956285.436536793,112.895,11283.66796875,41,20
compare-r1-v1024-baseline,compare,baseline,1024,20,131072,2621440,False,0.073220631,35801931.28901061,34.14338234807072,0.4923801422119139,9907000.759954989,107.839,11315.87890625,21,0
compare-r1-v1024-disabled,compare,disabled,1024,20,131072,2621440,False,0.064858292,40417962.28614839,38.54557255377616,0.4883773803710938,9892844.204616567,107.967,11283.66796875,21,0
compare-r1-v1024-enabled,compare,enabled,1024,20,131072,2621440,False,0.078616191,33344785.1728151,31.8000652053977,0.5095676422119139,9903226.919869386,107.903,11283.66796875,41,20
compare-r1-v4096-baseline,compare,baseline,4096,20,130561,2611220,False,0.138422085,18864186.303796824,71.96115991133432,0.9554208377693184,8663502.033968875,124.095,11320.5625,21,0
compare-r1-v4096-disabled,compare,disabled,4096,20,130561,2611220,False,0.127543457,20473178.800540116,78.0989791890721,0.9259185361631727,8657567.679172497,124.159,11283.66796875,21,0
compare-r1-v4096-enabled,compare,enabled,4096,20,130561,2611220,False,0.131257161,19893924.11131001,75.88929790996555,0.9505621893214667,8658079.280247,124.159,11283.66796875,41,20
compare-r1-v4194304-baseline,compare,baseline,4194304,20,2048,40960,False,4.113355983,9957.80578420217,38.897678844539726,1636.5717529296876,59574.0716880526,18612.223,10338.55859375,22,1
compare-r1-v4194304-disabled,compare,disabled,4194304,20,2048,40960,False,4.022138149,10183.638274628544,39.77983701026775,1613.4190673828125,59566.79948000592,18563.071,10343.71484375,21,0
compare-r1-v4194304-enabled,compare,enabled,4194304,20,2048,40960,False,4.141732118,9889.582144143877,38.63118025056202,1647.2150390625002,59582.92861276295,19169.279,10342.49609375,41,20
compare-r1-v65536-baseline,compare,baseline,65536,20,8190,163800,False,0.262845645,623179.4329329671,38.03585406085004,27.035073260073254,3037365.9556480343,569.855,10386.80078125,21,0
compare-r1-v65536-disabled,compare,disabled,65536,20,8190,163800,False,0.346605082,472583.95363054716,28.8442354510832,36.81928571428571,3041327.6365233064,567.807,10375.10546875,21,0
compare-r1-v65536-enabled,compare,enabled,65536,20,8190,163800,False,0.355461332,460809.6162763493,28.125586930929522,37.34688034188033,3041917.9264065498,568.319,10374.6328125,41,20
compare-r2-v100-baseline,compare,baseline,100,20,131072,2621440,False,0.04176925,62760044.769776806,5.844984647797124,0.27727317810058605,10017774.64730716,112.511,11315.984375,21,0
compare-r2-v100-disabled,compare,disabled,100,20,131072,2621440,False,0.037854681,69250088.25196545,6.449417048316957,0.2846538543701172,9988675.59275046,112.703,11283.90234375,21,0
compare-r2-v100-enabled,compare,enabled,100,20,131072,2621440,False,0.063093947,41548201.1293413,3.8694777646419873,0.31614379882812493,9993829.192171277,112.575,11283.66796875,41,20
compare-r2-v1024-baseline,compare,baseline,1024,20,131072,2621440,False,0.067442638,38869179.464777164,37.06853815534321,0.4929595947265625,9943945.1647404,107.647,11316.08984375,21,0
compare-r2-v1024-disabled,compare,disabled,1024,20,131072,2621440,False,0.065279533,40157150.02127849,38.296842595365995,0.49074859619140637,9922133.680053255,107.775,11283.90625,21,0
compare-r2-v1024-enabled,compare,enabled,1024,20,131072,2621440,False,0.070898438,36974580.45549607,35.26170774030311,0.5149223327636717,9920310.847786857,107.775,11283.90625,41,20
compare-r2-v4096-baseline,compare,baseline,4096,20,130561,2611220,False,0.141005423,18518578.53722406,70.64277090921044,0.9600301774649398,8676600.456312513,123.967,11316.8984375,21,0
compare-r2-v4096-disabled,compare,disabled,4096,20,130561,2611220,False,0.132419097,19719361.173411414,75.22339314808431,0.9429220823982659,8663055.501185935,124.095,11283.66796875,21,0
compare-r2-v4096-enabled,compare,enabled,4096,20,130561,2611220,False,0.139078411,18775164.176990774,71.62156744762716,0.9512396504315991,8667850.459774096,124.095,11283.90234375,41,20
compare-r2-v4194304-baseline,compare,baseline,4194304,20,2048,40960,False,4.084129092,10029.065947066298,39.176038855727725,1628.0605712890622,59560.33998540844,18857.983,10336.421875,21,0
compare-r2-v4194304-disabled,compare,disabled,4194304,20,2048,40960,False,4.096737587,9998.19957469978,39.055467088671016,1618.0317626953126,59559.10818526639,18497.535,10342.49609375,21,0
compare-r2-v4194304-enabled,compare,enabled,4194304,20,2048,40960,False,4.076246592,10048.459796418518,39.251796079759835,1657.0240478515623,59568.0809430495,18956.287,10340.19921875,41,20
compare-r2-v65536-baseline,compare,baseline,65536,20,8190,163800,False,0.271262063,603844.1136532977,36.85571982747178,27.93605006105006,3067068.4034355967,550.399,10399.53515625,21,0
compare-r2-v65536-disabled,compare,disabled,65536,20,8190,163800,False,0.355257075,461074.5612877661,28.141757891099004,37.43884615384615,3068799.242135524,548.351,10373.55078125,21,0
compare-r2-v65536-enabled,compare,enabled,65536,20,8190,163800,False,0.350410233,467452.1020623276,28.531012088765113,36.49067765567765,3069696.457016592,548.863,10374.546875,41,20
compare-r3-v100-baseline,compare,baseline,100,20,131072,2621440,False,0.044643122,58719907.62653203,5.468717555192488,0.27688446044921866,9988356.78659468,112.703,11315.85546875,21,0
compare-r3-v100-disabled,compare,disabled,100,20,131072,2621440,False,0.039666393,66087178.63507277,6.154848135548901,0.29271507263183605,9982167.854353162,112.639,11283.66796875,21,0
compare-r3-v100-enabled,compare,enabled,100,20,131072,2621440,False,0.050657829,51747973.644902945,4.819405604610494,0.3107700347900391,9973788.405554587,112.767,11283.66796875,41,20
compare-r3-v1024-baseline,compare,baseline,1024,20,131072,2621440,False,0.069942657,37479845.81140519,35.743566333203496,0.48587265014648434,9918244.018888798,107.775,11315.90234375,21,0
compare-r3-v1024-disabled,compare,disabled,1024,20,131072,2621440,False,0.065316091,40134673.70544266,38.275407510225925,0.48861351013183607,9910867.007138632,107.839,11283.90234375,21,0
compare-r3-v1024-enabled,compare,enabled,1024,20,131072,2621440,False,0.070137553,37375698.00874005,35.64424324869161,0.5089397430419923,9904125.807263326,107.903,11283.66796875,41,20
compare-r3-v4096-baseline,compare,baseline,4096,20,130561,2611220,False,0.134869186,19361131.16305158,73.85685410709984,0.9872546166159878,8668924.431892617,124.031,11317.12890625,21,0
compare-r3-v4096-disabled,compare,disabled,4096,20,130561,2611220,False,0.128627154,20300690.163758114,77.44098725798841,0.935574941981143,8656918.43274933,124.287,11283.90234375,21,0
compare-r3-v4096-enabled,compare,enabled,4096,20,130561,2611220,False,0.131093984,19918686.733938914,75.98375981879774,0.9696199477638804,8665420.475158084,124.095,11283.66796875,41,20
