case,elapsed_ns,first_accept_ns,poll_ns,polls,put_calls,put_ns,records,rejections,other_ns
timing-v100-baseline,34988828,117237,13952776,8496,2044,9502892,130813,0,11533160
timing-v100-baseline,35014657,117167,13543145,11144,2044,9839652,130777,0,11631860
timing-v100-baseline,35139715,119487,14207003,7475,2045,9543439,130865,0,11389273
timing-v100-baseline,35830261,121757,14873635,7285,2044,9534914,130802,0,11421712
timing-v100-baseline,37617984,87978,16189530,5159,2056,10907880,131539,0,10520574
timing-v100-baseline,37654124,116098,16145649,5739,2055,10835704,131476,0,10672771
timing-v100-baseline,37692033,62599,16035964,5306,2045,10958391,130855,0,10697678
timing-v100-baseline,37751832,59749,15934081,5066,2054,10881163,131406,0,10936588
timing-v100-baseline,37799891,114448,16395087,5228,2049,10740119,131100,0,10664685
timing-v100-baseline,37806361,108578,15662674,4806,2055,10942622,131461,0,11201065
timing-v100-baseline,37825911,102378,15651051,8040,2052,11202878,131292,0,10971982
timing-v100-baseline,37849490,105518,15845180,4988,2045,10929687,130864,0,11074623
timing-v100-baseline,37858040,102338,15784577,4977,2040,10874131,130549,0,11199332
timing-v100-baseline,37875629,99358,15507418,5505,2044,10943046,130761,0,11425165
timing-v100-baseline,37895849,98898,16159612,5191,2050,11075673,131187,0,10660564
timing-v100-baseline,37976307,93048,15741643,7925,2051,11411222,131221,0,10823442
timing-v100-baseline,37983838,108468,15964323,4918,2050,11185446,131200,0,10834069
timing-v100-baseline,38070945,86458,16085309,5104,2055,11178828,131514,0,10806808
timing-v100-baseline,38283452,110168,17149547,5230,2045,10240170,130818,0,10893735
timing-v100-baseline,38548265,98288,17053965,8141,2046,10847508,130940,0,10646792
timing-v100-disabled,36655234,150237,15271402,4551,2051,9338295,130802,7,12045537
timing-v100-disabled,36655724,120698,15150929,4714,2051,9428670,130813,7,12076125
timing-v100-disabled,36673714,119488,15452222,4501,2051,9336352,130865,6,11885140
timing-v100-disabled,37340560,124528,16110842,6197,2052,9794513,130777,8,11435205
timing-v100-disabled,38120075,129128,16957630,3688,2050,10000043,130761,6,11162402
timing-v100-disabled,38115335,124767,17002580,3764,2052,10002482,130864,7,11110273
timing-v100-disabled,38144694,130958,16933032,3873,2051,9753658,130855,6,11458004
timing-v100-disabled,38130875,119718,17189931,5143,2053,10157258,130940,7,10783686
timing-v100-disabled,38129434,129797,17264656,3568,2052,10189606,130818,7,10675172
timing-v100-disabled,38129244,121787,16725550,3748,2047,9798108,130549,7,11605586
timing-v100-disabled,38211073,128048,16916303,3679,2062,9918555,131539,6,11376215
