run,phase,samples,tasks,io_wq,running_tasks,running_io_wq
main-r1-v100-baseline,setup_and_write,6,18,0,1,0
main-r1-v100-baseline,verify,2,21,0,20,0
main-r1-v100-baseline,read_160,28,21,0,20,0
main-r1-v100-baseline,read_640,28,21,0,20,0
main-r1-v100-baseline,read_2560,28,21,0,20,0
main-r1-v100-candidate,setup_and_write,6,18,0,1,0
main-r1-v100-candidate,verify,2,41,20,20,0
main-r1-v100-candidate,read_160,28,41,20,20,0
main-r1-v100-candidate,read_640,28,41,20,20,0
main-r1-v100-candidate,read_2560,28,41,20,20,0
main-r1-v1024-baseline,setup_and_write,6,17,0,1,0
main-r1-v1024-baseline,verify,2,21,0,20,0
main-r1-v1024-baseline,read_160,28,21,0,20,0
main-r1-v1024-baseline,read_640,28,21,0,20,0
main-r1-v1024-baseline,read_2560,28,21,0,20,0
main-r1-v1024-candidate,setup_and_write,6,18,0,1,0
main-r1-v1024-candidate,verify,2,41,20,20,0
main-r1-v1024-candidate,read_160,27,41,20,20,0
main-r1-v1024-candidate,read_640,28,41,20,20,0
main-r1-v1024-candidate,read_2560,28,41,20,20,0
main-r1-v1024-candidate,close,1,41,20,6,0
main-r1-v4096-baseline,setup_and_write,7,21,0,20,0
main-r1-v4096-baseline,verify,1,21,0,20,0
main-r1-v4096-baseline,read_160,28,21,0,20,0
main-r1-v4096-baseline,read_640,28,21,0,20,0
main-r1-v4096-baseline,read_2560,28,21,0,20,0
main-r1-v4096-candidate,setup_and_write,6,19,0,1,0
main-r1-v4096-candidate,verify,2,41,20,20,0
main-r1-v4096-candidate,read_160,28,41,20,20,0
main-r1-v4096-candidate,read_640,28,41,20,20,0
main-r1-v4096-candidate,read_2560,28,41,20,20,0
main-r1-v4194304-baseline,setup_and_write,20,21,0,20,0
main-r1-v4194304-baseline,verify,3,21,0,20,0
main-r1-v4194304-baseline,read_160,28,21,0,20,0
main-r1-v4194304-baseline,read_640,28,21,0,20,0
main-r1-v4194304-baseline,read_2560,28,21,0,20,0
main-r1-v4194304-candidate,setup_and_write,22,41,20,20,0
main-r1-v4194304-candidate,verify,3,41,20,20,0
main-r1-v4194304-candidate,read_160,28,41,20,20,0
main-r1-v4194304-candidate,read_640,28,41,20,20,0
main-r1-v4194304-candidate,read_2560,28,41,20,20,0
main-r1-v65536-baseline,setup_and_write,5,21,0,16,0
main-r1-v65536-baseline,read_160,28,21,0,20,0
main-r1-v65536-baseline,read_640,28,21,0,20,0
main-r1-v65536-baseline,read_2560,28,21,0,20,0
main-r1-v65536-candidate,setup_and_write,5,41,20,16,0
main-r1-v65536-candidate,read_160,28,41,20,20,0
main-r1-v65536-candidate,read_640,28,41,20,20,0
main-r1-v65536-candidate,read_2560,28,41,20,20,0
main-r2-v100-baseline,setup_and_write,6,18,0,1,0
main-r2-v100-baseline,verify,2,21,0,20,0
main-r2-v100-baseline,read_640,28,21,0,20,0
main-r2-v100-baseline,close,1,18,0,1,0
main-r2-v100-candidate,setup_and_write,6,18,0,1,0
main-r2-v100-candidate,verify,2,41,20,20,0
main-r2-v100-candidate,read_640,28,41,20,20,0
main-r2-v1024-baseline,setup_and_write,6,18,0,1,0
main-r2-v1024-baseline,verify,2,21,0,20,0
main-r2-v1024-baseline,read_640,28,21,0,20,0
main-r2-v1024-candidate,setup_and_write,6,18,0,1,0
main-r2-v1024-candidate,verify,2,41,20,20,0
main-r2-v1024-candidate,read_640,27,41,20,20,0
main-r2-v1024-candidate,close,1,41,20,1,0
main-r2-v4096-baseline,setup_and_write,7,21,0,20,0
main-r2-v4096-baseline,verify,1,21,0,20,0
main-r2-v4096-baseline,read_640,28,21,0,20,0
main-r2-v4096-baseline,close,1,20,0,1,0
main-r2-v4096-candidate,setup_and_write,7,41,20,1,0
main-r2-v4096-candidate,verify,1,41,20,20,0
main-r2-v4096-candidate,read_640,28,41,20,20,0
main-r2-v4194304-baseline,setup_and_write,20,21,0,20,0
main-r2-v4194304-baseline,verify,3,21,0,20,0
main-r2-v4194304-baseline,read_640,28,21,0,20,0
main-r2-v4194304-candidate,setup_and_write,22,41,20,20,0
main-r2-v4194304-candidate,verify,2,41,20,20,0
main-r2-v4194304-candidate,read_640,28,41,20,20,0
main-r2-v65536-baseline,setup_and_write,5,21,0,16,0
main-r2-v65536-baseline,read_640,28,21,0,20,0
main-r2-v65536-candidate,setup_and_write,5,41,20,16,0
main-r2-v65536-candidate,read_640,28,41,20,20,0
main-r3-v100-baseline,setup_and_write,6,18,0,1,0
main-r3-v100-baseline,verify,3,21,0,20,0
main-r3-v100-baseline,read_640,27,21,0,20,0
main-r3-v100-baseline,close,1,21,0,3,0
main-r3-v100-candidate,setup_and_write,6,19,0,1,0
