run,max_tasks,max_io_wq,observer_cpu_seconds
main-r1-v100-baseline,21,0,0.045568857
main-r1-v100-candidate,41,20,0.06326315699999999
main-r1-v1024-baseline,21,0,0.04496618599999999
main-r1-v1024-candidate,41,20,0.06315594899999999
main-r1-v4096-baseline,21,0,0.04582297499999999
main-r1-v4096-candidate,41,20,0.06336223000000002
main-r1-v4194304-baseline,21,0,0.054522597000000006
main-r1-v4194304-candidate,41,20,0.07800583399999994
main-r1-v65536-baseline,21,0,0.035337793000000006
main-r1-v65536-candidate,41,20,0.05159946599999998
main-r2-v100-baseline,21,0,0.0346794319999999
main-r2-v100-candidate,41,20,0.039004837999999986
main-r2-v1024-baseline,21,0,0.03429158700000001
main-r2-v1024-candidate,41,20,0.04111602600000008
main-r2-v4096-baseline,21,0,0.037794804000000015
main-r2-v4096-candidate,41,20,0.04465435100000004
main-r2-v4194304-baseline,21,0,0.03911643599999992
main-r2-v4194304-candidate,41,20,0.05041085500000009
main-r2-v65536-baseline,21,0,0.02821865899999998
main-r2-v65536-candidate,41,20,0.03206758700000001
main-r3-v100-baseline,21,0,0.034165691
main-r3-v100-candidate,41,20,0.04060918299999994
main-r3-v1024-baseline,21,0,0.03491370000000016
main-r3-v1024-candidate,41,20,0.04071481399999999
main-r3-v4096-baseline,21,0,0.03643085399999979
main-r3-v4096-candidate,41,20,0.04243591800000002
main-r3-v4194304-baseline,21,0,0.039051795
main-r3-v4194304-candidate,41,20,0.0500224680000001
main-r3-v65536-baseline,21,0,0.02766031899999999
main-r3-v65536-candidate,41,20,0.032493501000000036
rollover-r1-v100-baseline,21,0,0.0759782819999999
rollover-r1-v100-candidate,41,20,0.09315875299999998
rollover-r1-v4096-baseline,21,0,0.04143124599999992
rollover-r1-v4096-candidate,41,20,0.049616091000000084
rollover-r1-v4194304-baseline,21,0,0.03949459200000005
rollover-r1-v4194304-candidate,41,20,0.05001299299999995
rollover-r2-v100-baseline,21,0,0.0832734180000001
rollover-r2-v100-candidate,41,20,0.09310447099999997
rollover-r2-v4096-baseline,21,0,0.04232903399999999
rollover-r2-v4096-candidate,41,20,0.04916381400000014
rollover-r2-v4194304-baseline,21,0,0.038126542000000097
rollover-r2-v4194304-candidate,41,20,0.049583890000000075
rollover-r3-v100-baseline,21,0,0.08049580999999995
rollover-r3-v100-candidate,41,20,0.09343289899999974
rollover-r3-v4096-baseline,21,0,0.04161711700000037
rollover-r3-v4096-candidate,41,20,0.04932373400000012
rollover-r3-v4194304-baseline,21,0,0.04126921299999964
rollover-r3-v4194304-candidate,41,20,0.049002331000000066
