suite,repetition,value_bytes,variant,phase,clients,operations,seconds,ops_per_second,gib_per_second,p50_us,p99_us,p999_us,cpu_cores,max_rss_kib,physical_read_bytes,physical_write_bytes,physical_reads,physical_writes,devices_reading
main,1,100,baseline,write,0,2621440,0.040516426,64700672.26561395,6.025719667376387,,,,18.003118044024912,,57344,503435264,14,40989,5
main,1,100,baseline,read,160,14218872,5.000333715,2843584.6106323325,0.2648294540711057,55.359,90.495,107.647,19.99878322121147,11587332,58240499712,0,14218849,0,20
main,1,100,baseline,read,640,50053231,5.000298977,10010047.645197036,0.9322583344948512,62.015,112.639,147.711,19.998915756832755,11587332,205018034176,0,50049244,0,20
main,1,100,baseline,read,2560,71241399,5.000370966,14247222.752952846,1.326876017540027,162.943,252.543,305.663,19.9984632500164,11587332,291804770304,0,71224663,0,20
main,1,100,candidate,write,0,2621440,0.055339721,47369953.31075124,4.411670687678385,,,,15.061225191214824,,135168,503435264,33,40989,11
main,1,100,candidate,read,160,14220598,5.000288589,2843955.4531479464,0.2648639914717475,55.391,90.431,107.775,19.998562726956237,11554476,58247569408,0,14220573,0,20
main,1,100,candidate,read,640,50077344,5.00023762,10014992.847479917,0.9327188923470598,62.015,112.575,147.711,19.998841975033983,11554476,205116801024,0,50073322,0,20
main,1,100,candidate,read,2560,71294239,5.000332579,14257899.424413465,1.3278703600553297,162.943,252.031,312.831,19.99899595078514,11554476,292021202944,0,71277481,0,20
main,1,1024,baseline,write,0,2621440,0.07187266,36473396.142566584,34.78374113327654,,,,18.001073008846475,,49152,3858841600,12,40989,4
main,1,1024,baseline,read,160,13870925,5.000289994,2774024.109930453,2.6455155467323808,55.519,84.991,105.663,19.998871289463857,11587684,56815308800,0,13870922,0,20
main,1,1024,baseline,read,640,49649308,5.000344104,9929178.26600839,9.469202295311346,62.015,107.711,137.983,19.998445690968794,11587684,203363565568,0,49648582,0,20
main,1,1024,baseline,read,2560,72142035,5.000335525,14427438.846716192,13.75907787963504,163.967,251.135,269.055,19.998668989317473,11587684,295493775360,0,72139033,0,20
main,1,1024,candidate,write,0,2621440,0.084167477,31145521.921727557,29.7026843278194,,,,16.173574978373175,,1220608,3858841600,80,40989,12
main,1,1024,candidate,read,160,13879859,5.000317121,2775795.7473753593,2.6472051118615716,55.455,84.991,105.663,19.99852000986719,11554476,56851902464,0,13879855,0,20
main,1,1024,candidate,read,640,49704657,5.000335021,9940265.360471735,9.479775772544608,61.951,107.647,137.855,19.998423621623974,11554476,203590275072,0,49703941,0,20
main,1,1024,candidate,read,2560,72265406,5.000281343,14452267.991113314,13.782756796944918,163.199,250.111,278.015,19.998985885062833,11554476,295999102976,0,72262389,0,20
main,1,4096,baseline,write,0,2611220,0.147729148,17675726.39084062,67.42754513107536,,,,17.422864985317588,,1257472,11029897216,89,122418,15
main,1,4096,baseline,read,160,12535221,5.000274667,2506906.4871031814,9.56308932153008,61.503,97.087,115.775,19.998742001106155,11590676,102688530432,0,12535221,0,20
main,1,4096,baseline,read,640,43419888,5.000377746,8683321.582001137,33.124243095402285,70.079,124.031,159.103,19.998554325219576,11590676,355695722496,0,43419664,0,20
main,1,4096,baseline,read,2560,49782093,5.000390396,9955641.271494035,37.97775753591169,263.167,325.887,422.911,19.998466935700424,11590676,407814905856,0,49781346,0,20
main,1,4096,candidate,write,0,2611220,0.136996029,19060552.477765616,72.71023741823431,,,,19.08926863858222,,446464,11029897216,59,122418,9
main,1,4096,candidate,read,160,12528430,5.00019906,2505586.2476003105,9.558053007508509,61.535,97.087,115.775,19.99899140015438,11554476,102632898560,0,12528427,0,20
main,1,4096,candidate,read,640,43408369,5.000432726,8680922.507825376,33.11509135370398,70.079,124.031,158.975,19.998076662455638,11554476,355601358848,0,43408144,0,20
main,1,4096,candidate,read,2560,49986649,5.000460997,9996408.137167597,38.13327078692473,261.887,342.783,425.215,19.998335165496737,11554476,409490628608,0,49985895,0,20
main,1,4194304,baseline,write,0,40960,4.056781993,10096.672700351339,39.44012773574742,,,,16.39528550332924,,20635648,172149063680,896,1351988,20
main,1,4194304,baseline,read,160,296842,5.002224985,59341.99299114492,231.80466012165985,2643.967,4644.863,5521.407,19.996110590775434,10579140,1246261452800,0,9795786,0,20
main,1,4194304,baseline,read,640,298706,5.007989948,59645.88649370029,232.99174411601675,10272.767,18907.135,24543.231,19.993260377846113,10579140,1254087270400,0,9857298,0,20
main,1,4194304,baseline,read,2560,298290,5.014635342,59483.8865952379,232.35893201264804,42467.327,50593.791,55017.471,19.99047551083126,10579140,1252340736000,0,9843570,0,20
main,1,4194304,candidate,write,0,40960,4.630553141,8845.595494268402,34.553107399485945,,,,16.20270164609261,,20635648,172149063680,896,1352060,20
main,1,4194304,candidate,read,160,296636,5.002502992,59297.51575848732,231.6309209315911,2643.967,4657.151,5558.271,19.994903383358142,10593788,1245396582400,0,9788988,0,20
main,1,4194304,candidate,read,640,298541,5.008758854,59603.787824918916,232.82729619108952,10280.959,18841.599,24068.095,19.989634541906824,10593788,1253394534400,0,9851853,0,20
main,1,4194304,candidate,read,2560,298048,5.013741622,59446.22249622579,232.211806625882,42500.095,50626.559,54919.167,19.993774023004484,10593788,1251324723200,0,9835584,0,20
main,1,65536,baseline,write,0,163800,0.284481562,575784.2401048121,35.14308106108472,,,,16.74763371834973,,11988992,12076728320,529,163820,15
main,1,65536,baseline,read,160,5582557,5.00047217,1116405.9733183156,68.14001301991672,140.287,257.919,344.319,19.998443866951867,10641936,388724609024,0,5582557,0,20
main,1,65536,baseline,read,640,15384516,5.000752964,3076439.9102998762,187.77099061888893,183.423,544.255,793.087,19.998163620545522,10641936,1071254618112,0,15384516,0,20
main,1,65536,baseline,read,2560,17963092,5.002384261,3590906.0685412223,219.1715129724867,455.679,3633.151,5898.239,19.995201044392545,10641936,1250806022144,0,17963092,0,20
main,1,65536,candidate,write,0,163800,0.342191764,478678.96668605966,29.216245525272196,,,,17.365628355684212,,10915840,12076728320,485,163820,15
main,1,65536,candidate,read,160,5581728,5.000528476,1116227.6200984481,68.12912720327442,140.287,258.303,343.807,19.998106096176542,10621968,388666884096,0,5581728,0,20
main,1,65536,candidate,read,640,15379923,5.000522186,3075663.386327789,187.72359535692073,183.423,543.743,792.575,19.998546807767326,10621968,1070934798336,0,15379923,0,20
main,1,65536,candidate,read,2560,17962419,5.002815401,3590462.081892835,219.14441417802948,455.423,3661.823,5967.871,19.992172803339457,10621968,1250759159808,0,17962419,0,20
main,2,100,baseline,write,0,2621440,0.048815025,53701498.66767456,5.001341799988835,,,,15.122925779511531,,86016,503435264,21,40989,7
main,2,100,baseline,read,640,50024716,5.000283531,10004375.889859915,0.9317301111165355,62.079,112.575,147.583,19.998619354291172,11587460,204901236736,0,50020674,0,20
main,2,100,candidate,write,0,2621440,0.057249201,45789984.038379855,4.264524582622559,,,,14.701829637762101,,98304,503435264,24,40989,8
main,2,100,candidate,read,640,49968829,5.00029542,9993175.36322684,0.9306869807864391,62.143,112.639,147.711,19.998672198451825,11554476,204672323584,0,49964705,0,20
main,2,1024,baseline,write,0,2621440,0.078997304,33183917.263809405,31.646649612244993,,,,16.46227066179372,,147456,3858841600,36,40989,12
main,2,1024,baseline,read,640,49692739,5.000386019,9937780.565576771,9.477406087471744,61.951,107.647,137.983,19.99821346192753,11586036,203541458944,0,49692025,0,20
main,2,1024,candidate,write,0,2621440,0.074220432,35319654.296811424,33.683447167216706,,,,18.157843651462443,,65536,3858841600,16,40989,6
main,2,1024,candidate,read,640,49505942,5.000350391,9900494.591159943,9.441847411308235,62.143,107.839,138.239,19.9983679503711,11554476,202776338432,0,49505237,0,20
main,2,4096,baseline,write,0,2611220,0.134453322,19421015.123746816,74.08529328821875,,,,18.993528475257758,,1196032,11029897216,74,122418,10
main,2,4096,baseline,read,640,43390298,5.000296783,8677544.530460324,33.10220539268617,70.079,124.031,159.231,19.99847455854502,11587436,355453321216,0,43390072,0,20
main,2,4096,candidate,write,0,2611220,0.143824749,18155567.92662993,69.25799532558415,,,,17.03247888164227,,2330624,11029897216,133,122418,15
main,2,4096,candidate,read,640,43381032,5.000295992,8675692.812866587,33.095141650644635,70.143,124.031,159.103,19.998534518754145,11554476,355377414144,0,43380799,0,20
main,2,4194304,baseline,write,0,40960,4.172439221,9816.799677715424,38.346873741075875,,,,16.2894164300638,,20635648,172149063680,896,1351988,20
main,2,4194304,baseline,read,640,298470,5.007997178,59598.675756282544,232.8073271729787,10280.959,18759.679,24264.703,19.99412208933956,10580268,1253096448000,0,9849510,0,20
main,2,4194304,candidate,write,0,40960,4.514470678,9073.04597183608,35.44158582748469,,,,16.71231432904657,,20635648,172149063680,896,1352060,20
main,2,4194304,candidate,read,640,298497,5.008643733,59596.37297285085,232.79833192519862,10280.959,18857.983,23642.111,19.9909878477276,10596168,1253209804800,0,9850401,0,20
main,2,65536,baseline,write,0,163800,0.283831426,577103.1147199324,35.22357877929275,,,,16.634659052870347,,13074432,12076728320,576,163820,16
main,2,65536,baseline,read,640,15309837,5.000885542,3061425.195881838,186.85456517833484,183.551,553.471,838.655,19.997054753627868,10641700,1066054569984,0,15309837,0,20
main,2,65536,candidate,write,0,163800,0.343555596,476778.727830706,29.100264149823364,,,,17.253789689398623,,12013568,12076728320,535,163820,17
main,2,65536,candidate,read,640,15306466,5.000643418,3060899.3124572355,186.82246780134494,183.551,553.983,838.143,19.998011583876547,10624180,1065819840512,0,15306466,0,20
main,3,100,baseline,write,0,2621440,0.043874477,59748632.44523689,5.564525019865194,,,,16.57293829394251,,86016,503435264,21,40989,7
main,3,100,baseline,read,640,49969584,5.000411195,9993094.977862116,0.9306794943159554,62.143,112.639,147.967,19.998062979298645,11587332,204675416064,0,49965494,0,20
main,3,100,candidate,write,0,2621440,0.047280556,55444356.44961535,5.163658079655408,,,,17.67142924461379,,36864,503435264,9,40989,3
main,3,100,candidate,read,640,49925287,5.000412806,9984233.089735031,0.9298541666693084,62.207,112.703,147.967,19.998019939476173,11554476,204493975552,0,49921201,0,20
main,3,1024,baseline,write,0,2621440,0.068372852,38340363.5115294,36.56421996262493,,,,19.232867454468618,,36864,3858841600,9,40989,3
main,3,1024,baseline,read,640,49628385,5.000441746,9924800.151846424,9.465027000280784,61.983,107.775,140.031,19.99792599923631,11586900,203277864960,0,49627699,0,20
main,3,1024,candidate,write,0,2621440,0.079380256,33023828.99848547,31.493977545247525,,,,17.383730785650283,,110592,3858841600,27,40989,9
main,3,1024,candidate,read,640,49591667,5.000436655,9917467.297663428,9.458033845580509,62.047,107.839,139.263,19.99795455863044,11554476,203127468032,0,49590979,0,20
main,3,4096,baseline,write,0,2611220,0.138054598,18914400.808294702,72.15271304433709,,,,18.200161649089004,,1196032,11029897216,74,122418,10
main,3,4096,baseline,read,640,43216307,5.000374828,8642613.501293307,32.968954091237286,70.143,125.055,178.943,19.998241819803038,11587436,354027986944,0,43216070,0,20
main,3,4096,candidate,write,0,2611220,0.137058298,19051892.79382413,72.67720334558155,,,,19.13706093154608,,81920,11029897216,20,122418,7
main,3,4096,candidate,read,640,43342202,5.00029962,8667920.983502984,33.065494474422394,70.207,124.095,159.103,19.998594404228925,11554476,355059318784,0,43341975,0,20
main,3,4194304,baseline,write,0,40960,4.104818918,9978.515695390779,38.97857693512023,,,,16.29279058004965,,20631552,172149063680,895,1351988,20
main,3,4194304,baseline,read,640,298461,5.008099171,59595.664903817065,232.7955660305354,10297.343,18677.759,23576.575,19.9925106475093,10580296,1253058662400,0,9849213,0,20
main,3,4194304,candidate,write,0,40960,4.47193942,9159.336957207708,35.77865998909261,,,,16.795032299431284,,19894272,172149063680,883,1352060,20
main,3,4194304,candidate,read,640,298430,5.007981784,59590.87170673303,232.7768426044259,10297.343,18661.375,24035.327,19.993752237657894,10597476,1252928512000,0,9848190,0,20
main,3,65536,baseline,write,0,163800,0.27878437,587550.8730995213,35.8612593444532,,,,16.681555712753912,,11051008,12076728320,518,163820,17
main,3,65536,baseline,read,640,15369731,5.001396458,3073087.9123600163,187.5664009008799,183.423,545.791,798.719,19.995399652838316,10646088,1070225108992,0,15369731,0,20
main,3,65536,candidate,write,0,163800,0.357083639,458716.0600768942,27.997806401177623,,,,17.01168672138462,,14184448,12076728320,629,163820,19
main,3,65536,candidate,read,640,15376200,5.000700012,3074809.5192877566,187.67147944871562,183.423,543.743,793.599,19.99806082348936,10621464,1070675558400,0,15376200,0,20
rollover,1,100,baseline,write,0,10485760,0.163748389,64035805.56752837,5.963799130872671,,,,18.1918980589177,,5513216,2723803136,256,169630,12
rollover,1,100,baseline,read,640,28582201,5.000302433,5716094.452881266,0.5323527802602637,99.391,216.191,270.591,19.999018527365948,14045196,294507335680,0,43319144,0,20
rollover,1,100,candidate,write,0,10485760,0.185299661,56588122.95398641,5.270179636216388,,,,17.572660319114128,,5562368,2723803136,268,175070,16
rollover,1,100,candidate,read,640,28399642,5.000314674,5679570.957337714,0.5289512646699058,100.159,216.703,271.103,19.998947970209286,14213660,292627152896,0,43042686,0,20
rollover,1,4096,baseline,write,0,2621440,0.125554909,20878833.180469275,79.64642784297666,,,,18.32282798277525,,122880,11254194176,30,126198,10
rollover,1,4096,baseline,read,640,20473287,5.000426826,4094307.888588229,15.618545107224385,152.703,228.351,275.455,19.99831643971746,11341112,335417823232,0,40946285,0,20
rollover,1,4096,candidate,write,0,2621440,0.126961479,20647522.54500753,78.76404779437077,,,,18.992926192991185,,61440,11254194176,15,127518,5
rollover,1,4096,candidate,read,640,20445372,5.000474788,4088686.148176216,15.597099869446625,152.831,228.607,277.247,19.998210817896435,11399340,334960467968,0,40890471,0,20
rollover,1,4194304,baseline,write,0,2560,0.27671317,9251.457023169514,36.138503996755915,,,,15.563223824872521,,18481152,10765361152,806,86182,20
rollover,1,4194304,baseline,read,640,148579,5.019709818,29599.121341081474,115.62156773859951,22806.527,39649.279,45252.607,19.98298340679103,10553868,624402653184,0,5051674,0,20
rollover,1,4194304,candidate,write,0,2560,0.289638856,8838.593120254556,34.52575437599436,,,,15.712667363939595,,18477056,10765361152,805,86182,19
rollover,1,4194304,candidate,read,640,157646,5.021852964,31391.99835799892,122.62499358593328,24363.007,27590.655,31932.415,19.989446469185793,10555540,662506684416,0,5359960,0,20
rollover,2,100,baseline,write,0,10485760,0.173162565,60554427.56926129,5.639570538817094,,,,17.147303171444708,,5574656,2723803136,271,169710,17
rollover,2,100,baseline,read,640,28611170,5.000416755,5721757.08582514,0.5328801540495026,99.199,216.191,271.103,19.998479306751303,14045196,294805069824,0,43362939,0,20
rollover,2,100,candidate,write,0,10485760,0.178392143,58779270.34039834,5.474246138743902,,,,18.1663998509172,,4427776,2723803136,209,175070,11
rollover,2,100,candidate,read,640,28466480,5.000445926,5692788.287538018,0.5301822244690748,99.967,216.575,271.103,19.99822925392434,14209300,293314957312,0,43143806,0,20
rollover,2,4096,baseline,write,0,2621440,0.12489162,20989718.925897513,80.06942339285855,,,,18.277038923828517,,73728,11254194176,18,126198,6
rollover,2,4096,baseline,read,640,20473940,5.000415844,4094447.4697172805,15.61907756697571,152.575,228.479,276.991,19.99850214857451,11341756,335428497408,0,40947616,0,20
rollover,2,4096,candidate,write,0,2621440,0.131491335,19936218.610906947,76.05063862192897,,,,18.59203878339208,,122880,11254194176,30,127518,10
rollover,2,4096,candidate,read,640,20435318,5.000408727,4086729.5286599877,15.5896359583282,152.959,228.351,275.455,19.998478016415156,11400876,334795739136,0,40870367,0,20
rollover,2,4194304,baseline,write,0,2560,0.271239758,9438.144388847302,36.867751518934774,,,,15.638964697793307,,16433152,10765361152,742,86182,19
rollover,2,4194304,baseline,read,640,149163,5.019668263,29715.708725112618,116.07698720747116,22691.839,40075.263,45187.071,19.985167493926085,10553868,626856910848,0,5071529,0,20
rollover,2,4194304,candidate,write,0,2560,0.292330814,8757.20203755188,34.20782045918703,,,,15.936058659898922,,18485248,10765361152,807,86182,19
rollover,2,4194304,candidate,read,640,157654,5.021881089,31393.415575953713,122.6305295935692,24363.007,27525.119,33357.823,19.98865847697494,10555540,662540304384,0,5360229,0,20
rollover,3,100,baseline,write,0,10485760,0.172573091,60761268.97443124,5.65883414581709,,,,17.314576581351254,,5562368,2723803136,268,169662,16
rollover,3,100,baseline,read,640,28600070,5.000491316,5719451.988345379,0.5326654751175436,99.327,216.191,271.359,19.998332499853895,14045196,294690611200,0,43346024,0,20
rollover,3,100,candidate,write,0,10485760,0.180938159,57952175.80388889,5.397216957424664,,,,17.949524953440037,,4452352,2723803136,215,175070,13
rollover,3,100,candidate,read,640,28403936,5.000360752,5680377.358501433,0.5290263666307026,100.159,216.831,271.359,19.998803078358375,14212272,292670615552,0,43049047,0,20
rollover,3,4096,baseline,write,0,2621440,0.134022365,19559720.498888373,74.61441230349874,,,,17.29834419800008,,118784,11254194176,29,126198,10
rollover,3,4096,baseline,read,640,20472042,5.000431006,4094055.48750411,15.617582273498956,152.703,228.351,275.455,19.99832172066969,11341764,335397421056,0,40943808,0,20
rollover,3,4096,candidate,write,0,2621440,0.133386303,19652992.406574156,74.97021639470732,,,,18.014675764722263,,98304,11254194176,24,127518,8
rollover,3,4096,candidate,read,640,20417304,5.000486517,4083063.504038641,15.575651184229436,153.087,228.735,276.735,19.998139313051173,11400876,334500622336,0,40834321,0,20
rollover,3,4194304,baseline,write,0,2560,0.279014396,9175.15381536084,35.84044459125328,,,,16.010772433405194,,17403904,10765361152,761,86182,19
rollover,3,4194304,baseline,read,640,148791,5.01956792,29642.192788577708,115.78981558038167,22806.527,38371.327,45514.751,19.9795053276219,10553868,625293582336,0,5058879,0,20
rollover,3,4194304,candidate,write,0,2560,0.297651269,8600.668858562804,33.59636272876095,,,,15.822485876920616,,16330752,10765361152,717,86182,19
rollover,3,4194304,candidate,read,640,157750,5.021767716,31413.241097828584,122.70797303839291,24313.855,27557.887,31768.575,19.989602402390375,10555540,662943744000,0,5363492,0,20
