suite,value_bytes,phase,clients,baseline_n,baseline_ops_per_second,baseline_gib_per_second,baseline_p99_us,baseline_cpu_cores,baseline_min_ops,baseline_max_ops,candidate_n,candidate_ops_per_second,candidate_gib_per_second,candidate_p99_us,candidate_cpu_cores,candidate_min_ops,candidate_max_ops,change_percent
main,100,read,160,1,2843584.6106323325,0.2648294540711057,90.495,19.99878322121147,2843584.6106323325,2843584.6106323325,1,2843955.4531479464,0.2648639914717475,90.431,19.998562726956237,2843955.4531479464,2843955.4531479464,0.01304137440565345
main,100,read,640,3,10004375.889859915,0.9317301111165355,112.639,19.998619354291172,9993094.977862116,10010047.645197036,3,9993175.36322684,0.9306869807864391,112.639,19.998672198451825,9984233.089735031,10014992.847479917,-0.11195627549767107
main,100,read,2560,1,14247222.752952846,1.326876017540027,252.543,19.9984632500164,14247222.752952846,14247222.752952846,1,14257899.424413465,1.3278703600553297,252.031,19.99899595078514,14257899.424413465,14257899.424413465,0.0749386153761522
main,100,write,0,3,59748632.44523689,5.564525019865194,,16.57293829394251,53701498.66767456,64700672.26561395,3,47369953.31075124,4.411670687678385,,15.061225191214824,45789984.038379855,55444356.44961535,-20.717928809218243
main,1024,read,160,1,2774024.109930453,2.6455155467323808,84.991,19.998871289463857,2774024.109930453,2774024.109930453,1,2775795.7473753593,2.6472051118615716,84.991,19.99852000986719,2775795.7473753593,2775795.7473753593,0.06386525043398095
main,1024,read,640,3,9929178.26600839,9.469202295311346,107.711,19.99821346192753,9924800.151846424,9937780.565576771,3,9917467.297663428,9.458033845580509,107.839,19.9983679503711,9900494.591159943,9940265.360471735,-0.11794499032264927
main,1024,read,2560,1,14427438.846716192,13.75907787963504,251.135,19.998668989317473,14427438.846716192,14427438.846716192,1,14452267.991113314,13.782756796944918,250.111,19.998985885062833,14452267.991113314,14452267.991113314,0.17209668785236332
main,1024,write,0,3,36473396.142566584,34.78374113327654,,18.001073008846475,33183917.263809405,38340363.5115294,3,33023828.99848547,31.493977545247525,,17.383730785650283,31145521.921727557,35319654.296811424,-9.457762393711588
main,4096,read,160,1,2506906.4871031814,9.56308932153008,97.087,19.998742001106155,2506906.4871031814,2506906.4871031814,1,2505586.2476003105,9.558053007508509,97.087,19.99899140015438,2505586.2476003105,2505586.2476003105,-0.052664090569909394
main,4096,read,640,3,8677544.530460324,33.10220539268617,124.031,19.99847455854502,8642613.501293307,8683321.582001137,3,8675692.812866587,33.095141650644635,124.031,19.998534518754145,8667920.983502984,8680922.507825376,-0.021339188606139814
main,4096,read,2560,1,9955641.271494035,37.97775753591169,325.887,19.998466935700424,9955641.271494035,9955641.271494035,1,9996408.137167597,38.13327078692473,342.783,19.998335165496737,9996408.137167597,9996408.137167597,0.40948508048688215
main,4096,write,0,3,18914400.808294702,72.15271304433709,,18.200161649089004,17675726.39084062,19421015.123746816,3,19051892.79382413,72.67720334558155,,19.08926863858222,18155567.92662993,19060552.477765616,0.7269169503330453
main,65536,read,160,1,1116405.9733183156,68.14001301991672,257.919,19.998443866951867,1116405.9733183156,1116405.9733183156,1,1116227.6200984481,68.12912720327442,258.303,19.998106096176542,1116227.6200984481,1116227.6200984481,-0.015975659762668126
main,65536,read,640,3,3073087.9123600163,187.5664009008799,545.791,19.997054753627868,3061425.195881838,3076439.9102998762,3,3074809.5192877566,187.67147944871562,543.743,19.99806082348936,3060899.3124572355,3075663.386327789,0.056022052633641906
main,65536,read,2560,1,3590906.0685412223,219.1715129724867,3633.151,19.995201044392545,3590906.0685412223,3590906.0685412223,1,3590462.081892835,219.14441417802948,3661.823,19.992172803339457,3590462.081892835,3590462.081892835,-0.012364195551561874
main,65536,write,0,3,577103.1147199324,35.22357877929275,,16.681555712753912,575784.2401048121,587550.8730995213,3,476778.727830706,29.100264149823364,,17.253789689398623,458716.0600768942,478678.96668605966,-17.384135404972433
main,4194304,read,160,1,59341.99299114492,231.80466012165985,4644.863,19.996110590775434,59341.99299114492,59341.99299114492,1,59297.51575848732,231.6309209315911,4657.151,19.994903383358142,59297.51575848732,59297.51575848732,-0.07495068907482638
main,4194304,read,640,3,59598.675756282544,232.8073271729787,18759.679,19.993260377846113,59595.664903817065,59645.88649370029,3,59596.37297285085,232.79833192519862,18841.599,19.9909878477276,59590.87170673303,59603.787824918916,-0.0038638164396642694
main,4194304,read,2560,1,59483.8865952379,232.35893201264804,50593.791,19.99047551083126,59483.8865952379,59483.8865952379,1,59446.22249622579,232.211806625882,50626.559,19.993774023004484,59446.22249622579,59446.22249622579,-0.06331815415558939
main,4194304,write,0,3,9978.515695390779,38.97857693512023,,16.29279058004965,9816.799677715424,10096.672700351339,3,9073.04597183608,35.44158582748469,,16.71231432904657,8845.595494268402,9159.336957207708,-9.074192507137601
rollover,100,read,640,3,5719451.988345379,0.5326654751175436,216.191,19.998479306751303,5716094.452881266,5721757.08582514,3,5680377.358501433,0.5290263666307026,216.703,19.998803078358375,5679570.957337714,5692788.287538018,-0.6831883530724392
rollover,100,write,0,3,60761268.97443124,5.65883414581709,,17.314576581351254,60554427.56926129,64035805.56752837,3,57952175.80388889,5.397216957424664,,17.949524953440037,56588122.95398641,58779270.34039834,-4.623164094424093
rollover,4096,read,640,3,4094307.888588229,15.618545107224385,228.351,19.99832172066969,4094055.48750411,4094447.4697172805,3,4086729.5286599877,15.5896359583282,228.607,19.998210817896435,4083063.504038641,4088686.148176216,-0.18509501811927453
rollover,4096,write,0,3,20878833.180469275,79.64642784297666,,18.277038923828517,19559720.498888373,20989718.925897513,3,19936218.610906947,76.05063862192897,,18.59203878339208,19652992.406574156,20647522.54500753,-4.514689884318246
rollover,4194304,read,640,3,29642.192788577708,115.78981558038167,39649.279,19.98298340679103,29599.121341081474,29715.708725112618,3,31393.415575953713,122.6305295935692,27557.887,19.989446469185793,31391.99835799892,31413.241097828584,5.907871930617836
rollover,4194304,write,0,3,9251.457023169514,36.138503996755915,,15.638964697793307,9175.15381536084,9438.144388847302,3,8757.20203755188,34.20782045918703,,15.822485876920616,8600.668858562804,8838.593120254556,-5.342455619474995
